Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-18 02:13:45,Ours,0.00208,1.4679744230299303,10.77,10.77,1,114.3923,1:54.39,111.2526,0.2292,2.9031,114.3926,1:54.39,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[2];5:[1,2];0:[2];7:[2];2:[2];9:[1,2];4:[1,2];3:[1,2];6:[1,2]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[2]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[1,2]","14.8227,39.9095,12.3596,13.6704,7.9199,0.5377,10.6551,6.1058,1.2644,4.0076"
2,2026-09-18 02:15:54,Ours,0.00406,1.2886275421064621,24.59,24.59,2,128.2148,2:08.21,124.8932,0.1652,3.1492,242.9731,4:02.97,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[0,2];1:[0,2];8:[0,2];5:[0,1,2];3:[0,1,2];4:[0];7:[0,1,2];9:[0,2];6:[0];2:[2]","c0:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]; c8:bw=27,experts=[0,2]; c5:bw=38,experts=[0,1,2]; c3:bw=37,experts=[0,1,2]; c4:bw=17,experts=[0]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[0,2]; c6:bw=10,experts=[0]; c2:bw=12,experts=[2]","13.9263,45.1899,17.0733,16.2865,1.5676,7.0174,8.3161,10.9079,4.0670,0.5411"
3,2026-09-18 02:18:13,Ours,0.006040000000000001,1.1964741722022199,34.31,34.31,3,139.0299,2:19.03,135.354,0.1035,3.5651,382.0286,6:22.03,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[0,2];2:[0,2];0:[0,2];6:[0,2];8:[2];5:[2];3:[2];7:[2];1:[2];4:[0,2]","c9:bw=26,experts=[0,2]; c2:bw=23,experts=[0,2]; c0:bw=28,experts=[0,2]; c6:bw=22,experts=[0,2]; c8:bw=17,experts=[2]; c5:bw=10,experts=[2]; c3:bw=14,experts=[2]; c7:bw=18,experts=[2]; c1:bw=10,experts=[2]; c4:bw=29,experts=[0,2]","12.4672,0.6859,17.2313,4.8904,17.9680,15.7842,1.3463,8.8361,48.2645,7.8800"
4,2026-09-18 02:20:34,Ours,0.00802,1.2183910463412442,27.0,34.31,3,141.2718,2:21.27,137.2609,0.1044,3.8977,523.3337,8:43.33,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[0,2];7:[0,2];6:[0,2];2:[0,1,2];8:[0];0:[0,1,2];3:[0];4:[0,1,2];5:[0,1,2,3];9:[2]","c1:bw=22,experts=[0,2]; c7:bw=25,experts=[0,2]; c6:bw=29,experts=[0,2]; c2:bw=33,experts=[0,1,2]; c8:bw=17,experts=[0]; c0:bw=33,experts=[0,1,2]; c3:bw=19,experts=[0]; c4:bw=31,experts=[0,1,2]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[2]","52.5550,10.0121,4.1343,0.4780,15.7748,15.6115,1.2239,6.6073,16.6938,14.1701"
5,2026-09-18 02:23:09,Ours,0.01,1.0911672521871831,37.87,37.87,5,154.3344,2:34.33,150.431,0.1057,3.7826,677.6996,11:17.70,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[2];5:[0,2];4:[0,2];8:[0,2];0:[0,2];7:[2];6:[0,2];3:[0,1,2];2:[2];9:[0,1,2]","c1:bw=11,experts=[2]; c5:bw=22,experts=[0,2]; c4:bw=27,experts=[0,2]; c8:bw=20,experts=[0,2]; c0:bw=28,experts=[0,2]; c7:bw=14,experts=[2]; c6:bw=29,experts=[0,2]; c3:bw=35,experts=[0,1,2]; c2:bw=10,experts=[2]; c9:bw=35,experts=[0,1,2]","54.3476,16.7074,8.5198,20.4048,17.9122,10.3560,5.2471,1.7411,0.7459,14.4490"
6,2026-09-18 02:25:26,Ours,0.01,1.056762926697325,47.45,47.45,6,137.398,2:17.40,133.3076,0.1058,3.9726,815.1291,13:35.13,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[0,1,2];2:[0,2];5:[0];7:[0,1,2];3:[0,2];1:[0];9:[0,2];0:[0];4:[0];6:[0]","c8:bw=37,experts=[0,1,2]; c2:bw=23,experts=[0,2]; c5:bw=15,experts=[0]; c7:bw=32,experts=[0,1,2]; c3:bw=20,experts=[0,2]; c1:bw=18,experts=[0]; c9:bw=27,experts=[0,2]; c0:bw=17,experts=[0]; c4:bw=10,experts=[0]; c6:bw=11,experts=[0]","18.4258,0.5798,13.6120,8.1246,1.2181,47.4181,12.5783,18.0246,8.2896,5.0365"
7,2026-09-18 02:27:37,Ours,0.01,1.0662438534984835,47.56,47.56,7,131.3114,2:11.31,127.9368,0.0864,3.2802,946.4761,15:46.48,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[0,2];5:[0,2];2:[0,2];6:[0];3:[0];7:[0];4:[0];1:[0];8:[0,1,2];9:[0]","c0:bw=20,experts=[0,2]; c5:bw=27,experts=[0,2]; c2:bw=22,experts=[0,2]; c6:bw=10,experts=[0]; c3:bw=15,experts=[0]; c7:bw=17,experts=[0]; c4:bw=10,experts=[0]; c1:bw=10,experts=[0]; c8:bw=32,experts=[0,1,2]; c9:bw=10,experts=[0]","16.2239,15.5069,0.6860,4.4692,1.2177,8.4673,6.4713,49.5103,14.5890,10.7950"
8,2026-09-18 02:29:48,Ours,0.01,1.0432967879631698,55.01,55.01,8,130.877,2:10.88,127.8097,0.0856,2.9701,1077.3862,17:57.39,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[0,2];1:[0,1,2];3:[0,2];0:[0];5:[0];2:[0,1,2];9:[0,1,2];7:[0];6:[0,2]","c4:bw=10,experts=[0]; c8:bw=20,experts=[0,2]; c1:bw=32,experts=[0,1,2]; c3:bw=21,experts=[0,2]; c0:bw=18,experts=[0]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,1,2]; c9:bw=33,experts=[0,1,2]; c7:bw=10,experts=[0]; c6:bw=23,experts=[0,2]","8.1125,19.7919,46.5493,1.2183,15.0222,12.8382,0.6832,11.2226,8.3437,4.0279"
9,2026-09-18 02:32:09,Ours,0.01,0.994706494520976,52.41,55.01,8,140.7333,2:20.73,136.59,0.0929,4.043,1218.1459,20:18.15,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[0];0:[0,2];4:[0,1,2];9:[0];8:[0];6:[0];7:[0,2];5:[0,2];1:[0];3:[0]","c2:bw=12,experts=[0]; c0:bw=29,experts=[0,2]; c4:bw=33,experts=[0,1,2]; c9:bw=15,experts=[0]; c8:bw=10,experts=[0]; c6:bw=17,experts=[0]; c7:bw=25,experts=[0,2]; c5:bw=29,experts=[0,2]; c1:bw=10,experts=[0]; c3:bw=13,experts=[0]","0.5125,14.1103,6.7709,10.4937,15.8959,5.9380,9.6452,17.3985,54.2829,1.5420"
10,2026-09-18 02:34:33,Ours,0.01,0.9840332491313537,59.08,59.08,10,144.0168,2:24.02,140.0339,0.0936,3.88,1362.1968,22:42.20,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[0,2];2:[0];7:[0,2];0:[0,1,2];6:[0,1,2];3:[0,2];5:[0,1,2];8:[0,2];9:[0,2];1:[0,2]","c4:bw=20,experts=[0,2]; c2:bw=19,experts=[0]; c7:bw=21,experts=[0,2]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[0,2]; c5:bw=32,experts=[0,1,2]; c8:bw=20,experts=[0,2]; c9:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]","7.7868,0.5431,8.8191,17.4768,4.6128,1.3375,16.0238,17.9120,13.4581,52.0637"
11,2026-09-18 02:36:58,Ours,0.01,0.9582538421710503,57.82,59.08,10,145.1004,2:25.10,141.4827,0.0886,3.5229,1507.3303,25:07.33,10,"5,2,7,3,0,8,9,6,1,4",5:15;2:15;7:24;3:28;0:16;8:22;9:18;6:31;1:22;4:10,"5:[0];2:[0];7:[0,2];3:[0,2];0:[0];8:[0,2];9:[0];6:[0,1,2];1:[0,2];4:[0]","c5:bw=15,experts=[0]; c2:bw=15,experts=[0]; c7:bw=24,experts=[0,2]; c3:bw=28,experts=[0,2]; c0:bw=16,experts=[0]; c8:bw=22,experts=[0,2]; c9:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c1:bw=22,experts=[0,2]; c4:bw=10,experts=[0]","16.7322,0.6277,8.9933,1.5017,17.8868,18.0529,13.8188,4.4879,52.0805,7.3009"
