Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
38,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
39,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
40,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
40,4,3,105,6664,16,0,1.0,0.0,1.0,1.0,1.0,1.0
41,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
41,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
41,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
42,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,0.0,1.0
42,7,3,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
43,6,2,103,6582,16,0,1.0,0.0,0.0,1.0,1.0,1.0
44,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
45,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
47,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
47,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
48,0,2,72,4573,16,0,0.0,1.0,1.0,0.0,0.0,0.0
48,3,3,79,5018,16,0,1.0,0.0,0.0,1.0,1.0,1.0
49,0,3,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
49,6,2,103,6582,16,0,1.0,1.0,0.0,0.0,0.0,1.0
50,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
51,2,3,58,3656,16,0,1.0,1.0,0.0,0.0,1.0,1.0
51,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
51,4,2,105,6664,16,0,1.0,0.0,0.0,0.0,1.0,1.0
52,8,3,82,5219,16,0,0.0,0.0,0.0,0.0,0.0,0.0
54,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
54,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
55,4,2,105,6664,16,0,1.0,1.0,1.0,0.0,1.0,1.0
55,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
56,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
