Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-19 09:12:02,Ours,0.00208,1.5166824701476636,11.3,11.3,1,65.5282,1:05.53,63.8806,0.2191,1.4268,65.5283,1:05.53,10,"8,1,5,0,7,2,9,4,3,6",8:104;1:55;5:84;0:10;7:38;2:55;9:86;4:75;3:96;6:77,"8:[0,1,2,4,5,6,9,10,11,13];1:[2,4,5,6,13];5:[0,1,2,4,5,6,12,13];0:[4];7:[4,6,13];2:[0,4,8,9,10];9:[0,1,2,4,5,6,10,13];4:[0,1,2,4,6,10,13];3:[0,4,6,8,9,10,11,12,13];6:[0,1,4,5,6,10,13]","c8:bw=104,experts=[0,1,2,4,5,6,9,10,11,13]; c1:bw=55,experts=[2,4,5,6,13]; c5:bw=84,experts=[0,1,2,4,5,6,12,13]; c0:bw=10,experts=[4]; c7:bw=38,experts=[4,6,13]; c2:bw=55,experts=[0,4,8,9,10]; c9:bw=86,experts=[0,1,2,4,5,6,10,13]; c4:bw=75,experts=[0,1,2,4,6,10,13]; c3:bw=96,experts=[0,4,6,8,9,10,11,12,13]; c6:bw=77,experts=[0,1,4,5,6,10,13]","8.3098,21.5910,7.4756,8.4492,4.3528,0.4972,6.1784,3.8746,0.7826,2.3694"
2,2026-09-19 09:13:04,Ours,0.00406,1.234955631745706,33.49,33.49,2,62.4858,1:02.49,60.8726,0.1962,1.4148,128.1896,2:08.19,10,"0,1,8,5,3,4,7,9,6,2",0:67;1:78;8:91;5:130;3:127;4:56;7:104;9:88;6:32;2:41,"0:[0,1,4,6,10,13];1:[0,2,4,5,6,13,14];8:[0,1,2,4,5,6,10,11,13];5:[0,1,2,4,5,6,8,9,10,11,12,13,15];3:[0,1,2,4,5,6,8,9,10,11,12,13];4:[2,4,6,10,13];7:[0,1,2,4,5,6,9,11,12,13];9:[0,1,2,4,5,6,12,13];6:[4,6,13];2:[0,4,6,13]","c0:bw=67,experts=[0,1,4,6,10,13]; c1:bw=78,experts=[0,2,4,5,6,13,14]; c8:bw=91,experts=[0,1,2,4,5,6,10,11,13]; c5:bw=130,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15]; c3:bw=127,experts=[0,1,2,4,5,6,8,9,10,11,12,13]; c4:bw=56,experts=[2,4,6,10,13]; c7:bw=104,experts=[0,1,2,4,5,6,9,11,12,13]; c9:bw=88,experts=[0,1,2,4,5,6,12,13]; c6:bw=32,experts=[4,6,13]; c2:bw=41,experts=[0,4,6,13]","7.3579,22.1098,7.8737,6.9200,0.6964,3.4367,4.1921,5.7574,2.1914,0.3372"
3,2026-09-19 09:14:08,Ours,0.006040000000000001,1.2029137061405175,39.42,39.42,3,63.5413,1:03.54,61.928,0.2054,1.4003,191.7475,3:11.75,10,"9,2,0,6,8,5,3,7,1,4",9:90;2:78;0:94;6:75;8:56;5:25;3:48;7:62;1:25;4:98,"9:[0,1,2,4,5,6,10,12,13];2:[0,2,4,6,10,12,13];0:[0,1,2,4,5,6,10,11,13];6:[1,2,3,4,6,10,13];8:[4,5,6,10,13];5:[4,6];3:[2,4,6,13];7:[1,2,4,6,10,13];1:[4,6];4:[0,1,2,4,5,6,10,12,13]","c9:bw=90,experts=[0,1,2,4,5,6,10,12,13]; c2:bw=78,experts=[0,2,4,6,10,12,13]; c0:bw=94,experts=[0,1,2,4,5,6,10,11,13]; c6:bw=75,experts=[1,2,3,4,6,10,13]; c8:bw=56,experts=[4,5,6,10,13]; c5:bw=25,experts=[4,6]; c3:bw=48,experts=[2,4,6,13]; c7:bw=62,experts=[1,2,4,6,10,13]; c1:bw=25,experts=[4,6]; c4:bw=98,experts=[0,1,2,4,5,6,10,12,13]","5.8003,0.3271,7.5905,2.2772,7.8069,7.0324,0.7078,4.4099,22.4993,3.4765"
4,2026-09-19 09:15:12,Ours,0.00802,1.1033485320858372,39.83,39.83,4,63.874,1:03.87,62.219,0.2172,1.4357,255.6381,4:15.64,10,"1,7,6,2,8,0,3,4,5,9",1:75;7:84;6:100;2:113;8:59;0:111;3:64;4:105;5:138;9:41,"1:[0,1,2,4,6,13,14];7:[0,1,2,4,5,6,10,13];6:[0,1,2,4,5,6,10,11,12,13];2:[0,1,2,4,5,6,8,10,11,12,13];8:[1,2,4,6,13];0:[0,1,2,4,5,6,9,10,11,12,13];3:[2,4,6,10,11,13];4:[1,2,3,4,5,6,10,13,14,15];5:[0,1,2,3,4,5,6,8,10,11,13,14,15];9:[4,5,6,13]","c1:bw=75,experts=[0,1,2,4,6,13,14]; c7:bw=84,experts=[0,1,2,4,5,6,10,13]; c6:bw=100,experts=[0,1,2,4,5,6,10,11,12,13]; c2:bw=113,experts=[0,1,2,4,5,6,8,10,11,12,13]; c8:bw=59,experts=[1,2,4,6,13]; c0:bw=111,experts=[0,1,2,4,5,6,9,10,11,12,13]; c3:bw=64,experts=[2,4,6,10,11,13]; c4:bw=105,experts=[1,2,3,4,5,6,10,13,14,15]; c5:bw=138,experts=[0,1,2,3,4,5,6,8,10,11,13,14,15]; c9:bw=41,experts=[4,5,6,13]","22.8114,4.2705,2.1539,0.3301,7.8437,7.4475,0.7263,3.5301,7.1762,5.9293"
5,2026-09-19 09:16:17,Ours,0.01,1.0880284430585672,46.47,46.47,5,64.7297,1:04.73,63.0463,0.215,1.4602,320.3856,5:20.39,10,"1,5,4,8,0,7,6,3,2,9",1:37;5:75;4:91;8:69;0:94;7:46;6:100;3:119;2:13;9:118,"1:[4,6,14];5:[0,1,2,4,5,6,13];4:[0,1,2,4,5,6,13,14,15];8:[2,4,5,6,13,14];0:[0,1,2,4,5,6,11,13,14];7:[2,4,6,13];6:[1,2,3,4,5,6,10,13,14,15];3:[0,1,2,4,5,6,8,10,11,12,13];2:[4];9:[0,1,2,4,5,6,8,11,12,13,14]","c1:bw=37,experts=[4,6,14]; c5:bw=75,experts=[0,1,2,4,5,6,13]; c4:bw=91,experts=[0,1,2,4,5,6,13,14,15]; c8:bw=69,experts=[2,4,5,6,13,14]; c0:bw=94,experts=[0,1,2,4,5,6,11,13,14]; c7:bw=46,experts=[2,4,6,13]; c6:bw=100,experts=[1,2,3,4,5,6,10,13,14,15]; c3:bw=119,experts=[0,1,2,4,5,6,8,10,11,12,13]; c2:bw=13,experts=[4]; c9:bw=118,experts=[0,1,2,4,5,6,8,11,12,13,14]","22.9321,7.1791,3.5475,8.0154,7.6797,4.4216,2.2869,0.7293,0.3364,5.9183"
6,2026-09-19 09:17:20,Ours,0.01,1.0532520181483491,43.97,46.47,5,63.7135,1:03.71,62.0701,0.2095,1.4321,384.117,6:24.12,10,"8,2,5,7,3,1,9,0,4,6",8:126;2:79;5:51;7:110;3:68;1:61;9:91;0:59;4:33;6:38,"8:[0,1,2,4,5,6,10,11,12,13,14,15];2:[1,2,4,5,6,12,13];5:[1,2,4,6,13];7:[0,1,2,3,4,6,8,10,13,14,15];3:[0,2,4,6,11,13];1:[0,2,4,6,13,14];9:[1,2,3,4,5,6,8,13,14];0:[0,2,4,6,13];4:[2,4,6];6:[2,4,6]","c8:bw=126,experts=[0,1,2,4,5,6,10,11,12,13,14,15]; c2:bw=79,experts=[1,2,4,5,6,12,13]; c5:bw=51,experts=[1,2,4,6,13]; c7:bw=110,experts=[0,1,2,3,4,6,8,10,13,14,15]; c3:bw=68,experts=[0,2,4,6,11,13]; c1:bw=61,experts=[0,2,4,6,13,14]; c9:bw=91,experts=[1,2,3,4,5,6,8,13,14]; c0:bw=59,experts=[0,2,4,6,13]; c4:bw=33,experts=[2,4,6]; c6:bw=38,experts=[2,4,6]","8.1513,0.3412,7.1776,4.2440,0.6951,22.3480,5.8729,7.5082,3.4626,2.2692"
7,2026-09-19 09:18:26,Ours,0.01,1.0400067342844352,45.05,46.47,5,65.6036,1:05.60,64.0141,0.2045,1.3833,449.7415,7:29.74,10,"0,5,2,6,3,7,4,1,8,9",0:68;5:92;2:75;6:25;3:50;7:58;4:26;1:18;8:108;9:10,"0:[1,2,4,5,6,13];5:[0,1,2,4,5,6,8,13,14];2:[0,1,2,4,5,6,13];6:[2,4];3:[0,2,4,6,13];7:[2,4,6,8,13];4:[4,6];1:[6];8:[0,1,2,3,4,5,6,10,11,13];9:[4]","c0:bw=68,experts=[1,2,4,5,6,13]; c5:bw=92,experts=[0,1,2,4,5,6,8,13,14]; c2:bw=75,experts=[0,1,2,4,5,6,13]; c6:bw=25,experts=[2,4]; c3:bw=50,experts=[0,2,4,6,13]; c7:bw=58,experts=[2,4,6,8,13]; c4:bw=26,experts=[4,6]; c1:bw=18,experts=[6]; c8:bw=108,experts=[0,1,2,3,4,5,6,10,11,13]; c9:bw=10,experts=[4]","8.3852,7.3095,0.3357,2.4642,0.7080,4.3286,3.8270,22.6838,8.2156,5.7564"
8,2026-09-19 09:19:35,Ours,0.01,0.9706999803179567,44.94,46.47,5,68.5407,1:08.54,66.9225,0.2036,1.4087,518.3026,8:38.30,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:70;1:110;3:70;0:61;5:53;2:102;9:111;7:28;6:78,"4:[4];8:[1,2,4,5,6,12,13];1:[0,1,2,4,5,6,8,9,10,12,13];3:[0,2,4,5,6,11,13];0:[1,2,4,5,6,13];5:[1,2,4,6,13];2:[0,1,2,4,5,6,10,11,12,13];9:[1,2,3,4,5,6,8,12,13,14,15];7:[4,6];6:[1,2,4,6,13,14,15]","c4:bw=10,experts=[4]; c8:bw=70,experts=[1,2,4,5,6,12,13]; c1:bw=110,experts=[0,1,2,4,5,6,8,9,10,12,13]; c3:bw=70,experts=[0,2,4,5,6,11,13]; c0:bw=61,experts=[1,2,4,5,6,13]; c5:bw=53,experts=[1,2,4,6,13]; c2:bw=102,experts=[0,1,2,4,5,6,10,11,12,13]; c9:bw=111,experts=[1,2,3,4,5,6,8,12,13,14,15]; c7:bw=28,experts=[4,6]; c6:bw=78,experts=[1,2,4,6,13,14,15]","3.6637,8.1368,27.0981,0.7064,7.6404,7.0258,0.3335,5.8799,4.2388,2.1991"
9,2026-09-19 09:20:44,Ours,0.01,1.0883978285054008,60.7,60.7,9,68.9203,1:08.92,67.2742,0.2072,1.4371,587.2448,9:47.24,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:99;4:112;9:49;8:34;6:59;7:87;5:99;1:27;3:43,"2:[4,5,6,13];0:[0,1,2,4,5,9,10,14,15];4:[0,1,2,4,5,8,11,12,13,14,15];9:[2,4,6,13];8:[0,4,5];6:[1,2,4,13,14];7:[0,1,2,4,5,8,13,15];5:[0,1,2,4,5,6,10,11,13];1:[4,6];3:[4,5,6,13]","c2:bw=40,experts=[4,5,6,13]; c0:bw=99,experts=[0,1,2,4,5,9,10,14,15]; c4:bw=112,experts=[0,1,2,4,5,8,11,12,13,14,15]; c9:bw=49,experts=[2,4,6,13]; c8:bw=34,experts=[0,4,5]; c6:bw=59,experts=[1,2,4,13,14]; c7:bw=87,experts=[0,1,2,4,5,8,13,15]; c5:bw=99,experts=[0,1,2,4,5,6,10,11,13]; c1:bw=27,experts=[4,6]; c3:bw=43,experts=[4,5,6,13]","0.3181,8.5651,4.0398,5.8596,9.2892,2.5415,4.9382,7.7766,23.1890,0.7571"
10,2026-09-19 09:21:48,Ours,0.01,0.9206239057692958,51.14,60.7,9,64.2709,1:04.27,62.6672,0.2099,1.3919,651.5337,10:51.53,10,"4,2,7,0,6,3,5,8,9,1",4:69;2:64;7:71;0:111;6:123;3:87;5:109;8:67;9:66;1:77,"4:[1,2,4,6,14,15];2:[0,2,4,5,6,12];7:[1,2,4,6,8,13,14];0:[0,1,2,4,5,6,10,11,13,14,15];6:[0,1,2,4,5,6,8,10,11,13,14,15];3:[0,1,2,4,5,6,11,13];5:[0,1,2,4,6,10,11,13,14,15];8:[1,2,4,6,13,14];9:[2,4,6,13,14,15];1:[1,2,4,6,7,13,14]","c4:bw=69,experts=[1,2,4,6,14,15]; c2:bw=64,experts=[0,2,4,5,6,12]; c7:bw=71,experts=[1,2,4,6,8,13,14]; c0:bw=111,experts=[0,1,2,4,5,6,10,11,13,14,15]; c6:bw=123,experts=[0,1,2,4,5,6,8,10,11,13,14,15]; c3:bw=87,experts=[0,1,2,4,5,6,11,13]; c5:bw=109,experts=[0,1,2,4,6,10,11,13,14,15]; c8:bw=67,experts=[1,2,4,6,13,14]; c9:bw=66,experts=[2,4,6,13,14,15]; c1:bw=77,experts=[1,2,4,6,7,13,14]","3.5117,0.3316,4.3184,7.5009,2.2350,0.7401,7.2572,8.1708,5.8168,22.7846"
