Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-25 19:37:18,Ours,0.00208,3.634278025492841,2.21,2.21,1,67.4519,1:07.45,66.1063,0.1742,1.17,67.4519,1:07.45,10,"8,1,5,0,7,2,9,4,3,6",8:25;1:13;5:20;0:1;7:9;2:13;9:21;4:18;3:23;6:19,"8:[10,15];1:[17];5:[15,17];0:[];7:[];2:[15];9:[0,11];4:[15];3:[17,20];6:[20]","c8:bw=25,experts=[10,15]; c1:bw=13,experts=[17]; c5:bw=20,experts=[15,17]; c0:bw=1,experts=[]; c7:bw=9,experts=[]; c2:bw=13,experts=[15]; c9:bw=21,experts=[0,11]; c4:bw=18,experts=[15]; c3:bw=23,experts=[17,20]; c6:bw=19,experts=[20]","8.1117,5.3063,7.8787,5.8062,5.7267,5.0715,4.7101,8.6801,6.5394,8.2755"
2,2026-09-25 19:38:25,Ours,0.00406,3.2207726834325414,4.4,4.4,2,66.9084,1:06.91,65.5306,0.1809,1.1957,134.5667,2:14.57,10,"0,1,8,5,3,4,7,9,6,2",0:16;1:19;8:22;5:31;3:31;4:14;7:25;9:21;6:8;2:10,"0:[15];1:[17];8:[10,15];5:[10,11,17];3:[0,17,20];4:[15];7:[15,20];9:[11,20];6:[];2:[15]","c0:bw=16,experts=[15]; c1:bw=19,experts=[17]; c8:bw=22,experts=[10,15]; c5:bw=31,experts=[10,11,17]; c3:bw=31,experts=[0,17,20]; c4:bw=14,experts=[15]; c7:bw=25,experts=[15,20]; c9:bw=21,experts=[11,20]; c6:bw=8,experts=[]; c2:bw=10,experts=[15]","5.9462,5.6494,6.7115,8.0929,6.2602,8.6961,5.9865,4.7003,8.5104,4.9771"
3,2026-09-25 19:39:33,Ours,0.006040000000000001,3.0797663291217057,8.09,8.09,3,67.7978,1:07.80,66.5067,0.1931,1.0969,202.3811,3:22.38,10,"9,2,0,6,8,5,3,7,1,4",9:22;2:19;0:23;6:18;8:14;5:6;3:12;7:15;1:6;4:24,"9:[17,20];2:[15];0:[11,15];6:[20];8:[15];5:[];3:[20];7:[20];1:[];4:[15,17]","c9:bw=22,experts=[17,20]; c2:bw=19,experts=[15]; c0:bw=23,experts=[11,15]; c6:bw=18,experts=[20]; c8:bw=14,experts=[15]; c5:bw=6,experts=[]; c3:bw=12,experts=[20]; c7:bw=15,experts=[20]; c1:bw=6,experts=[]; c4:bw=24,experts=[15,17]","4.7226,4.9683,6.0989,8.7074,7.0177,8.0394,6.7393,5.8511,5.5919,8.7701"
4,2026-09-25 19:40:39,Ours,0.00802,2.9995609667487315,8.21,8.21,4,66.4888,1:06.49,65.1565,0.1804,1.1508,268.8883,4:28.89,10,"1,7,6,2,8,0,3,4,5,9",1:18;7:20;6:24;2:27;8:14;0:27;3:15;4:25;5:33;9:10,"1:[17];7:[15,20];6:[11,20];2:[15,20];8:[15];0:[11,15];3:[20];4:[11,15];5:[11,15,17];9:[20]","c1:bw=18,experts=[17]; c7:bw=20,experts=[15,20]; c6:bw=24,experts=[11,20]; c2:bw=27,experts=[15,20]; c8:bw=14,experts=[15]; c0:bw=27,experts=[11,15]; c3:bw=15,experts=[20]; c4:bw=25,experts=[11,15]; c5:bw=33,experts=[11,15,17]; c9:bw=10,experts=[20]","5.3683,5.7583,8.3852,4.8877,6.7824,5.9668,6.5687,9.0223,7.9402,4.4767"
5,2026-09-25 19:41:47,Ours,0.01,2.9353966535344593,11.19,11.19,5,67.1464,1:07.15,65.8216,0.1682,1.1556,336.0538,5:36.05,10,"1,5,4,8,0,7,6,3,2,9",1:9;5:18;4:22;8:17;0:23;7:11;6:24;3:29;2:3;9:28,"1:[];5:[17];4:[15,17];8:[15];0:[15,17];7:[20];6:[17,20];3:[17,20];2:[];9:[15,20]","c1:bw=9,experts=[]; c5:bw=18,experts=[17]; c4:bw=22,experts=[15,17]; c8:bw=17,experts=[15]; c0:bw=23,experts=[15,17]; c7:bw=11,experts=[20]; c6:bw=24,experts=[17,20]; c3:bw=29,experts=[17,20]; c2:bw=3,experts=[]; c9:bw=28,experts=[15,20]","5.3848,7.9828,8.7945,6.6979,6.1714,6.1237,8.7284,6.4818,4.8742,4.5820"
6,2026-09-25 19:42:54,Ours,0.01,2.8526319140164604,13.21,13.21,6,67.3606,1:07.36,65.9748,0.169,1.2159,403.4336,6:43.43,10,"8,2,5,7,3,1,9,0,4,6",8:30;2:19;5:12;7:26;3:17;1:15;9:22;0:14;4:8;6:9,"8:[11,15,20];2:[20];5:[17];7:[15,20];3:[20];1:[20];9:[15,20];0:[15];4:[];6:[]","c8:bw=30,experts=[11,15,20]; c2:bw=19,experts=[20]; c5:bw=12,experts=[17]; c7:bw=26,experts=[15,20]; c3:bw=17,experts=[20]; c1:bw=15,experts=[20]; c9:bw=22,experts=[15,20]; c0:bw=14,experts=[15]; c4:bw=8,experts=[]; c6:bw=9,experts=[]","6.9127,4.9405,8.0690,6.0034,6.6321,5.6578,4.5451,6.0284,8.6572,8.5286"
7,2026-09-25 19:44:02,Ours,0.01,2.7366815199214316,14.4,14.4,7,67.6179,1:07.62,66.2506,0.1702,1.196,471.0689,7:51.07,10,"0,5,2,6,3,7,4,1,8,9",0:16;5:22;2:18;6:6;3:12;7:14;4:6;1:4;8:26;9:1,"0:[15];5:[11,17];2:[20];6:[];3:[20];7:[20];4:[];1:[];8:[15,20];9:[]","c0:bw=16,experts=[15]; c5:bw=22,experts=[11,17]; c2:bw=18,experts=[20]; c6:bw=6,experts=[]; c3:bw=12,experts=[20]; c7:bw=14,experts=[20]; c4:bw=6,experts=[]; c1:bw=4,experts=[]; c8:bw=26,experts=[15,20]; c9:bw=1,experts=[]","6.1233,8.0085,4.7609,8.5694,6.6962,5.9995,8.6931,5.6778,7.0655,4.6564"
8,2026-09-25 19:45:08,Ours,0.01,2.6749493443177648,18.21,18.21,8,66.1797,1:06.18,64.8329,0.1624,1.1834,537.2688,8:57.27,10,"4,8,1,3,0,5,2,9,7,6",4:2;8:17;1:26;3:17;0:15;5:13;2:24;9:27;7:7;6:19,"4:[];8:[20];1:[17,20];3:[20];0:[20];5:[17];2:[17,20];9:[17,20];7:[];6:[20]","c4:bw=2,experts=[]; c8:bw=17,experts=[20]; c1:bw=26,experts=[17,20]; c3:bw=17,experts=[20]; c0:bw=15,experts=[20]; c5:bw=13,experts=[17]; c2:bw=24,experts=[17,20]; c9:bw=27,experts=[17,20]; c7:bw=7,experts=[]; c6:bw=19,experts=[20]","8.3836,6.6696,5.4741,6.6205,6.0448,7.8386,5.0387,4.4669,5.8203,8.4759"
9,2026-09-25 19:46:13,Ours,0.01,2.594672725036807,22.35,22.35,9,65.1056,1:05.11,63.8221,0.1606,1.1218,602.3946,10:02.39,10,"2,0,4,9,8,6,7,5,1,3",2:10;0:24;4:27;9:12;8:8;6:14;7:21;5:24;1:7;3:10,"2:[20];0:[15,20];4:[15,20];9:[20];8:[];6:[20];7:[15,20];5:[15,17];1:[];3:[20]","c2:bw=10,experts=[20]; c0:bw=24,experts=[15,20]; c4:bw=27,experts=[15,20]; c9:bw=12,experts=[20]; c8:bw=8,experts=[]; c6:bw=14,experts=[20]; c7:bw=21,experts=[15,20]; c5:bw=24,experts=[15,17]; c1:bw=7,experts=[]; c3:bw=10,experts=[20]","4.6263,5.9176,8.4982,4.4012,6.8297,8.4058,5.8317,7.8286,5.3206,6.1624"
10,2026-09-25 19:47:17,Ours,0.01,2.539917759943819,25.88,25.88,10,64.3555,1:04.36,63.0626,0.1597,1.1322,666.7661,11:06.77,10,"4,2,7,0,6,3,5,8,9,1",4:17;2:15;7:17;0:27;6:30;3:21;5:26;8:16;9:16;1:19,"4:[20];2:[20];7:[20];0:[15,20];6:[15,17,20];3:[17,20];5:[17,20];8:[20];9:[20];1:[20]","c4:bw=17,experts=[20]; c2:bw=15,experts=[20]; c7:bw=17,experts=[20]; c0:bw=27,experts=[15,20]; c6:bw=30,experts=[15,17,20]; c3:bw=21,experts=[17,20]; c5:bw=26,experts=[17,20]; c8:bw=16,experts=[20]; c9:bw=16,experts=[20]; c1:bw=19,experts=[20]","8.3504,4.6099,5.8461,5.9142,8.1755,6.3856,7.6641,6.5998,4.2766,5.2404"
