Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-18 07:10:28,Ours,0.00208,1.4692847566565301,10.46,10.46,1,52.0559,0:52.06,50.7675,0.1393,1.1477,52.0559,0:52.06,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[2];5:[1,2];0:[2];7:[2];2:[2];9:[1,2];4:[1,2];3:[1,2];6:[1,2]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[2]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[1,2]","8.0659,17.7491,5.5256,5.9993,3.4310,0.2866,4.6040,2.7491,0.5777,1.7791"
2,2026-09-18 07:11:18,Ours,0.00406,1.289376352397769,23.99,23.99,2,49.7527,0:49.75,48.4959,0.1302,1.1254,102.0695,1:42.07,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[0,2];1:[0,2];8:[0,2];5:[0,1,2];3:[0,1,2];4:[0];7:[0,1,2];9:[0,2];6:[0];2:[2]","c0:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]; c8:bw=27,experts=[0,2]; c5:bw=38,experts=[0,1,2]; c3:bw=37,experts=[0,1,2]; c4:bw=17,experts=[0]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[0,2]; c6:bw=10,experts=[0]; c2:bw=12,experts=[2]","5.9719,17.5173,6.1505,5.6664,0.5358,2.6735,3.3606,4.6305,1.7355,0.2539"
3,2026-09-18 07:12:08,Ours,0.006040000000000001,1.2069410677625754,32.82,32.82,3,49.8733,0:49.87,48.6421,0.1332,1.0968,151.9546,2:31.95,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[0,2];2:[0,2];0:[0,2];6:[0,2];8:[2];5:[2];3:[2];7:[2];1:[2];4:[0,2]","c9:bw=26,experts=[0,2]; c2:bw=23,experts=[0,2]; c0:bw=28,experts=[0,2]; c6:bw=22,experts=[0,2]; c8:bw=17,experts=[2]; c5:bw=10,experts=[2]; c3:bw=14,experts=[2]; c7:bw=18,experts=[2]; c1:bw=10,experts=[2]; c4:bw=29,experts=[0,2]","4.6183,0.2529,5.8760,1.6960,6.3530,5.6233,0.5483,3.3640,17.6122,2.6981"
4,2026-09-18 07:12:58,Ours,0.00802,1.2237282643930025,28.73,32.82,3,50.2428,0:50.24,48.9843,0.1364,1.1165,202.2091,3:22.21,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[0,2];7:[0,2];6:[0,2];2:[0,1,2];8:[0];0:[0,1,2];3:[0];4:[0,1,2];5:[0,1,2,3];9:[2]","c1:bw=22,experts=[0,2]; c7:bw=25,experts=[0,2]; c6:bw=29,experts=[0,2]; c2:bw=33,experts=[0,1,2]; c8:bw=17,experts=[0]; c0:bw=33,experts=[0,1,2]; c3:bw=19,experts=[0]; c4:bw=31,experts=[0,1,2]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[2]","17.8171,3.3417,1.7106,0.2493,6.3537,5.9167,0.5401,2.7476,5.6731,4.6342"
5,2026-09-18 07:13:48,Ours,0.01,1.0974819082713199,35.61,35.61,5,50.3213,0:50.32,49.0586,0.1318,1.1296,252.5423,4:12.54,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[2];5:[0,2];4:[0,2];8:[0,2];0:[0,2];7:[2];6:[0,2];3:[0,1,2];2:[2];9:[0,1,2]","c1:bw=11,experts=[2]; c5:bw=22,experts=[0,2]; c4:bw=27,experts=[0,2]; c8:bw=20,experts=[0,2]; c0:bw=28,experts=[0,2]; c7:bw=14,experts=[2]; c6:bw=29,experts=[0,2]; c3:bw=35,experts=[0,1,2]; c2:bw=10,experts=[2]; c9:bw=35,experts=[0,1,2]","17.8437,5.6578,2.7435,6.4312,5.9039,3.4088,1.7177,0.5483,0.2423,4.5613"
6,2026-09-18 07:14:38,Ours,0.01,1.0579712002910069,47.1,47.1,6,49.8753,0:49.88,48.6032,0.1377,1.1332,302.4297,5:02.43,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[0,1,2];2:[0,2];5:[0];7:[0,1,2];3:[0,2];1:[0];9:[0,2];0:[0];4:[0];6:[0]","c8:bw=37,experts=[0,1,2]; c2:bw=23,experts=[0,2]; c5:bw=15,experts=[0]; c7:bw=32,experts=[0,1,2]; c3:bw=20,experts=[0,2]; c1:bw=18,experts=[0]; c9:bw=27,experts=[0,2]; c0:bw=17,experts=[0]; c4:bw=10,experts=[0]; c6:bw=11,experts=[0]","6.3720,0.2521,5.5115,3.3463,0.5342,17.6934,4.5263,5.9410,2.7398,1.6867"
7,2026-09-18 07:15:28,Ours,0.01,1.0901969761288834,46.93,47.1,6,49.807,0:49.81,48.557,0.1288,1.12,352.2487,5:52.25,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[0,2];5:[0,2];2:[0,2];6:[0];3:[0];7:[0];4:[0];1:[0];8:[0,1,2];9:[0]","c0:bw=20,experts=[0,2]; c5:bw=27,experts=[0,2]; c2:bw=22,experts=[0,2]; c6:bw=10,experts=[0]; c3:bw=15,experts=[0]; c7:bw=17,experts=[0]; c4:bw=10,experts=[0]; c1:bw=10,experts=[0]; c8:bw=32,experts=[0,1,2]; c9:bw=10,experts=[0]","5.8307,5.5266,0.2509,1.7046,0.5443,3.3392,2.7358,17.7253,6.3785,4.5210"
8,2026-09-18 07:16:18,Ours,0.01,1.0542209998752354,54.51,54.51,8,49.8892,0:49.89,48.628,0.1322,1.1278,402.1496,6:42.15,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[0,2];1:[0,1,2];3:[0,2];0:[0];5:[0];2:[0,1,2];9:[0,1,2];7:[0];6:[0,2]","c4:bw=10,experts=[0]; c8:bw=20,experts=[0,2]; c1:bw=32,experts=[0,1,2]; c3:bw=21,experts=[0,2]; c0:bw=18,experts=[0]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,1,2]; c9:bw=33,experts=[0,1,2]; c7:bw=10,experts=[0]; c6:bw=23,experts=[0,2]","2.7555,6.3231,17.8333,0.5342,5.8915,5.4811,0.2546,4.5570,3.2946,1.7029"
9,2026-09-18 07:17:08,Ours,0.01,1.0096303218208267,50.85,54.51,8,49.8346,0:49.83,48.5651,0.1291,1.1393,451.9975,7:32.00,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[0];0:[0,2];4:[0,1,2];9:[0];8:[0];6:[0];7:[0,2];5:[0,2];1:[0];3:[0]","c2:bw=12,experts=[0]; c0:bw=29,experts=[0,2]; c4:bw=33,experts=[0,1,2]; c9:bw=15,experts=[0]; c8:bw=10,experts=[0]; c6:bw=17,experts=[0]; c7:bw=25,experts=[0,2]; c5:bw=29,experts=[0,2]; c1:bw=10,experts=[0]; c3:bw=13,experts=[0]","0.2541,5.8241,2.7533,4.5331,6.3774,1.7026,3.4042,5.4717,17.6980,0.5466"
10,2026-09-18 07:17:58,Ours,0.01,0.9986005751659718,57.08,57.08,10,49.7854,0:49.79,48.5373,0.1366,1.1102,501.7948,8:21.79,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[0,2];2:[0];7:[0,2];0:[0,1,2];6:[0,1,2];3:[0,2];5:[0,1,2];8:[0,2];9:[0,2];1:[0,2]","c4:bw=20,experts=[0,2]; c2:bw=19,experts=[0]; c7:bw=21,experts=[0,2]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[0,2]; c5:bw=32,experts=[0,1,2]; c8:bw=20,experts=[0,2]; c9:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]","2.7524,0.2488,3.3386,5.8088,1.6960,0.5304,5.4848,6.3837,4.5458,17.7481"
11,2026-09-18 07:18:47,Ours,0.01,0.9746398761525393,56.33,57.08,10,49.8281,0:49.83,48.5711,0.1279,1.1279,551.6363,9:11.64,10,"5,2,7,3,0,8,9,6,1,4",5:15;2:15;7:24;3:28;0:16;8:22;9:18;6:31;1:22;4:10,"5:[0];2:[0];7:[0,2];3:[0,2];0:[0];8:[0,2];9:[0];6:[0,1,2];1:[0,2];4:[0]","c5:bw=15,experts=[0]; c2:bw=15,experts=[0]; c7:bw=24,experts=[0,2]; c3:bw=28,experts=[0,2]; c0:bw=16,experts=[0]; c8:bw=22,experts=[0,2]; c9:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c1:bw=22,experts=[0,2]; c4:bw=10,experts=[0]","5.5228,0.2542,3.3396,0.5289,5.7751,6.3332,4.6546,1.7024,17.7069,2.7535"
