Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-18 15:29:52,Ours,0.00208,1.4689494013714077,18.38,18.38,1,51.9651,0:51.97,50.5383,0.1842,1.2414,51.9651,0:51.97,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[2];5:[1,2];0:[2];7:[2];2:[2];9:[1,2];4:[1,2];3:[1,2];6:[1,2]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[2]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[1,2]","7.1292,18.0917,5.6122,6.0221,3.4935,0.2881,4.6965,2.8096,0.5919,1.8034"
2,2026-09-18 15:30:48,Ours,0.00406,1.3495386057431666,20.46,20.46,2,55.3173,0:55.32,53.9265,0.1802,1.2093,107.5026,1:47.50,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[0,2];1:[0,2];8:[0,2];5:[0,1,2];3:[0,1,2];4:[0];7:[0,1,2];9:[0,2];6:[0];2:[2]","c0:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]; c8:bw=27,experts=[0,2]; c5:bw=38,experts=[0,1,2]; c3:bw=37,experts=[0,1,2]; c4:bw=17,experts=[0]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[0,2]; c6:bw=10,experts=[0]; c2:bw=12,experts=[2]","6.4595,19.5011,6.8217,6.3752,0.6035,3.0372,3.7447,5.2029,1.8990,0.2817"
3,2026-09-18 15:31:43,Ours,0.006040000000000001,1.2147138207541879,26.27,26.27,3,54.8637,0:54.86,53.4477,0.1951,1.2196,162.3792,2:42.38,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[1,2];2:[1,2];0:[1,2];6:[1,2];8:[1];5:[2];3:[1];7:[1];1:[2];4:[1,2]","c9:bw=26,experts=[1,2]; c2:bw=23,experts=[1,2]; c0:bw=28,experts=[1,2]; c6:bw=22,experts=[1,2]; c8:bw=17,experts=[1]; c5:bw=10,experts=[2]; c3:bw=14,experts=[1]; c7:bw=18,experts=[1]; c1:bw=10,experts=[2]; c4:bw=29,experts=[1,2]","5.0800,0.2708,6.5728,1.8650,6.7064,6.0474,0.5914,3.7178,19.6514,2.9447"
4,2026-09-18 15:32:38,Ours,0.00802,1.1849149074975738,28.91,28.91,4,54.602,0:54.60,53.2096,0.1746,1.2164,217.1956,3:37.20,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[1,2];7:[1,2];6:[1,2];2:[0,1,2];8:[1];0:[0,1,2];3:[1];4:[0,1,2];5:[0,1,2,3];9:[2]","c1:bw=22,experts=[1,2]; c7:bw=25,experts=[1,2]; c6:bw=29,experts=[1,2]; c2:bw=33,experts=[0,1,2]; c8:bw=17,experts=[1]; c0:bw=33,experts=[0,1,2]; c3:bw=19,experts=[1]; c4:bw=31,experts=[0,1,2]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[2]","19.2856,3.6892,1.8828,0.2828,6.7508,6.5908,0.6006,2.9642,6.1478,5.0150"
5,2026-09-18 15:33:31,Ours,0.01,1.1529793907883736,20.81,28.91,4,53.4777,0:53.48,52.1142,0.1784,1.1792,270.6876,4:30.69,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[2];5:[1,2];4:[1,2];8:[1,2];0:[1,2];7:[2];6:[1,2];3:[0,1,2];2:[1];9:[0,1,2]","c1:bw=11,experts=[2]; c5:bw=22,experts=[1,2]; c4:bw=27,experts=[1,2]; c8:bw=20,experts=[1,2]; c0:bw=28,experts=[1,2]; c7:bw=14,experts=[2]; c6:bw=29,experts=[1,2]; c3:bw=35,experts=[0,1,2]; c2:bw=10,experts=[1]; c9:bw=35,experts=[0,1,2]","19.1350,5.9435,2.9097,6.5995,6.3796,3.5711,1.8274,0.5826,0.2689,4.8968"
6,2026-09-18 15:34:24,Ours,0.01,1.2187477207412285,25.11,28.91,4,53.0749,0:53.07,51.7117,0.1817,1.1802,323.774,5:23.77,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[0,1,2];2:[1,2];5:[0];7:[0,1,2];3:[0,2];1:[2];9:[0,2];0:[0];4:[2];6:[0]","c8:bw=37,experts=[0,1,2]; c2:bw=23,experts=[1,2]; c5:bw=15,experts=[0]; c7:bw=32,experts=[0,1,2]; c3:bw=20,experts=[0,2]; c1:bw=18,experts=[2]; c9:bw=27,experts=[0,2]; c0:bw=17,experts=[0]; c4:bw=10,experts=[2]; c6:bw=11,experts=[0]","6.7835,0.2709,5.9739,3.5365,0.5701,18.8664,4.8987,6.1466,2.8648,1.8003"
7,2026-09-18 15:35:17,Ours,0.01,1.2198842436681085,26.47,28.91,4,53.0321,0:53.03,51.5648,0.2632,1.1993,376.8192,6:16.82,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[0,2];5:[0,2];2:[0,1];6:[0];3:[0];7:[0];4:[0];1:[0];8:[0,1,2];9:[0]","c0:bw=20,experts=[0,2]; c5:bw=27,experts=[0,2]; c2:bw=22,experts=[0,1]; c6:bw=10,experts=[0]; c3:bw=15,experts=[0]; c7:bw=17,experts=[0]; c4:bw=10,experts=[0]; c1:bw=10,experts=[0]; c8:bw=32,experts=[0,1,2]; c9:bw=10,experts=[0]","6.3302,5.9143,0.2697,1.8064,0.5728,3.5203,2.8603,18.8543,6.6144,4.8221"
8,2026-09-18 15:36:11,Ours,0.01,1.1579093579123347,35.44,35.44,8,53.3464,0:53.35,51.9777,0.1803,1.187,430.177,7:10.18,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[0,1];1:[0,1,2];3:[0,1];0:[0];5:[0];2:[0,1,2];9:[0,1,2];7:[0];6:[0,1]","c4:bw=10,experts=[0]; c8:bw=20,experts=[0,1]; c1:bw=32,experts=[0,1,2]; c3:bw=21,experts=[0,1]; c0:bw=18,experts=[0]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,1,2]; c9:bw=33,experts=[0,1,2]; c7:bw=10,experts=[0]; c6:bw=23,experts=[0,1]","2.8747,6.7705,19.0497,0.5748,6.2645,5.9475,0.2727,4.9096,3.4982,1.8157"
9,2026-09-18 15:37:03,Ours,0.01,1.0844728222772906,42.7,42.7,9,52.4996,0:52.50,51.1367,0.2297,1.1318,482.6907,8:02.69,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[0];0:[0,2];4:[0,1,2];9:[0];8:[0];6:[0];7:[0,1];5:[0,1];1:[0];3:[0]","c2:bw=12,experts=[0]; c0:bw=29,experts=[0,2]; c4:bw=33,experts=[0,1,2]; c9:bw=15,experts=[0]; c8:bw=10,experts=[0]; c6:bw=17,experts=[0]; c7:bw=25,experts=[0,1]; c5:bw=29,experts=[0,1]; c1:bw=10,experts=[0]; c3:bw=13,experts=[0]","0.2705,6.3412,2.9178,4.9256,6.7536,1.8358,3.5332,5.9526,18.0517,0.5549"
10,2026-09-18 15:37:54,Ours,0.01,1.0271173266196434,43.46,43.46,10,50.8651,0:50.87,49.5499,0.1705,1.1434,533.5677,8:53.57,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[0,1];2:[0];7:[0,1];0:[0,1,2];6:[0,1,2];3:[0,1];5:[0,1,2];8:[0,1];9:[0,2];1:[0,2]","c4:bw=20,experts=[0,1]; c2:bw=19,experts=[0]; c7:bw=21,experts=[0,1]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[0,1]; c5:bw=32,experts=[0,1,2]; c8:bw=20,experts=[0,1]; c9:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]","2.7829,0.2551,3.3932,6.0704,1.7282,0.5513,5.6027,6.4325,4.6096,18.1241"
11,2026-09-18 15:38:45,Ours,0.01,1.0019373527194442,49.04,49.04,11,50.8438,0:50.84,49.5399,0.1602,1.1424,584.4253,9:44.43,10,"5,2,7,3,0,8,9,6,1,4",5:15;2:15;7:24;3:28;0:16;8:22;9:18;6:31;1:22;4:10,"5:[0];2:[1];7:[0,1];3:[0,1];0:[0];8:[0,1];9:[0];6:[0,1,2];1:[0,1];4:[0]","c5:bw=15,experts=[0]; c2:bw=15,experts=[1]; c7:bw=24,experts=[0,1]; c3:bw=28,experts=[0,1]; c0:bw=16,experts=[0]; c8:bw=22,experts=[0,1]; c9:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c1:bw=22,experts=[0,1]; c4:bw=10,experts=[0]","5.6750,0.2602,3.4468,0.5473,5.9960,6.4274,4.6184,1.7293,18.1097,2.7298"
