Round,TestAcc
1,32.223333333333336
2,41.99222222222223
3,45.99666666666667
4,50.34444444444444
5,51.434444444444445
6,52.13333333333333
7,53.45555555555556
8,47.17666666666667
9,52.23777777777778
10,55.98444444444444
11,56.66
12,57.29888888888889
13,48.534444444444446
14,47.422222222222224
15,55.06777777777778
16,56.852222222222224
17,57.50111111111111
18,59.33777777777778
19,59.85888888888889
20,60.66444444444444
21,59.21333333333333
22,56.81666666666667
23,60.51555555555556
24,59.10666666666667
25,60.24333333333333
26,61.08
27,62.59666666666666
28,61.138888888888886
29,62.19444444444444
30,59.66333333333333
31,52.38555555555556
32,58.17666666666667
33,63.40444444444445
34,63.03
35,62.35444444444445
36,63.236666666666665
37,63.37
38,61.11
39,63.72
40,63.75111111111111
41,63.41888888888889
42,63.88
43,63.446666666666665
44,59.91666666666666
45,60.16
46,63.53111111111111
47,63.50333333333333
48,64.97777777777777
49,64.29777777777778
50,65.05666666666667
51,64.47444444444444
52,64.66222222222223
53,65.26222222222222
54,63.784444444444446
55,65.26
56,62.15111111111111
57,61.33444444444444
58,64.16222222222223
59,63.13333333333333
60,65.19888888888889
61,65.50777777777778
62,65.16777777777777
63,64.93333333333334
64,65.33888888888889
65,65.79333333333334
66,66.64555555555556
67,66.2311111111111
68,66.30444444444444
69,65.7611111111111
70,65.14333333333333
71,65.86444444444444
72,65.47888888888889
73,66.54888888888888
74,66.04222222222222
75,66.74222222222222
76,66.51
77,66.71111111111111
78,66.89555555555556
79,66.18222222222222
80,66.9588888888889
81,66.68
82,66.36
83,67.05333333333333
84,66.87666666666667
85,66.93111111111111
86,67.04555555555555
87,64.74444444444444
88,64.79333333333334
89,66.8788888888889
90,66.66333333333333
91,67.17666666666666
92,67.29666666666667
93,67.54
94,67.31666666666666
95,66.1588888888889
96,66.04
97,67.15
98,66.86
99,67.65555555555555
100,67.05111111111111
