Round,TestAcc
1,26.101111111111116
2,38.35444444444445
3,16.532222222222224
4,43.54555555555555
5,49.77777777777778
6,32.14666666666667
7,45.1
8,28.57
9,34.14222222222222
10,52.852222222222224
11,20.36888888888889
12,53.16555555555556
13,41.75666666666667
14,54.64
15,42.60111111111111
16,52.27555555555556
17,54.12222222222222
18,58.964444444444446
19,45.75555555555555
20,56.95666666666666
21,42.31666666666667
22,58.602222222222224
23,47.49111111111111
24,55.49888888888889
25,51.513333333333335
26,54.97
27,48.806666666666665
28,54.977777777777774
29,36.04555555555555
30,60.95222222222223
31,41.94888888888889
32,61.86555555555555
33,53.28666666666667
34,57.15777777777778
35,34.656666666666666
36,55.74333333333333
37,43.98222222222222
38,61.59555555555556
39,66.06222222222222
40,51.49444444444445
41,61.83
42,63.672222222222224
43,64.27444444444444
44,57.56777777777778
45,59.53
46,62.035555555555554
47,54.58444444444444
48,63.04555555555555
49,64.92
50,60.74555555555556
51,53.17666666666667
52,62.66
53,54.22444444444445
54,58.38444444444445
55,63.672222222222224
56,62.946666666666665
57,58.52111111111111
58,63.24111111111111
59,62.51111111111111
60,58.797777777777775
61,54.98
62,66.83222222222223
63,65.05111111111111
64,50.65444444444445
65,65.95
66,47.105555555555554
67,64.72555555555556
68,59.60444444444445
69,63.72222222222222
70,67.25
71,59.327777777777776
72,61.20333333333333
73,64.41777777777777
74,48.43222222222222
75,65.53888888888889
76,62.46333333333333
77,63.42333333333333
78,65.02111111111111
79,65.19333333333333
80,66.28111111111112
81,64.44111111111111
82,65.1211111111111
83,59.91888888888889
84,66.99777777777778
85,63.284444444444446
86,62.02222222222223
87,66.68555555555555
88,51.67777777777778
89,63.306666666666665
90,61.76111111111111
91,61.79
92,63.77222222222223
93,62.76777777777778
94,66.23555555555555
95,61.90222222222222
96,64.26666666666667
97,65.73444444444445
98,59.85444444444445
99,61.06333333333333
100,64.73777777777778
