Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 19:23:18,Ours,0.00208,3.8655011740080276,2.34,2.34,1,61.1574,1:01.16,59.632,0.214,1.3096,61.1574,1:01.16,10,"8,1,5,0,7,2,9,4,3,6",8:202;1:107;5:163;0:10;7:75;2:106;9:166;4:146;3:187;6:150,"8:[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30];1:[0,1,2,4,5,6,13,23,24,26];5:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];0:[13];7:[1,2,4,6,13,23,24];2:[0,1,2,4,5,6,13,23,24,26];9:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];4:[0,1,2,4,5,6,13,15,18,21,23,24,26,30];3:[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30];6:[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","c8:bw=202,experts=[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30]; c1:bw=107,experts=[0,1,2,4,5,6,13,23,24,26]; c5:bw=163,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c0:bw=10,experts=[13]; c7:bw=75,experts=[1,2,4,6,13,23,24]; c2:bw=106,experts=[0,1,2,4,5,6,13,23,24,26]; c9:bw=166,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c4:bw=146,experts=[0,1,2,4,5,6,13,15,18,21,23,24,26,30]; c3:bw=187,experts=[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30]; c6:bw=150,experts=[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","6.6637,5.0103,7.2868,5.4452,5.3700,4.5292,3.9960,7.6385,5.9766,7.7158"
2,2026-09-24 19:24:17,Ours,0.00406,3.327469792276079,4.78,4.78,2,59.3193,0:59.32,57.8441,0.2105,1.2625,120.6409,2:00.64,10,"0,1,8,5,3,4,7,9,6,2",0:130;1:152;8:177;5:251;3:246;4:109;7:202;9:170;6:62;2:79,"0:[0,1,2,4,5,6,8,10,11,12,13,18,26];1:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];3:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,29];4:[0,2,4,6,10,11,13,18,24,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];6:[2,4,6,10,13,26];2:[0,2,4,6,10,13,26]","c0:bw=130,experts=[0,1,2,4,5,6,8,10,11,12,13,18,26]; c1:bw=152,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26]; c8:bw=177,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c5:bw=251,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c3:bw=246,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,29]; c4:bw=109,experts=[0,2,4,6,10,11,13,18,24,26]; c7:bw=202,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,28]; c9:bw=170,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c6:bw=62,experts=[2,4,6,10,13,26]; c2:bw=79,experts=[0,2,4,6,10,13,26]","5.3753,4.9568,6.1302,7.0470,5.7454,7.8267,5.0037,3.9536,7.5378,4.2675"
3,2026-09-24 19:25:16,Ours,0.006040000000000001,3.202631686051407,5.72,5.72,3,58.9259,0:58.93,57.445,0.1933,1.2789,179.5806,2:59.58,10,"9,2,0,6,8,5,3,7,1,4",9:174;2:152;0:182;6:146;8:110;5:49;3:94;7:120;1:49;4:190,"9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];2:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];6:[0,2,4,5,6,8,10,11,12,13,18,24,26,28];8:[0,2,4,5,6,10,11,12,13,18,26];5:[4,6,13,26];3:[0,2,4,6,10,11,12,13,26];7:[0,2,4,5,6,10,11,12,13,18,24,26];1:[4,6,13,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]","c9:bw=174,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c2:bw=152,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c6:bw=146,experts=[0,2,4,5,6,8,10,11,12,13,18,24,26,28]; c8:bw=110,experts=[0,2,4,5,6,10,11,12,13,18,26]; c5:bw=49,experts=[4,6,13,26]; c3:bw=94,experts=[0,2,4,6,10,11,12,13,26]; c7:bw=120,experts=[0,2,4,5,6,10,11,12,13,18,24,26]; c1:bw=49,experts=[4,6,13,26]; c4:bw=190,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]","3.9920,4.2233,5.2408,7.5222,5.9443,7.0559,5.7737,5.1837,4.8749,7.6343"
4,2026-09-24 19:26:15,Ours,0.00802,3.1192831889913646,7.53,7.53,4,59.3607,0:59.36,57.8936,0.1923,1.2728,238.9566,3:58.96,10,"1,7,6,2,8,0,3,4,5,9",1:145;7:164;6:194;2:219;8:115;0:215;3:124;4:204;5:268;9:79,"1:[0,1,2,4,5,6,8,9,10,12,13,18,24,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,18,24,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];2:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28];8:[0,1,2,4,5,6,10,12,13,18,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,10,11,12,13,18,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28];5:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];9:[2,4,6,12,13,18,26]","c1:bw=145,experts=[0,1,2,4,5,6,8,9,10,12,13,18,24,26]; c7:bw=164,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,24,26,28]; c6:bw=194,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c2:bw=219,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28]; c8:bw=115,experts=[0,1,2,4,5,6,10,12,13,18,26]; c0:bw=215,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28]; c3:bw=124,experts=[0,1,2,4,5,6,10,11,12,13,18,26]; c4:bw=204,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28]; c5:bw=268,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c9:bw=79,experts=[2,4,6,12,13,18,26]","4.9014,5.2849,7.5646,4.3070,5.9661,5.3308,5.7921,7.6851,7.0548,4.0067"
5,2026-09-24 19:27:16,Ours,0.01,3.0216702741701598,11.54,11.54,5,60.1743,1:00.17,58.6911,0.1832,1.298,299.1454,4:59.15,10,"1,5,4,8,0,7,6,3,2,9",1:72;5:145;4:178;8:135;0:182;7:89;6:195;3:232;2:26;9:229,"1:[2,4,6,10,13,18,26];5:[0,1,2,4,5,6,8,9,10,12,13,18,24,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,23,24,26,28];8:[0,1,2,4,5,6,8,10,12,13,18,24,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];7:[2,4,6,10,12,13,18,26];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];3:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,18,21,23,24,25,26,27,28];2:[4,6];9:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,27,28]","c1:bw=72,experts=[2,4,6,10,13,18,26]; c5:bw=145,experts=[0,1,2,4,5,6,8,9,10,12,13,18,24,26]; c4:bw=178,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,23,24,26,28]; c8:bw=135,experts=[0,1,2,4,5,6,8,10,12,13,18,24,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c7:bw=89,experts=[2,4,6,10,12,13,18,26]; c6:bw=195,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c3:bw=232,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,18,21,23,24,25,26,27,28]; c2:bw=26,experts=[4,6]; c9:bw=229,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,27,28]","4.9224,7.3699,7.8936,6.1723,5.3310,5.2800,7.6113,5.8024,4.3206,3.9877"
6,2026-09-24 19:28:16,Ours,0.01,2.9015169587304053,13.49,13.49,6,59.9926,0:59.99,58.5054,0.1901,1.295,359.154,5:59.15,10,"8,2,5,7,3,1,9,0,4,6",8:245;2:152;5:100;7:213;3:133;1:118;9:176;0:114;4:64;6:74,"8:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,22,23,24,25,26,27,28,30];2:[0,1,2,4,5,6,8,10,12,13,18,23,24,26,28];5:[0,1,2,4,6,10,12,13,18,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];1:[0,1,2,4,6,10,12,13,18,24,26];9:[0,1,2,4,5,6,8,9,10,12,13,18,21,24,25,26,28];0:[0,1,2,4,6,10,12,13,18,24,26];4:[2,4,6,12,13,26];6:[2,4,6,10,12,13,26]","c8:bw=245,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,22,23,24,25,26,27,28,30]; c2:bw=152,experts=[0,1,2,4,5,6,8,10,12,13,18,23,24,26,28]; c5:bw=100,experts=[0,1,2,4,6,10,12,13,18,26]; c7:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28]; c3:bw=133,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c1:bw=118,experts=[0,1,2,4,6,10,12,13,18,24,26]; c9:bw=176,experts=[0,1,2,4,5,6,8,9,10,12,13,18,21,24,25,26,28]; c0:bw=114,experts=[0,1,2,4,6,10,12,13,18,24,26]; c4:bw=64,experts=[2,4,6,12,13,26]; c6:bw=74,experts=[2,4,6,10,12,13,26]","6.0781,4.2982,7.1398,5.3792,5.8625,4.8769,4.0613,5.3691,7.7739,7.6664"
7,2026-09-24 19:29:16,Ours,0.01,2.789113595993856,15.26,15.26,7,60.1024,1:00.10,58.6169,0.1896,1.2941,419.2732,6:59.27,10,"0,5,2,6,3,7,4,1,8,9",0:132;5:178;2:146;6:48;3:97;7:113;4:50;1:35;8:210;9:10,"0:[0,1,2,4,5,6,10,12,13,18,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,18,23,24,26,28];2:[0,1,2,4,5,6,8,9,10,12,13,18,24,26];6:[4,6,13,26];3:[0,1,2,4,6,10,13,18,26];7:[0,1,2,4,6,10,12,13,18,24,26];4:[2,4,6,13,26];1:[4,6,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,23,24,25,26,28];9:[4]","c0:bw=132,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c5:bw=178,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,23,24,26,28]; c2:bw=146,experts=[0,1,2,4,5,6,8,9,10,12,13,18,24,26]; c6:bw=48,experts=[4,6,13,26]; c3:bw=97,experts=[0,1,2,4,6,10,13,18,26]; c7:bw=113,experts=[0,1,2,4,6,10,12,13,18,24,26]; c4:bw=50,experts=[2,4,6,13,26]; c1:bw=35,experts=[4,6,26]; c8:bw=210,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,23,24,25,26,28]; c9:bw=10,experts=[4]","5.3753,7.1591,4.3122,7.6491,5.8789,5.3660,7.7951,4.8997,6.1159,4.0655"
8,2026-09-24 19:30:17,Ours,0.01,2.6868683316223456,18.68,18.68,8,60.7907,1:00.79,59.3118,0.1901,1.287,480.0811,8:00.08,10,"4,8,1,3,0,5,2,9,7,6",4:16;8:135;1:213;3:136;0:119;5:103;2:197;9:215;7:55;6:151,"4:[4];8:[0,1,2,4,6,8,10,12,13,18,24,26,28];1:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,6,10,12,13,18,26,28];5:[0,1,2,4,6,10,13,18,24,26];2:[0,1,2,4,5,6,8,9,10,12,13,14,18,21,22,23,24,26,28];9:[0,1,2,4,5,6,8,9,10,12,13,15,18,21,22,23,24,25,26,28,30];7:[2,4,6,13,26];6:[0,1,2,4,5,6,8,10,12,13,18,23,24,26,28]","c4:bw=16,experts=[4]; c8:bw=135,experts=[0,1,2,4,6,8,10,12,13,18,24,26,28]; c1:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c3:bw=136,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=119,experts=[0,1,2,4,6,10,12,13,18,26,28]; c5:bw=103,experts=[0,1,2,4,6,10,13,18,24,26]; c2:bw=197,experts=[0,1,2,4,5,6,8,9,10,12,13,14,18,21,22,23,24,26,28]; c9:bw=215,experts=[0,1,2,4,5,6,8,9,10,12,13,15,18,21,22,23,24,25,26,28,30]; c7:bw=55,experts=[2,4,6,13,26]; c6:bw=151,experts=[0,1,2,4,5,6,8,10,12,13,18,23,24,26,28]","7.7381,6.0898,5.0464,5.8920,5.5284,7.4158,4.3607,4.1289,5.3842,7.7275"
9,2026-09-24 19:31:17,Ours,0.01,2.5981860590709607,21.18,21.18,9,60.4559,1:00.46,58.9625,0.2006,1.2908,540.5531,9:00.55,10,"2,0,4,9,8,6,7,5,1,3",2:78;0:192;4:218;9:96;8:66;6:114;7:168;5:192;1:53;3:84,"2:[0,1,2,4,6,13,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,22,23,24,26,28];4:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];9:[0,1,2,4,6,10,13,18,26];8:[0,2,4,6,13,26];6:[0,1,2,4,6,10,12,13,18,24,26];7:[0,1,2,4,5,6,8,10,11,12,13,18,23,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,22,23,24,26,28];1:[0,4,6,13,26];3:[0,1,2,4,6,13,26,28]","c2:bw=78,experts=[0,1,2,4,6,13,26]; c0:bw=192,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,22,23,24,26,28]; c4:bw=218,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c9:bw=96,experts=[0,1,2,4,6,10,13,18,26]; c8:bw=66,experts=[0,2,4,6,13,26]; c6:bw=114,experts=[0,1,2,4,6,10,12,13,18,24,26]; c7:bw=168,experts=[0,1,2,4,5,6,8,10,11,12,13,18,23,24,26,28]; c5:bw=192,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,22,23,24,26,28]; c1:bw=53,experts=[0,4,6,13,26]; c3:bw=84,experts=[0,1,2,4,6,13,26,28]","4.3496,5.3487,7.8536,4.1018,6.1132,7.7029,5.3650,7.2595,4.9829,5.8852"
10,2026-09-24 19:32:18,Ours,0.01,2.5182470562493906,23.66,23.66,10,60.9084,1:00.91,59.4154,0.2,1.291,601.4796,10:01.48,10,"4,2,7,0,6,3,5,8,9,1",4:135;2:124;7:137;0:216;6:238;3:168;5:212;8:129;9:129;1:149,"4:[0,1,2,4,5,6,10,12,13,18,24,26,28];2:[0,1,2,4,5,6,10,13,18,24,26,28];7:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,19,21,22,23,24,25,26,28];3:[0,1,2,4,5,6,8,9,10,12,13,18,23,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,21,22,23,24,26,28];8:[0,1,2,4,5,6,10,13,18,24,26,28];9:[0,1,2,4,5,6,10,13,18,24,26,28];1:[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","c4:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c2:bw=124,experts=[0,1,2,4,5,6,10,13,18,24,26,28]; c7:bw=137,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=216,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c6:bw=238,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,19,21,22,23,24,25,26,28]; c3:bw=168,experts=[0,1,2,4,5,6,8,9,10,12,13,18,23,24,26,28]; c5:bw=212,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,21,22,23,24,26,28]; c8:bw=129,experts=[0,1,2,4,5,6,10,13,18,24,26,28]; c9:bw=129,experts=[0,1,2,4,5,6,10,13,18,24,26,28]; c1:bw=149,experts=[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","7.8477,4.3656,5.4375,5.4685,7.7630,5.8998,7.2502,6.1692,4.1455,5.0684"
