Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 16:03:21,Ours,0.00208,3.8660951718410907,1.73,1.73,1,71.8714,1:11.87,65.9046,4.6235,1.3417,71.8714,1:11.87,10,"8,1,5,0,7,2,9,4,3,6",8:202;1:107;5:163;0:10;7:75;2:106;9:166;4:146;3:187;6:150,"8:[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30];1:[0,1,2,4,5,6,13,23,24,26];5:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];0:[13];7:[1,2,4,6,13,23,24];2:[0,1,2,4,5,6,13,23,24,26];9:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];4:[0,1,2,4,5,6,13,15,18,21,23,24,26,30];3:[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30];6:[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","c8:bw=202,experts=[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30]; c1:bw=107,experts=[0,1,2,4,5,6,13,23,24,26]; c5:bw=163,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c0:bw=10,experts=[13]; c7:bw=75,experts=[1,2,4,6,13,23,24]; c2:bw=106,experts=[0,1,2,4,5,6,13,23,24,26]; c9:bw=166,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c4:bw=146,experts=[0,1,2,4,5,6,13,15,18,21,23,24,26,30]; c3:bw=187,experts=[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30]; c6:bw=150,experts=[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","7.2748,5.6305,7.9328,6.0731,5.9633,5.1054,4.6453,8.3883,6.6349,8.2561"
2,2026-09-23 16:04:32,Ours,0.00406,3.323733234230134,4.61,4.61,2,71.0677,1:11.07,64.5288,5.2204,1.3165,143.0835,2:23.08,10,"0,1,8,5,3,4,7,9,6,2",0:130;1:152;8:177;5:251;3:246;4:109;7:202;9:170;6:62;2:79,"0:[0,2,4,6,8,10,11,12,13,18,21,24,26];1:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];3:[0,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,21,23,24,25,26,27,28,29];4:[0,2,4,6,10,11,13,18,24,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];6:[2,4,6,10,13,26];2:[0,2,4,6,10,13,26]","c0:bw=130,experts=[0,2,4,6,8,10,11,12,13,18,21,24,26]; c1:bw=152,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26]; c8:bw=177,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28]; c5:bw=251,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c3:bw=246,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,21,23,24,25,26,27,28,29]; c4:bw=109,experts=[0,2,4,6,10,11,13,18,24,26]; c7:bw=202,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,28]; c9:bw=170,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c6:bw=62,experts=[2,4,6,10,13,26]; c2:bw=79,experts=[0,2,4,6,10,13,26]","5.9324,5.5235,6.6820,7.7836,6.4505,8.4949,5.6763,4.6083,8.4810,4.8962"
3,2026-09-23 16:05:40,Ours,0.006040000000000001,3.205590484205544,6.75,6.75,3,68.1473,1:08.15,62.297,4.5385,1.3101,211.2432,3:31.24,10,"9,2,0,6,8,5,3,7,1,4",9:174;2:152;0:182;6:146;8:110;5:49;3:94;7:120;1:49;4:190,"9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];2:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];6:[0,1,2,4,5,6,8,10,11,12,13,18,24,26];8:[0,2,4,5,6,8,10,11,13,18,26];5:[4,6,13,26];3:[0,2,4,6,10,11,13,18,26];7:[0,2,4,5,6,8,10,11,12,13,18,26];1:[4,6,13,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]","c9:bw=174,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c2:bw=152,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c6:bw=146,experts=[0,1,2,4,5,6,8,10,11,12,13,18,24,26]; c8:bw=110,experts=[0,2,4,5,6,8,10,11,13,18,26]; c5:bw=49,experts=[4,6,13,26]; c3:bw=94,experts=[0,2,4,6,10,11,13,18,26]; c7:bw=120,experts=[0,2,4,5,6,8,10,11,12,13,18,26]; c1:bw=49,experts=[4,6,13,26]; c4:bw=190,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]","4.4743,4.7609,5.7691,7.9520,6.4378,7.4678,6.2639,5.7432,5.3634,8.0646"
4,2026-09-23 16:06:50,Ours,0.00802,3.1163214903461585,8.4,8.4,4,69.1988,1:09.20,62.4103,5.4594,1.3271,280.4544,4:40.45,10,"1,7,6,2,8,0,3,4,5,9",1:145;7:164;6:194;2:219;8:115;0:215;3:124;4:204;5:268;9:79,"1:[0,1,2,4,5,6,8,10,12,13,18,21,24,26];7:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];2:[0,1,2,3,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28];8:[0,1,2,4,5,6,10,12,13,18,26];0:[0,1,2,3,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,10,11,12,13,18,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28];5:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];9:[2,4,6,8,13,18,26]","c1:bw=145,experts=[0,1,2,4,5,6,8,10,12,13,18,21,24,26]; c7:bw=164,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26,28]; c6:bw=194,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c2:bw=219,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28]; c8:bw=115,experts=[0,1,2,4,5,6,10,12,13,18,26]; c0:bw=215,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28]; c3:bw=124,experts=[0,1,2,4,5,6,10,11,12,13,18,26]; c4:bw=204,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28]; c5:bw=268,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c9:bw=79,experts=[2,4,6,8,13,18,26]","5.3901,5.7527,7.9725,4.7060,6.4360,5.7596,6.2756,8.1098,7.5177,4.4902"
5,2026-09-23 16:07:59,Ours,0.01,3.019675623562382,12.34,12.34,5,68.858,1:08.86,62.5604,4.9954,1.3004,349.3245,5:49.32,10,"1,5,4,8,0,7,6,3,2,9",1:72;5:145;4:178;8:135;0:182;7:89;6:195;3:232;2:26;9:229,"1:[2,4,6,10,13,18,26];5:[0,1,2,4,5,6,8,9,10,12,13,18,24,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28];8:[0,1,2,4,5,6,10,12,13,18,21,24,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];7:[2,4,6,10,12,13,18,26];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];3:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,18,21,23,24,25,26,27,28];2:[4,6];9:[0,1,2,3,4,5,6,8,9,10,11,12,13,15,18,21,23,24,25,26,27,28]","c1:bw=72,experts=[2,4,6,10,13,18,26]; c5:bw=145,experts=[0,1,2,4,5,6,8,9,10,12,13,18,24,26]; c4:bw=178,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28]; c8:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,21,24,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c7:bw=89,experts=[2,4,6,10,12,13,18,26]; c6:bw=195,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c3:bw=232,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,18,21,23,24,25,26,27,28]; c2:bw=26,experts=[4,6]; c9:bw=229,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,15,18,21,23,24,25,26,27,28]","5.4194,7.5467,8.1232,6.4826,5.7750,5.6754,7.9770,6.2790,4.8042,4.4780"
6,2026-09-23 16:09:07,Ours,0.01,2.8937941228992825,14.51,14.51,6,68.5893,1:08.59,62.3752,4.9183,1.2939,417.9278,6:57.93,10,"8,2,5,7,3,1,9,0,4,6",8:245;2:152;5:100;7:213;3:133;1:118;9:176;0:114;4:64;6:74,"8:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,30];2:[0,1,2,4,5,6,9,10,12,13,18,21,23,24,26];5:[0,1,2,4,6,10,12,13,18,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,9,10,12,13,18,24,26];1:[0,1,2,4,6,10,12,13,18,24,26];9:[0,1,2,4,5,6,8,9,10,12,13,18,21,24,25,26,28];0:[0,1,2,4,6,10,12,13,18,24,26];4:[2,4,6,10,13,26];6:[2,4,6,10,12,13,26]","c8:bw=245,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,30]; c2:bw=152,experts=[0,1,2,4,5,6,9,10,12,13,18,21,23,24,26]; c5:bw=100,experts=[0,1,2,4,6,10,12,13,18,26]; c7:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28]; c3:bw=133,experts=[0,1,2,4,5,6,9,10,12,13,18,24,26]; c1:bw=118,experts=[0,1,2,4,6,10,12,13,18,24,26]; c9:bw=176,experts=[0,1,2,4,5,6,8,9,10,12,13,18,21,24,25,26,28]; c0:bw=114,experts=[0,1,2,4,6,10,12,13,18,24,26]; c4:bw=64,experts=[2,4,6,10,13,26]; c6:bw=74,experts=[2,4,6,10,12,13,26]","6.4764,4.7728,7.5026,5.7125,6.2665,5.3436,4.5012,5.7537,8.0809,7.9648"
7,2026-09-23 16:10:15,Ours,0.01,2.7810926629410186,16.76,16.76,7,67.8871,1:07.89,62.2762,4.3171,1.2875,485.8292,8:05.83,10,"0,5,2,6,3,7,4,1,8,9",0:132;5:178;2:146;6:48;3:97;7:113;4:50;1:35;8:210;9:10,"0:[0,1,2,4,5,6,10,12,13,18,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,18,23,24,26,28];2:[0,1,2,4,5,6,8,10,12,13,18,23,24,26];6:[4,6,13,26];3:[0,2,4,6,10,12,13,18,26];7:[0,1,2,4,6,10,12,13,18,24,26];4:[0,4,6,13,26];1:[4,6,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28];9:[4]","c0:bw=132,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c5:bw=178,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,23,24,26,28]; c2:bw=146,experts=[0,1,2,4,5,6,8,10,12,13,18,23,24,26]; c6:bw=48,experts=[4,6,13,26]; c3:bw=97,experts=[0,2,4,6,10,12,13,18,26]; c7:bw=113,experts=[0,1,2,4,6,10,12,13,18,24,26]; c4:bw=50,experts=[0,4,6,13,26]; c1:bw=35,experts=[4,6,26]; c8:bw=210,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28]; c9:bw=10,experts=[4]","5.7762,7.5304,4.7554,7.9472,6.2324,5.6711,8.0800,5.3385,6.4674,4.4776"
8,2026-09-23 16:11:24,Ours,0.01,2.680506738014825,20.46,20.46,8,68.5182,1:08.52,62.378,4.8189,1.3196,554.3621,9:14.36,10,"4,8,1,3,0,5,2,9,7,6",4:16;8:135;1:213;3:136;0:119;5:103;2:197;9:215;7:55;6:151,"4:[4];8:[0,1,2,4,5,6,10,12,13,18,24,26,28];1:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,22,23,24,25,26,28,29];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,6,10,12,13,18,26,28];5:[0,1,2,4,6,10,13,18,24,26];2:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,8,9,10,11,12,13,15,18,21,23,24,25,26,28,30];7:[0,4,6,13,26];6:[0,1,2,4,5,6,8,10,12,13,18,23,24,26,28]","c4:bw=16,experts=[4]; c8:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c1:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,22,23,24,25,26,28,29]; c3:bw=136,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=119,experts=[0,1,2,4,6,10,12,13,18,26,28]; c5:bw=103,experts=[0,1,2,4,6,10,13,18,24,26]; c2:bw=197,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]; c9:bw=215,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15,18,21,23,24,25,26,28,30]; c7:bw=55,experts=[0,4,6,13,26]; c6:bw=151,experts=[0,1,2,4,5,6,8,10,12,13,18,23,24,26,28]","8.0997,6.4953,5.3267,6.2615,5.7644,7.4570,4.7664,4.5137,5.6963,7.9971"
9,2026-09-23 16:12:32,Ours,0.01,2.593266048478017,23.43,23.43,9,68.3785,1:08.38,62.4614,4.6191,1.2962,622.7574,10:22.76,10,"2,0,4,9,8,6,7,5,1,3",2:78;0:192;4:218;9:96;8:66;6:114;7:168;5:192;1:53;3:84,"2:[0,1,2,4,6,13,26];0:[0,1,2,4,5,6,8,10,11,12,13,18,21,22,23,24,25,26,28];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,22,23,24,25,26,28,29];9:[0,1,2,4,6,10,13,24,26];8:[0,4,6,13,26,28];6:[0,1,2,4,6,10,13,18,24,26,28];7:[0,1,2,4,5,6,8,10,11,12,13,18,23,24,26,28];5:[0,1,2,4,5,6,8,10,11,12,13,18,21,22,23,24,25,26,28];1:[0,4,6,13,26];3:[0,1,4,6,10,13,26,28]","c2:bw=78,experts=[0,1,2,4,6,13,26]; c0:bw=192,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,22,23,24,25,26,28]; c4:bw=218,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,22,23,24,25,26,28,29]; c9:bw=96,experts=[0,1,2,4,6,10,13,24,26]; c8:bw=66,experts=[0,4,6,13,26,28]; c6:bw=114,experts=[0,1,2,4,6,10,13,18,24,26,28]; c7:bw=168,experts=[0,1,2,4,5,6,8,10,11,12,13,18,23,24,26,28]; c5:bw=192,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,22,23,24,25,26,28]; c1:bw=53,experts=[0,4,6,13,26]; c3:bw=84,experts=[0,1,4,6,10,13,26,28]","4.7719,5.7912,8.1358,4.4789,6.4979,7.9697,5.6793,7.4852,5.3505,6.3010"
10,2026-09-23 16:13:41,Ours,0.01,2.513378608614299,24.43,24.43,10,69.004,1:09.00,62.519,5.1721,1.3111,691.7779,11:31.78,10,"4,2,7,0,6,3,5,8,9,1",4:135;2:124;7:137;0:216;6:238;3:168;5:212;8:129;9:129;1:149,"4:[0,1,2,4,5,6,10,12,13,18,24,26,28];2:[0,1,2,4,5,6,10,13,18,24,26,28];7:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,19,21,22,23,24,25,26,28];6:[0,1,2,3,4,5,6,8,9,10,11,12,13,15,18,19,21,22,23,24,25,26,28];3:[0,1,2,4,5,6,8,10,12,13,18,23,24,25,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,18,19,21,22,23,24,25,26,28];8:[0,1,2,4,5,6,10,13,18,24,26,28];9:[0,1,2,4,5,6,10,13,18,24,26,28];1:[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","c4:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c2:bw=124,experts=[0,1,2,4,5,6,10,13,18,24,26,28]; c7:bw=137,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=216,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,19,21,22,23,24,25,26,28]; c6:bw=238,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,15,18,19,21,22,23,24,25,26,28]; c3:bw=168,experts=[0,1,2,4,5,6,8,10,12,13,18,23,24,25,26,28]; c5:bw=212,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,19,21,22,23,24,25,26,28]; c8:bw=129,experts=[0,1,2,4,5,6,10,13,18,24,26,28]; c9:bw=129,experts=[0,1,2,4,5,6,10,13,18,24,26,28]; c1:bw=149,experts=[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","8.1419,4.7623,5.7141,5.8467,7.9729,6.2743,7.4777,6.4410,4.5251,5.3629"
