Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 10:24:02,Ours,0.00208,3.80042212800332,2.48,2.48,1,61.7382,1:01.74,60.2337,0.1822,1.3208,61.7382,1:01.74,10,"8,1,5,0,7,2,9,4,3,6",8:104;1:55;5:84;0:10;7:38;2:55;9:86;4:75;3:96;6:77,"8:[0,1,2,4,5,6,10,11,13,15];1:[1,2,4,6,13];5:[0,1,2,4,5,6,13,15];0:[13];7:[2,4,13];2:[1,2,4,6,13];9:[0,1,2,4,5,6,11,13];4:[0,1,2,4,5,6,13];3:[0,1,2,4,5,6,11,13,15];6:[0,1,2,4,5,6,13]","c8:bw=104,experts=[0,1,2,4,5,6,10,11,13,15]; c1:bw=55,experts=[1,2,4,6,13]; c5:bw=84,experts=[0,1,2,4,5,6,13,15]; c0:bw=10,experts=[13]; c7:bw=38,experts=[2,4,13]; c2:bw=55,experts=[1,2,4,6,13]; c9:bw=86,experts=[0,1,2,4,5,6,11,13]; c4:bw=75,experts=[0,1,2,4,5,6,13]; c3:bw=96,experts=[0,1,2,4,5,6,11,13,15]; c6:bw=77,experts=[0,1,2,4,5,6,13]","6.6007,5.4051,6.9133,5.3008,5.1370,4.0597,3.7401,7.8885,6.6894,8.4990"
2,2026-09-24 10:24:58,Ours,0.00406,3.307422833020766,4.26,4.26,2,55.8057,0:55.81,54.3821,0.1793,1.2426,117.7132,1:57.71,10,"0,1,8,5,3,4,7,9,6,2",0:67;1:78;8:91;5:130;3:127;4:56;7:104;9:88;6:32;2:41,"0:[0,4,6,10,12,13];1:[1,4,6,10,11,12,13];8:[0,1,4,5,6,10,11,12,13];5:[0,1,2,4,5,6,8,9,10,11,12,13,15];3:[0,1,2,4,5,6,8,9,10,11,12,13];4:[0,4,6,10,13];7:[0,1,4,5,6,9,10,11,12,13];9:[0,1,4,6,10,11,12,13];6:[4,6,13];2:[4,6,10,13]","c0:bw=67,experts=[0,4,6,10,12,13]; c1:bw=78,experts=[1,4,6,10,11,12,13]; c8:bw=91,experts=[0,1,4,5,6,10,11,12,13]; c5:bw=130,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15]; c3:bw=127,experts=[0,1,2,4,5,6,8,9,10,11,12,13]; c4:bw=56,experts=[0,4,6,10,13]; c7:bw=104,experts=[0,1,4,5,6,9,10,11,12,13]; c9:bw=88,experts=[0,1,4,6,10,11,12,13]; c6:bw=32,experts=[4,6,13]; c2:bw=41,experts=[4,6,10,13]","5.7055,4.9852,5.3790,6.2754,5.1480,6.7537,5.0026,3.7543,7.3234,4.0552"
3,2026-09-24 10:25:55,Ours,0.006040000000000001,3.1944974255099154,6.5,6.5,3,57.3599,0:57.36,55.9156,0.1726,1.2667,175.0836,2:55.08,10,"9,2,0,6,8,5,3,7,1,4",9:90;2:78;0:94;6:75;8:56;5:25;3:48;7:62;1:25;4:98,"9:[1,4,5,6,9,10,11,12,13];2:[1,4,6,9,10,11,12];0:[0,1,4,6,9,10,11,12,13];6:[1,4,6,9,10,11,13];8:[1,4,6,10,13];5:[4,6];3:[4,6,10,11];7:[4,6,9,10,11,13];1:[4,6];4:[1,4,5,6,9,10,11,12,13]","c9:bw=90,experts=[1,4,5,6,9,10,11,12,13]; c2:bw=78,experts=[1,4,6,9,10,11,12]; c0:bw=94,experts=[0,1,4,6,9,10,11,12,13]; c6:bw=75,experts=[1,4,6,9,10,11,13]; c8:bw=56,experts=[1,4,6,10,13]; c5:bw=25,experts=[4,6]; c3:bw=48,experts=[4,6,10,11]; c7:bw=62,experts=[4,6,9,10,11,13]; c1:bw=25,experts=[4,6]; c4:bw=98,experts=[1,4,5,6,9,10,11,12,13]","3.8740,4.1226,5.1384,7.2276,5.8129,6.7964,5.6338,5.0731,4.7369,7.4998"
4,2026-09-24 10:26:54,Ours,0.00802,3.1015385744355157,8.56,8.56,4,58.2488,0:58.25,56.8266,0.1867,1.234,233.3458,3:53.35,10,"1,7,6,2,8,0,3,4,5,9",1:75;7:84;6:100;2:113;8:59;0:111;3:64;4:105;5:138;9:41,"1:[1,4,6,9,10,11,13];7:[1,4,6,9,10,11,12,13];6:[0,1,4,5,6,9,10,11,12,13];2:[0,1,4,5,6,8,9,10,11,12,13];8:[4,6,10,11,13];0:[0,1,4,5,6,8,9,10,11,12,13];3:[4,6,9,10,11,13];4:[0,1,4,5,6,9,10,11,12,13];5:[0,1,4,5,6,8,9,10,11,12,13,14,15];9:[4,6,10,13]","c1:bw=75,experts=[1,4,6,9,10,11,13]; c7:bw=84,experts=[1,4,6,9,10,11,12,13]; c6:bw=100,experts=[0,1,4,5,6,9,10,11,12,13]; c2:bw=113,experts=[0,1,4,5,6,8,9,10,11,12,13]; c8:bw=59,experts=[4,6,10,11,13]; c0:bw=111,experts=[0,1,4,5,6,8,9,10,11,12,13]; c3:bw=64,experts=[4,6,9,10,11,13]; c4:bw=105,experts=[0,1,4,5,6,9,10,11,12,13]; c5:bw=138,experts=[0,1,4,5,6,8,9,10,11,12,13,14,15]; c9:bw=41,experts=[4,6,10,13]","4.7096,5.0603,7.6703,4.2688,6.1236,5.2188,5.6658,7.3738,6.8295,3.9060"
5,2026-09-24 10:27:51,Ours,0.01,3.011813023962567,12.54,12.54,5,57.3967,0:57.40,55.8955,0.1678,1.3318,290.7536,4:50.75,10,"1,5,4,8,0,7,6,3,2,9",1:37;5:75;4:91;8:69;0:94;7:46;6:100;3:119;2:13;9:118,"1:[4,6,10];5:[1,4,6,9,10,11,13];4:[0,1,4,5,6,9,10,12,13];8:[1,4,6,10,12,13];0:[0,1,4,6,9,10,11,12,13];7:[4,6,10,13];6:[0,1,4,5,6,9,10,11,12,13];3:[0,1,2,4,5,6,9,10,11,12,13];2:[4];9:[0,1,4,5,6,9,10,11,12,13,14]","c1:bw=37,experts=[4,6,10]; c5:bw=75,experts=[1,4,6,9,10,11,13]; c4:bw=91,experts=[0,1,4,5,6,9,10,12,13]; c8:bw=69,experts=[1,4,6,10,12,13]; c0:bw=94,experts=[0,1,4,6,9,10,11,12,13]; c7:bw=46,experts=[4,6,10,13]; c6:bw=100,experts=[0,1,4,5,6,9,10,11,12,13]; c3:bw=119,experts=[0,1,2,4,5,6,9,10,11,12,13]; c2:bw=13,experts=[4]; c9:bw=118,experts=[0,1,4,5,6,9,10,11,12,13,14]","4.7781,6.6994,7.3382,5.7647,5.2229,5.0142,7.3286,5.6937,4.2149,3.8409"
6,2026-09-24 10:28:49,Ours,0.01,2.882415882590623,15.97,15.97,6,58.2362,0:58.24,56.7854,0.1815,1.2637,349.0044,5:49.00,10,"8,2,5,7,3,1,9,0,4,6",8:126;2:79;5:51;7:110;3:68;1:61;9:91;0:59;4:33;6:38,"8:[0,1,2,4,5,6,9,10,11,12,13,14];2:[0,1,4,6,10,12,13];5:[1,4,6,10,13];7:[0,1,2,4,5,6,9,10,11,12,13];3:[0,1,4,6,10,13];1:[0,1,4,6,10,13];9:[0,1,2,4,6,10,12,13,14];0:[0,4,6,10,13];4:[4,6,13];6:[4,6,10]","c8:bw=126,experts=[0,1,2,4,5,6,9,10,11,12,13,14]; c2:bw=79,experts=[0,1,4,6,10,12,13]; c5:bw=51,experts=[1,4,6,10,13]; c7:bw=110,experts=[0,1,2,4,5,6,9,10,11,12,13]; c3:bw=68,experts=[0,1,4,6,10,13]; c1:bw=61,experts=[0,1,4,6,10,13]; c9:bw=91,experts=[0,1,2,4,6,10,12,13,14]; c0:bw=59,experts=[0,4,6,10,13]; c4:bw=33,experts=[4,6,13]; c6:bw=38,experts=[4,6,10]","5.9796,4.2510,6.8534,5.0839,5.7535,4.9767,3.9168,5.2590,7.3418,7.3697"
7,2026-09-24 10:29:49,Ours,0.01,2.778159980275447,17.5,17.5,7,59.3204,0:59.32,57.8618,0.1827,1.2745,408.339,6:48.34,10,"0,5,2,6,3,7,4,1,8,9",0:68;5:92;2:75;6:25;3:50;7:58;4:26;1:18;8:108;9:10,"0:[0,1,4,6,10,13];5:[0,1,2,4,6,10,12,13,14];2:[0,1,4,5,6,10,13];6:[4,6];3:[0,4,6,10,13];7:[0,4,6,10,13];4:[4,6];1:[4];8:[0,1,2,4,5,6,10,12,13,14];9:[4]","c0:bw=68,experts=[0,1,4,6,10,13]; c5:bw=92,experts=[0,1,2,4,6,10,12,13,14]; c2:bw=75,experts=[0,1,4,5,6,10,13]; c6:bw=25,experts=[4,6]; c3:bw=50,experts=[0,4,6,10,13]; c7:bw=58,experts=[0,4,6,10,13]; c4:bw=26,experts=[4,6]; c1:bw=18,experts=[4]; c8:bw=108,experts=[0,1,2,4,5,6,10,12,13,14]; c9:bw=10,experts=[4]","5.4110,6.9646,4.2979,7.6201,5.7736,5.3035,7.5025,4.9142,6.0450,4.0293"
8,2026-09-24 10:30:49,Ours,0.01,2.6716825750512045,19.83,19.83,8,60.2741,1:00.27,58.7748,0.1723,1.3256,468.6298,7:48.63,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:70;1:110;3:70;0:61;5:53;2:102;9:111;7:28;6:78,"4:[4];8:[0,1,4,6,10,13,14];1:[0,1,2,4,5,6,10,11,12,13,14];3:[0,1,2,4,6,10,13];0:[0,1,4,6,10,13];5:[0,1,4,6,13];2:[0,1,2,4,5,6,10,12,13,14];9:[0,1,2,4,5,6,10,11,12,13,14];7:[4,6];6:[0,1,4,6,10,13,14]","c4:bw=10,experts=[4]; c8:bw=70,experts=[0,1,4,6,10,13,14]; c1:bw=110,experts=[0,1,2,4,5,6,10,11,12,13,14]; c3:bw=70,experts=[0,1,2,4,6,10,13]; c0:bw=61,experts=[0,1,4,6,10,13]; c5:bw=53,experts=[0,1,4,6,13]; c2:bw=102,experts=[0,1,2,4,5,6,10,12,13,14]; c9:bw=111,experts=[0,1,2,4,5,6,10,11,12,13,14]; c7:bw=28,experts=[4,6]; c6:bw=78,experts=[0,1,4,6,10,13,14]","7.7683,6.1090,5.0880,6.1942,5.4069,7.1107,4.3383,3.9341,5.2150,7.6103"
9,2026-09-24 10:31:49,Ours,0.01,2.5866460505817397,23.62,23.62,9,59.9994,0:60.00,58.4275,0.1817,1.3887,528.6427,8:48.64,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:99;4:112;9:49;8:34;6:59;7:87;5:99;1:27;3:43,"2:[0,4,6,13];0:[0,1,2,4,5,6,10,13,14];4:[0,1,2,4,5,6,10,11,12,13,14];9:[0,4,6,13];8:[4,6,13];6:[0,1,4,6,13];7:[0,1,2,4,6,10,13,14];5:[0,1,2,4,5,6,10,13,14];1:[4,6];3:[0,4,6,13]","c2:bw=40,experts=[0,4,6,13]; c0:bw=99,experts=[0,1,2,4,5,6,10,13,14]; c4:bw=112,experts=[0,1,2,4,5,6,10,11,12,13,14]; c9:bw=49,experts=[0,4,6,13]; c8:bw=34,experts=[4,6,13]; c6:bw=59,experts=[0,1,4,6,13]; c7:bw=87,experts=[0,1,2,4,6,10,13,14]; c5:bw=99,experts=[0,1,2,4,5,6,10,13,14]; c1:bw=27,experts=[4,6]; c3:bw=43,experts=[0,4,6,13]","4.4489,5.3212,7.7926,3.9725,5.9786,7.7264,5.0448,6.9034,5.0595,6.1796"
10,2026-09-24 10:32:48,Ours,0.01,2.5063178710635303,25.78,25.78,10,59.4352,0:59.44,57.9322,0.178,1.3235,588.0937,9:48.09,10,"4,2,7,0,6,3,5,8,9,1",4:69;2:64;7:71;0:111;6:123;3:87;5:109;8:67;9:66;1:77,"4:[0,1,2,4,6,13];2:[0,1,2,4,6,13];7:[0,1,2,4,6,10,13];0:[0,1,2,4,5,6,8,10,12,13,14];6:[0,1,2,4,5,6,8,10,11,12,13,14];3:[0,1,2,4,6,10,13,14];5:[0,1,2,4,5,6,10,12,13,14];8:[0,1,2,4,6,13];9:[2,4,6,10,13,14];1:[0,1,2,4,6,10,13]","c4:bw=69,experts=[0,1,2,4,6,13]; c2:bw=64,experts=[0,1,2,4,6,13]; c7:bw=71,experts=[0,1,2,4,6,10,13]; c0:bw=111,experts=[0,1,2,4,5,6,8,10,12,13,14]; c6:bw=123,experts=[0,1,2,4,5,6,8,10,11,12,13,14]; c3:bw=87,experts=[0,1,2,4,6,10,13,14]; c5:bw=109,experts=[0,1,2,4,5,6,10,12,13,14]; c8:bw=67,experts=[0,1,2,4,6,13]; c9:bw=66,experts=[2,4,6,10,13,14]; c1:bw=77,experts=[0,1,2,4,6,10,13]","8.3181,4.5370,5.4316,4.9287,7.3244,5.5761,6.6591,6.1900,3.9977,4.9693"
