Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
24,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
36,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
37,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
37,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
38,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
38,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
38,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
39,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
40,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
40,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
41,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
41,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
41,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
42,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
43,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
45,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
47,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
47,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
48,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
48,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
49,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
50,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
51,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
51,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
52,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
54,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
54,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
55,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
55,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
56,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
56,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
56,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
56,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
57,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
58,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
59,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
60,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
62,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
62,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
63,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
65,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
66,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
67,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
68,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
70,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
71,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
72,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
73,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
73,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
74,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
74,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
74,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
76,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
77,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
77,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
77,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
79,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
83,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
83,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
83,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
84,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
84,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
85,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
85,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
86,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
87,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
89,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
91,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
92,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
93,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
93,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
93,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
94,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
95,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
95,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
97,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
100,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
100,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
100,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
