Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
83,2026-09-19 09:53:12,Ours,0.01,0.7590996847565306,77.48,79.14,72,43.6411,0:43.64,42.6807,0.0303,0.9287,3601.3396,1:00:01.34,10,"9,4,2,7,5,0,6,1,8,3",9:97;4:19;2:77;7:70;5:10;0:10;6:100;1:119;8:74;3:80,"9:[1,3,4,5,8,9,10,13,15];4:[13];2:[1,3,4,7,9,10,13];7:[0,1,4,5,9,10,13];5:[1];0:[1];6:[0,1,2,3,4,5,7,9,10,13];1:[0,1,3,4,5,8,9,10,12,13,15];8:[1,3,4,7,9,10,13];3:[1,2,5,7,9,10,12,13]","c9:bw=97,experts=[1,3,4,5,8,9,10,13,15]; c4:bw=19,experts=[13]; c2:bw=77,experts=[1,3,4,7,9,10,13]; c7:bw=70,experts=[0,1,4,5,9,10,13]; c5:bw=10,experts=[1]; c0:bw=10,experts=[1]; c6:bw=100,experts=[0,1,2,3,4,5,7,9,10,13]; c1:bw=119,experts=[0,1,3,4,5,8,9,10,12,13,15]; c8:bw=74,experts=[1,3,4,7,9,10,13]; c3:bw=80,experts=[1,2,5,7,9,10,12,13]","3.9949,2.5068,0.2284,2.9202,4.8958,5.4617,1.4829,15.2977,5.4203,0.4719"
84,2026-09-19 09:53:56,Ours,0.01,0.7610094432116207,79.72,79.72,84,43.6612,0:43.66,42.7143,0.0301,0.9156,3645.0337,1:00:45.03,10,"8,3,1,6,9,2,7,5,4,0",8:126;3:61;1:110;6:10;9:39;2:69;7:89;5:38;4:52;0:19,"8:[0,1,2,3,4,5,7,9,10,12,13,15];3:[1,2,5,9,10,13];1:[0,1,2,3,4,5,7,9,10,13,15];6:[1];9:[1,4,13];2:[1,7,9,10,11,13];7:[0,1,3,5,7,9,10,13];5:[1,7,13];4:[1,2,5,9,13];0:[1]","c8:bw=126,experts=[0,1,2,3,4,5,7,9,10,12,13,15]; c3:bw=61,experts=[1,2,5,9,10,13]; c1:bw=110,experts=[0,1,2,3,4,5,7,9,10,13,15]; c6:bw=10,experts=[1]; c9:bw=39,experts=[1,4,13]; c2:bw=69,experts=[1,7,9,10,11,13]; c7:bw=89,experts=[0,1,3,5,7,9,10,13]; c5:bw=38,experts=[1,7,13]; c4:bw=52,experts=[1,2,5,9,13]; c0:bw=19,experts=[1]","5.5039,0.4765,15.4148,1.4963,3.9619,0.2271,2.9113,4.8035,2.4577,5.4613"
85,2026-09-19 09:54:39,Ours,0.01,0.7603610653253845,78.29,79.72,84,43.6687,0:43.67,42.7061,0.0301,0.9312,3688.734,1:01:28.73,10,"0,2,8,6,1,4,9,3,5,7",0:72;2:86;8:132;6:79;1:107;4:79;9:109;3:97;5:23;7:21,"0:[1,2,3,7,9,10,13];2:[1,3,4,5,7,9,10,13];8:[0,1,2,3,4,5,7,9,10,11,12,13,15];6:[1,3,5,7,9,10,13];1:[0,1,3,4,5,8,9,10,13,15];4:[0,1,2,4,7,9,13];9:[0,1,3,4,5,9,10,11,13,15];3:[0,1,2,5,7,9,10,12,13];5:[1,13];7:[1,13]","c0:bw=72,experts=[1,2,3,7,9,10,13]; c2:bw=86,experts=[1,3,4,5,7,9,10,13]; c8:bw=132,experts=[0,1,2,3,4,5,7,9,10,11,12,13,15]; c6:bw=79,experts=[1,3,5,7,9,10,13]; c1:bw=107,experts=[0,1,3,4,5,8,9,10,13,15]; c4:bw=79,experts=[0,1,2,4,7,9,13]; c9:bw=109,experts=[0,1,3,4,5,9,10,11,13,15]; c3:bw=97,experts=[0,1,2,5,7,9,10,12,13]; c5:bw=23,experts=[1,13]; c7:bw=21,experts=[1,13]","5.4842,0.2321,5.4531,1.5034,15.3938,2.4853,3.9707,0.4864,4.7808,2.9164"
86,2026-09-19 09:55:23,Ours,0.01,0.7554185795515388,78.0,79.72,84,43.6427,0:43.64,42.688,0.0317,0.9217,3732.4104,1:02:12.41,10,"5,8,2,6,0,4,7,3,1,9",5:90;8:53;2:45;6:104;0:56;4:35;7:83;3:52;1:136;9:81,"5:[0,1,2,3,5,7,9,10,13];8:[1,7,9,10,13];2:[1,9,10,13];6:[0,1,3,4,5,7,9,10,11,13];0:[1,3,9,10,13];4:[1,9,13];7:[0,1,4,5,9,10,11,13];3:[1,5,9,10,13];1:[0,1,2,3,4,5,8,9,10,11,12,13,15];9:[1,3,4,5,9,10,13,15]","c5:bw=90,experts=[0,1,2,3,5,7,9,10,13]; c8:bw=53,experts=[1,7,9,10,13]; c2:bw=45,experts=[1,9,10,13]; c6:bw=104,experts=[0,1,3,4,5,7,9,10,11,13]; c0:bw=56,experts=[1,3,9,10,13]; c4:bw=35,experts=[1,9,13]; c7:bw=83,experts=[0,1,4,5,9,10,11,13]; c3:bw=52,experts=[1,5,9,10,13]; c1:bw=136,experts=[0,1,2,3,4,5,8,9,10,11,12,13,15]; c9:bw=81,experts=[1,3,4,5,9,10,13,15]","4.8347,5.4538,0.2254,1.5072,5.4865,2.4775,2.9356,0.4768,15.3121,3.9782"
87,2026-09-19 09:56:07,Ours,0.01,0.7508996735260405,80.26,80.26,87,43.5929,0:43.59,42.6533,0.0287,0.9096,3776.0366,1:02:56.04,10,"1,2,7,5,6,3,4,9,8,0",1:55;2:127;7:42;5:10;6:113;3:128;4:64;9:71;8:87;0:66,"1:[1,4,9,10,13];2:[0,1,2,3,4,5,7,9,10,12,13,15];7:[1,9,10,13];5:[6];6:[0,1,2,3,4,5,7,9,10,11,13];3:[0,1,2,4,5,7,8,9,10,11,12,13];4:[0,1,3,4,9,13];9:[1,2,3,4,9,10,13];8:[0,1,3,4,7,9,10,13];0:[1,2,3,9,10,13]","c1:bw=55,experts=[1,4,9,10,13]; c2:bw=127,experts=[0,1,2,3,4,5,7,9,10,12,13,15]; c7:bw=42,experts=[1,9,10,13]; c5:bw=10,experts=[6]; c6:bw=113,experts=[0,1,2,3,4,5,7,9,10,11,13]; c3:bw=128,experts=[0,1,2,4,5,7,8,9,10,11,12,13]; c4:bw=64,experts=[0,1,3,4,9,13]; c9:bw=71,experts=[1,2,3,4,9,10,13]; c8:bw=87,experts=[0,1,3,4,7,9,10,13]; c0:bw=66,experts=[1,2,3,9,10,13]","15.3712,0.2312,2.9062,4.8442,1.4870,0.4717,2.4817,3.9605,5.4024,5.4972"
88,2026-09-19 09:56:50,Ours,0.01,0.748971092844906,78.32,80.26,87,43.6576,0:43.66,42.6959,0.0334,0.927,3819.729,1:03:39.73,10,"8,6,3,7,0,4,9,1,5,2",8:81;6:51;3:62;7:78;0:117;4:71;9:58;1:53;5:57;2:86,"8:[0,1,3,7,9,10,13,15];6:[1,3,7,9,13];3:[1,2,5,9,10,13];7:[0,1,3,5,9,10,13];0:[0,1,2,3,5,7,9,10,12,13,15];4:[0,1,2,3,4,9,13];9:[1,3,4,9,13];1:[1,3,4,9,13];5:[1,7,9,11,13];2:[0,1,3,4,7,9,10,13]","c8:bw=81,experts=[0,1,3,7,9,10,13,15]; c6:bw=51,experts=[1,3,7,9,13]; c3:bw=62,experts=[1,2,5,9,10,13]; c7:bw=78,experts=[0,1,3,5,9,10,13]; c0:bw=117,experts=[0,1,2,3,5,7,9,10,12,13,15]; c4:bw=71,experts=[0,1,2,3,4,9,13]; c9:bw=58,experts=[1,3,4,9,13]; c1:bw=53,experts=[1,3,4,9,13]; c5:bw=57,experts=[1,7,9,11,13]; c2:bw=86,experts=[0,1,3,4,7,9,10,13]","5.4822,1.5058,0.4732,2.9379,5.5056,2.4826,3.9955,15.2804,4.8053,0.2274"
89,2026-09-19 09:57:34,Ours,0.01,0.7542096251104484,79.52,80.26,87,43.5928,0:43.59,42.655,0.0282,0.9083,3863.3557,1:04:23.36,10,"3,8,2,9,7,5,0,6,4,1",3:58;8:139;2:84;9:114;7:40;5:86;0:24;6:60;4:58;1:77,"3:[1,5,9,10,13];8:[0,1,2,3,4,5,7,9,10,11,12,13,15];2:[0,1,3,4,7,9,10,13];9:[0,1,2,3,4,5,8,9,10,13,15];7:[1,9,10,13];5:[1,2,3,5,7,9,10,13];0:[1,11];6:[1,3,5,7,9,13];4:[0,1,4,9,13];1:[1,3,4,5,9,10,13]","c3:bw=58,experts=[1,5,9,10,13]; c8:bw=139,experts=[0,1,2,3,4,5,7,9,10,11,12,13,15]; c2:bw=84,experts=[0,1,3,4,7,9,10,13]; c9:bw=114,experts=[0,1,2,3,4,5,8,9,10,13,15]; c7:bw=40,experts=[1,9,10,13]; c5:bw=86,experts=[1,2,3,5,7,9,10,13]; c0:bw=24,experts=[1,11]; c6:bw=60,experts=[1,3,5,7,9,13]; c4:bw=58,experts=[0,1,4,9,13]; c1:bw=77,experts=[1,3,4,5,9,10,13]","0.4806,5.4576,0.2287,3.9947,2.9341,4.7993,5.4623,1.4998,2.4685,15.3294"
90,2026-09-19 09:58:18,Ours,0.01,0.7512196160222954,79.48,80.26,87,43.6827,0:43.68,42.7269,0.0337,0.9207,3907.1464,1:05:07.15,10,"7,1,3,9,0,6,2,5,8,4",7:135;1:58;3:68;9:120;0:121;6:49;2:40;5:51;8:95;4:67,"7:[0,1,2,3,4,5,7,9,10,11,12,13,15];1:[1,4,9,10,13];3:[1,2,5,9,10,13];9:[0,1,2,3,4,5,8,9,10,12,13,15];0:[0,1,2,3,4,5,7,9,10,12,13,15];6:[1,7,9,13];2:[1,7,9,13];5:[1,3,7,9,13];8:[0,1,3,4,7,9,10,13,15];4:[0,1,2,3,9,13]","c7:bw=135,experts=[0,1,2,3,4,5,7,9,10,11,12,13,15]; c1:bw=58,experts=[1,4,9,10,13]; c3:bw=68,experts=[1,2,5,9,10,13]; c9:bw=120,experts=[0,1,2,3,4,5,8,9,10,12,13,15]; c0:bw=121,experts=[0,1,2,3,4,5,7,9,10,12,13,15]; c6:bw=49,experts=[1,7,9,13]; c2:bw=40,experts=[1,7,9,13]; c5:bw=51,experts=[1,3,7,9,13]; c8:bw=95,experts=[0,1,3,4,7,9,10,13,15]; c4:bw=67,experts=[0,1,2,3,9,13]","2.9554,15.3596,0.4941,3.9790,5.5073,1.4813,0.2218,4.8108,5.4222,2.4954"
91,2026-09-19 09:59:01,Ours,0.01,0.7478537837606054,79.47,80.26,87,43.5754,0:43.58,42.6294,0.0275,0.9171,3950.7558,1:05:50.76,10,"1,9,5,7,3,4,0,6,2,8",1:94;9:66;5:98;7:97;3:75;4:102;0:42;6:55;2:21;8:43,"1:[1,3,4,5,8,9,10,13,15];9:[1,3,4,9,10,13];5:[0,1,2,3,5,7,9,10,13];7:[0,1,2,3,5,7,9,10,13];3:[0,1,2,5,9,10,13];4:[0,1,2,3,4,5,7,9,13,15];0:[1,3,9,13];6:[1,3,6,9,13];2:[1,13];8:[1,3,10,13]","c1:bw=94,experts=[1,3,4,5,8,9,10,13,15]; c9:bw=66,experts=[1,3,4,9,10,13]; c5:bw=98,experts=[0,1,2,3,5,7,9,10,13]; c7:bw=97,experts=[0,1,2,3,5,7,9,10,13]; c3:bw=75,experts=[0,1,2,5,9,10,13]; c4:bw=102,experts=[0,1,2,3,4,5,7,9,13,15]; c0:bw=42,experts=[1,3,9,13]; c6:bw=55,experts=[1,3,6,9,13]; c2:bw=21,experts=[1,13]; c8:bw=43,experts=[1,3,10,13]","15.3411,3.9757,4.8118,2.9050,0.4809,2.4882,5.5047,1.4896,0.2278,5.4046"
92,2026-09-19 09:59:45,Ours,0.01,0.7511666184443053,79.17,80.26,87,43.8535,0:43.85,42.8855,0.0327,0.934,3994.6441,1:06:34.64,10,"3,7,1,0,8,6,9,2,5,4",3:54;7:64;1:37;0:56;8:36;6:86;9:105;2:47;5:124;4:50,"3:[1,5,9,10,13];7:[1,8,9,10,13,15];1:[1,4,13];0:[1,3,7,9,13];8:[1,10,13];6:[0,1,3,5,7,9,10,13];9:[0,1,3,4,5,8,9,10,13,15];2:[1,7,10,13];5:[0,1,2,3,4,5,6,7,9,10,13,15];4:[0,1,2,9,13]","c3:bw=54,experts=[1,5,9,10,13]; c7:bw=64,experts=[1,8,9,10,13,15]; c1:bw=37,experts=[1,4,13]; c0:bw=56,experts=[1,3,7,9,13]; c8:bw=36,experts=[1,10,13]; c6:bw=86,experts=[0,1,3,5,7,9,10,13]; c9:bw=105,experts=[0,1,3,4,5,8,9,10,13,15]; c2:bw=47,experts=[1,7,10,13]; c5:bw=124,experts=[0,1,2,3,4,5,6,7,9,10,13,15]; c4:bw=50,experts=[0,1,2,9,13]","0.4821,2.9499,15.4311,5.5189,5.4601,1.4997,3.9909,0.2293,4.8285,2.4950"
