Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 15:18:57,Ours,0.00208,4.070988119499159,1.33,1.33,1,56.8491,0:56.85,55.4686,0.1612,1.2177,56.8491,0:56.85,10,"8,1,5,0,7,2,9,4,3,6",8:104;1:55;5:84;0:10;7:38;2:55;9:86;4:75;3:96;6:77,"8:[0,3,7,8,9,10,11,13,14,15];1:[0,1,4,7,14];5:[0,3,7,8,11,13,14,15];0:[6];7:[2,3,13];2:[2,4,6,9,11];9:[0,1,3,5,7,8,9,15];4:[5,8,10,11,12,14,15];3:[0,1,2,3,8,9,10,12,14];6:[0,1,3,5,8,12,14]","c8:bw=104,experts=[0,3,7,8,9,10,11,13,14,15]; c1:bw=55,experts=[0,1,4,7,14]; c5:bw=84,experts=[0,3,7,8,11,13,14,15]; c0:bw=10,experts=[6]; c7:bw=38,experts=[2,3,13]; c2:bw=55,experts=[2,4,6,9,11]; c9:bw=86,experts=[0,1,3,5,7,8,9,15]; c4:bw=75,experts=[5,8,10,11,12,14,15]; c3:bw=96,experts=[0,1,2,3,8,9,10,12,14]; c6:bw=77,experts=[0,1,3,5,8,12,14]","5.9690,4.8873,6.6217,5.0571,4.7254,5.0088,3.7699,6.9900,5.4235,7.0158"
2,2026-09-23 15:19:53,Ours,0.00406,3.5757885994742744,1.46,1.46,2,56.0448,0:56.04,54.6792,0.1673,1.1968,113.0537,1:53.05,10,"0,1,8,5,3,4,7,9,6,2",0:67;1:78;8:91;5:130;3:127;4:56;7:104;9:88;6:32;2:41,"0:[0,5,6,11,14,15];1:[2,3,5,6,7,9,13];8:[0,1,2,3,4,6,8,10,11];5:[1,2,3,4,6,7,8,9,10,12,13,14,15];3:[0,1,2,5,6,8,9,10,11,12,13,14];4:[0,2,5,7,8];7:[0,1,3,4,5,8,9,10,11,15];9:[3,6,7,8,10,11,12,13];6:[2,8,11];2:[0,4,10,11]","c0:bw=67,experts=[0,5,6,11,14,15]; c1:bw=78,experts=[2,3,5,6,7,9,13]; c8:bw=91,experts=[0,1,2,3,4,6,8,10,11]; c5:bw=130,experts=[1,2,3,4,6,7,8,9,10,12,13,14,15]; c3:bw=127,experts=[0,1,2,5,6,8,9,10,11,12,13,14]; c4:bw=56,experts=[0,2,5,7,8]; c7:bw=104,experts=[0,1,3,4,5,8,9,10,11,15]; c9:bw=88,experts=[3,6,7,8,10,11,12,13]; c6:bw=32,experts=[2,8,11]; c2:bw=41,experts=[0,4,10,11]","4.7125,4.5264,5.8364,6.9008,5.5310,7.0663,4.7896,3.6928,7.8414,3.7819"
3,2026-09-23 15:20:49,Ours,0.006040000000000001,3.284018915538037,4.58,4.58,3,56.0397,0:56.04,54.6558,0.161,1.2213,169.1074,2:49.11,10,"9,2,0,6,8,5,3,7,1,4",9:90;2:78;0:94;6:75;8:56;5:25;3:48;7:62;1:25;4:98,"9:[1,2,6,7,10,11,12,13,15];2:[0,4,5,7,10,13,14];0:[2,7,8,9,10,11,13,14,15];6:[0,1,2,7,8,10,15];8:[3,4,8,10,13];5:[8,14];3:[2,9,11,13];7:[1,2,9,10,11,13];1:[6,13];4:[1,2,5,7,10,11,12,14,15]","c9:bw=90,experts=[1,2,6,7,10,11,12,13,15]; c2:bw=78,experts=[0,4,5,7,10,13,14]; c0:bw=94,experts=[2,7,8,9,10,11,13,14,15]; c6:bw=75,experts=[0,1,2,7,8,10,15]; c8:bw=56,experts=[3,4,8,10,13]; c5:bw=25,experts=[8,14]; c3:bw=48,experts=[2,9,11,13]; c7:bw=62,experts=[1,2,9,10,11,13]; c1:bw=25,experts=[6,13]; c4:bw=98,experts=[1,2,5,7,10,11,12,14,15]","3.7418,3.8056,4.7435,7.0613,5.8684,6.7800,5.4631,4.8214,4.4532,7.9175"
4,2026-09-23 15:21:45,Ours,0.00802,3.291000459219615,5.59,5.59,4,55.2315,0:55.23,53.8094,0.1671,1.2533,224.3524,3:44.35,10,"1,7,6,2,8,0,3,4,5,9",1:75;7:84;6:100;2:113;8:59;0:111;3:64;4:105;5:138;9:41,"1:[0,3,5,6,7,12,15];7:[3,5,6,7,10,11,12,13];6:[0,3,5,6,7,8,11,12,13,14];2:[1,2,3,5,7,8,9,11,12,13,15];8:[2,6,7,13,14];0:[2,3,4,5,7,8,9,10,11,12,15];3:[0,3,6,8,9,12];4:[0,2,3,5,6,8,10,11,14,15];5:[0,1,2,3,4,5,9,10,11,12,13,14,15];9:[0,9,10,11]","c1:bw=75,experts=[0,3,5,6,7,12,15]; c7:bw=84,experts=[3,5,6,7,10,11,12,13]; c6:bw=100,experts=[0,3,5,6,7,8,11,12,13,14]; c2:bw=113,experts=[1,2,3,5,7,8,9,11,12,13,15]; c8:bw=59,experts=[2,6,7,13,14]; c0:bw=111,experts=[2,3,4,5,7,8,9,10,11,12,15]; c3:bw=64,experts=[0,3,6,8,9,12]; c4:bw=105,experts=[0,2,3,5,6,8,10,11,14,15]; c5:bw=138,experts=[0,1,2,3,4,5,9,10,11,12,13,14,15]; c9:bw=41,experts=[0,9,10,11]","4.5831,4.8981,6.7048,3.9920,5.7071,5.0785,5.4479,6.9892,6.6383,3.7703"
5,2026-09-23 15:22:41,Ours,0.01,3.2336199324191535,7.81,7.81,5,55.9699,0:55.97,54.5744,0.1696,1.2243,280.3371,4:40.34,10,"1,5,4,8,0,7,6,3,2,9",1:37;5:75;4:91;8:69;0:94;7:46;6:100;3:119;2:13;9:118,"1:[9,10,11];5:[1,3,4,6,9,12,14];4:[1,5,7,9,10,12,13,14,15];8:[1,2,3,6,11,14];0:[1,2,3,4,6,8,9,12,14];7:[0,1,2,13];6:[1,2,4,5,7,9,10,11,14,15];3:[0,1,5,6,8,9,10,11,13,14,15];2:[13];9:[0,1,6,7,8,9,10,12,13,14,15]","c1:bw=37,experts=[9,10,11]; c5:bw=75,experts=[1,3,4,6,9,12,14]; c4:bw=91,experts=[1,5,7,9,10,12,13,14,15]; c8:bw=69,experts=[1,2,3,6,11,14]; c0:bw=94,experts=[1,2,3,4,6,8,9,12,14]; c7:bw=46,experts=[0,1,2,13]; c6:bw=100,experts=[1,2,4,5,7,9,10,11,14,15]; c3:bw=119,experts=[0,1,5,6,8,9,10,11,13,14,15]; c2:bw=13,experts=[13]; c9:bw=118,experts=[0,1,6,7,8,9,10,12,13,14,15]","4.5533,6.5952,7.1269,5.6655,5.3080,4.9260,7.3921,5.3448,3.8313,3.8312"
6,2026-09-23 15:23:36,Ours,0.01,3.1401620768050833,8.0,8.0,6,55.5717,0:55.57,54.2289,0.1527,1.1887,335.9221,5:35.92,10,"8,2,5,7,3,1,9,0,4,6",8:126;2:79;5:51;7:110;3:68;1:61;9:91;0:59;4:33;6:38,"8:[1,3,4,5,6,7,8,9,10,13,14,15];2:[2,6,7,9,10,12,15];5:[0,1,9,10,12];7:[0,1,3,5,6,7,9,10,11,13,14];3:[5,6,10,12,13,14];1:[1,4,5,10,12,14];9:[0,1,3,4,5,8,10,11,13];0:[4,5,7,9,11];4:[2,4,13];6:[9,11,15]","c8:bw=126,experts=[1,3,4,5,6,7,8,9,10,13,14,15]; c2:bw=79,experts=[2,6,7,9,10,12,15]; c5:bw=51,experts=[0,1,9,10,12]; c7:bw=110,experts=[0,1,3,5,6,7,9,10,11,13,14]; c3:bw=68,experts=[5,6,10,12,13,14]; c1:bw=61,experts=[1,4,5,10,12,14]; c9:bw=91,experts=[0,1,3,4,5,8,10,11,13]; c0:bw=59,experts=[4,5,7,9,11]; c4:bw=33,experts=[2,4,13]; c6:bw=38,experts=[9,11,15]","6.0124,3.8057,6.4699,4.7735,5.4253,4.4587,3.7395,4.9803,7.5905,6.9730"
7,2026-09-23 15:24:32,Ours,0.01,3.133027058504155,11.12,11.12,7,55.39,0:55.39,54.0031,0.1653,1.22,391.3265,6:31.33,10,"0,5,2,6,3,7,4,1,8,9",0:68;5:92;2:75;6:25;3:50;7:58;4:26;1:18;8:108;9:10,"0:[0,5,6,7,8,14];5:[0,2,4,5,7,8,9,10,15];2:[1,2,3,7,8,11,12];6:[0,7];3:[6,7,10,12,13];7:[2,9,13,14,15];4:[1,9];1:[0];8:[0,1,2,3,4,5,6,11,13,15];9:[12]","c0:bw=68,experts=[0,5,6,7,8,14]; c5:bw=92,experts=[0,2,4,5,7,8,9,10,15]; c2:bw=75,experts=[1,2,3,7,8,11,12]; c6:bw=25,experts=[0,7]; c3:bw=50,experts=[6,7,10,12,13]; c7:bw=58,experts=[2,9,13,14,15]; c4:bw=26,experts=[1,9]; c1:bw=18,experts=[0]; c8:bw=108,experts=[0,1,2,3,4,5,6,11,13,15]; c9:bw=10,experts=[12]","5.1491,6.4740,3.7557,6.8130,5.5088,4.6349,8.0669,4.4915,5.5390,3.5701"
8,2026-09-23 15:25:26,Ours,0.01,3.142728456489288,13.3,13.3,8,54.2073,0:54.21,52.871,0.1474,1.1874,445.5492,7:25.55,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:70;1:110;3:70;0:61;5:53;2:102;9:111;7:28;6:78,"4:[3];8:[0,1,3,7,8,13,14];1:[2,3,5,6,7,8,9,10,11,12,14];3:[0,4,5,6,9,10,15];0:[0,7,9,13,14,15];5:[2,3,5,6,11];2:[0,2,4,5,7,10,12,13,14,15];9:[0,1,2,4,6,8,9,11,12,14,15];7:[4,13];6:[0,1,3,5,9,11,13]","c4:bw=10,experts=[3]; c8:bw=70,experts=[0,1,3,7,8,13,14]; c1:bw=110,experts=[2,3,5,6,7,8,9,10,11,12,14]; c3:bw=70,experts=[0,4,5,6,9,10,15]; c0:bw=61,experts=[0,7,9,13,14,15]; c5:bw=53,experts=[2,3,5,6,11]; c2:bw=102,experts=[0,2,4,5,7,10,12,13,14,15]; c9:bw=111,experts=[0,1,2,4,6,8,9,11,12,14,15]; c7:bw=28,experts=[4,13]; c6:bw=78,experts=[0,1,3,5,9,11,13]","6.9050,5.4888,4.7393,5.2151,4.8034,6.4178,3.8556,3.7007,4.8619,6.8833"
9,2026-09-23 15:26:19,Ours,0.01,2.9071690735860485,16.14,16.14,9,53.2993,0:53.30,51.9493,0.1551,1.1932,498.8659,8:18.87,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:99;4:112;9:49;8:34;6:59;7:87;5:99;1:27;3:43,"2:[0,4,6,7];0:[0,3,4,5,6,8,10,13,14];4:[1,2,3,4,6,9,10,11,12,13,15];9:[3,4,11,13];8:[3,7,12];6:[4,8,10,14,15];7:[0,1,2,5,8,11,12,13];5:[1,2,3,5,7,8,11,12,13];1:[1,9];3:[2,7,12,14]","c2:bw=40,experts=[0,4,6,7]; c0:bw=99,experts=[0,3,4,5,6,8,10,13,14]; c4:bw=112,experts=[1,2,3,4,6,9,10,11,12,13,15]; c9:bw=49,experts=[3,4,11,13]; c8:bw=34,experts=[3,7,12]; c6:bw=59,experts=[4,8,10,14,15]; c7:bw=87,experts=[0,1,2,5,8,11,12,13]; c5:bw=99,experts=[1,2,3,5,7,8,11,12,13]; c1:bw=27,experts=[1,9]; c3:bw=43,experts=[2,7,12,14]","3.7833,4.7641,6.9577,3.6525,5.4220,6.6661,4.6609,6.3362,4.4254,5.2811"
10,2026-09-23 15:27:13,Ours,0.01,2.891175874559731,15.74,16.14,9,53.4573,0:53.46,52.0757,0.17,1.21,552.3372,9:12.34,10,"4,2,7,0,6,3,5,8,9,1",4:69;2:64;7:71;0:111;6:123;3:87;5:109;8:67;9:66;1:77,"4:[1,2,3,5,13,15];2:[1,5,7,9,12,14];7:[0,2,3,5,6,9,13];0:[2,3,4,5,6,7,8,11,12,14,15];6:[0,1,2,4,5,6,9,10,12,13,14,15];3:[3,4,7,8,9,12,14,15];5:[0,2,3,4,5,6,11,13,14,15];8:[0,1,4,7,10,14];9:[1,7,8,11,13,15];1:[0,3,4,5,6,9,15]","c4:bw=69,experts=[1,2,3,5,13,15]; c2:bw=64,experts=[1,5,7,9,12,14]; c7:bw=71,experts=[0,2,3,5,6,9,13]; c0:bw=111,experts=[2,3,4,5,6,7,8,11,12,14,15]; c6:bw=123,experts=[0,1,2,4,5,6,9,10,12,13,14,15]; c3:bw=87,experts=[3,4,7,8,9,12,14,15]; c5:bw=109,experts=[0,2,3,4,5,6,11,13,14,15]; c8:bw=67,experts=[0,1,4,7,10,14]; c9:bw=66,experts=[1,7,8,11,13,15]; c1:bw=77,experts=[0,3,4,5,6,9,15]","6.9114,3.8328,4.6795,4.7362,6.8800,5.2575,6.4012,5.4170,3.5646,4.3954"
11,2026-09-23 15:28:06,Ours,0.01,2.758480188212595,14.77,16.14,9,53.2054,0:53.21,51.8545,0.1544,1.1948,605.5589,10:05.56,10,"5,2,7,3,0,8,9,6,1,4",5:52;2:52;7:83;3:95;0:53;8:74;9:62;6:105;1:76;4:30,"5:[0,4,6,9,10];2:[0,7,9,11,15];7:[1,2,4,6,7,8,11,15];3:[1,2,3,4,7,8,11,14,15];0:[0,3,5,11,14];8:[3,4,7,10,12,13,14];9:[3,5,9,10,11,13];6:[0,1,2,4,7,8,9,10,11,12];1:[4,5,6,7,10,12,13];4:[5,6,15]","c5:bw=52,experts=[0,4,6,9,10]; c2:bw=52,experts=[0,7,9,11,15]; c7:bw=83,experts=[1,2,4,6,7,8,11,15]; c3:bw=95,experts=[1,2,3,4,7,8,11,14,15]; c0:bw=53,experts=[0,3,5,11,14]; c8:bw=74,experts=[3,4,7,10,12,13,14]; c9:bw=62,experts=[3,5,9,10,11,13]; c6:bw=105,experts=[0,1,2,4,7,8,9,10,11,12]; c1:bw=76,experts=[4,5,6,7,10,12,13]; c4:bw=30,experts=[5,6,15]","6.3811,3.7524,4.6320,5.2005,5.0142,5.4376,3.6030,6.6619,4.3398,6.8319"
12,2026-09-23 15:28:59,Ours,0.01,2.6780040214343828,20.25,20.25,12,53.1468,0:53.15,51.8263,0.1437,1.1753,658.7193,10:58.72,10,"1,5,2,4,3,7,9,6,8,0",1:80;5:106;2:108;4:53;3:66;7:56;9:79;6:54;8:104;0:93,"1:[0,3,4,5,10,11,13,14];5:[0,1,2,4,5,7,10,13,14,15];2:[0,1,2,4,6,8,9,10,12,14];4:[0,4,9,12,14];3:[3,7,8,9,13,15];7:[2,5,6,7,8];9:[0,1,8,9,10,12,15];6:[0,4,5,8,13];8:[4,6,7,9,10,11,12,13,14,15];0:[1,2,3,4,5,10,12,13,15]","c1:bw=80,experts=[0,3,4,5,10,11,13,14]; c5:bw=106,experts=[0,1,2,4,5,7,10,13,14,15]; c2:bw=108,experts=[0,1,2,4,6,8,9,10,12,14]; c4:bw=53,experts=[0,4,9,12,14]; c3:bw=66,experts=[3,7,8,9,13,15]; c7:bw=56,experts=[2,5,6,7,8]; c9:bw=79,experts=[0,1,8,9,10,12,15]; c6:bw=54,experts=[0,4,5,8,13]; c8:bw=104,experts=[4,6,7,9,10,11,12,13,14,15]; c0:bw=93,experts=[1,2,3,4,5,10,12,13,15]","4.4066,6.4512,3.7593,6.9012,5.2009,4.6270,3.5655,6.8626,5.4069,4.6450"
