Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 16:44:50,Ours,0.00208,4.152920611441217,1.0,1.0,1,55.1386,0:55.14,53.8367,0.1554,1.145,55.1386,0:55.14,10,"8,1,5,0,7,2,9,4,3,6",8:202;1:107;5:163;0:10;7:75;2:106;9:166;4:146;3:187;6:150,"8:[8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27];1:[1,2,3,4,5,6,7,8,9,10];5:[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20];0:[0];7:[7,8,9,10,11,12,13];2:[2,3,4,5,6,7,8,9,10,11];9:[9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24];4:[4,5,6,7,8,9,10,11,12,13,14,15,16,17];3:[3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20];6:[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]","c8:bw=202,experts=[8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27]; c1:bw=107,experts=[1,2,3,4,5,6,7,8,9,10]; c5:bw=163,experts=[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]; c0:bw=10,experts=[0]; c7:bw=75,experts=[7,8,9,10,11,12,13]; c2:bw=106,experts=[2,3,4,5,6,7,8,9,10,11]; c9:bw=166,experts=[9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]; c4:bw=146,experts=[4,5,6,7,8,9,10,11,12,13,14,15,16,17]; c3:bw=187,experts=[3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]; c6:bw=150,experts=[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]","5.8184,4.5271,6.1388,4.9272,4.9640,3.9777,3.5169,7.3162,5.4257,7.2248"
2,2026-09-23 16:45:43,Ours,0.00406,3.567526885154403,2.89,2.89,2,52.7402,0:52.74,51.4444,0.1577,1.1364,108.026,1:48.03,10,"0,1,8,5,3,4,7,9,6,2",0:130;1:152;8:177;5:251;3:246;4:109;7:202;9:170;6:62;2:79,"0:[1,2,3,4,5,6,7,8,9,10,11,12,13];1:[11,12,13,14,15,16,17,18,19,20,21,22,23,24,25];8:[0,1,2,3,4,5,6,7,8,9,10,11,12,28,29,30,31];5:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,21,22,23,24,25,26,27,28,29,30,31];3:[0,1,2,3,4,5,6,7,8,9,10,11,12,21,22,23,24,25,26,27,28,29,30,31];4:[18,19,20,21,22,23,24,25,26,27];7:[0,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31];9:[0,1,2,3,4,5,6,7,8,9,25,26,27,28,29,30,31];6:[21,22,23,24,25,26];2:[12,13,14,15,16,17,18]","c0:bw=130,experts=[1,2,3,4,5,6,7,8,9,10,11,12,13]; c1:bw=152,experts=[11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]; c8:bw=177,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,28,29,30,31]; c5:bw=251,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,21,22,23,24,25,26,27,28,29,30,31]; c3:bw=246,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,21,22,23,24,25,26,27,28,29,30,31]; c4:bw=109,experts=[18,19,20,21,22,23,24,25,26,27]; c7:bw=202,experts=[0,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]; c9:bw=170,experts=[0,1,2,3,4,5,6,7,8,9,25,26,27,28,29,30,31]; c6:bw=62,experts=[21,22,23,24,25,26]; c2:bw=79,experts=[12,13,14,15,16,17,18]","4.7226,4.2872,5.2614,6.1634,4.9814,6.8649,4.7041,3.4398,7.3855,3.6341"
3,2026-09-23 16:46:34,Ours,0.006040000000000001,3.6194787355829385,2.45,2.89,2,51.2166,0:51.22,49.9148,0.1586,1.1379,159.2555,2:39.26,10,"9,2,0,6,8,5,3,7,1,4",9:174;2:152;0:182;6:146;8:110;5:49;3:94;7:120;1:49;4:190,"9:[10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26];2:[0,1,19,20,21,22,23,24,25,26,27,28,29,30,31];0:[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31];6:[0,1,2,3,4,5,6,7,8,27,28,29,30,31];8:[13,14,15,16,17,18,19,20,21,22,23];5:[14,15,16,17];3:[13,14,15,16,17,18,19,20,21];7:[2,3,4,5,6,7,8,9,10,11,12,13];1:[26,27,28,29];4:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,28,29,30,31]","c9:bw=174,experts=[10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]; c2:bw=152,experts=[0,1,19,20,21,22,23,24,25,26,27,28,29,30,31]; c0:bw=182,experts=[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]; c6:bw=146,experts=[0,1,2,3,4,5,6,7,8,27,28,29,30,31]; c8:bw=110,experts=[13,14,15,16,17,18,19,20,21,22,23]; c5:bw=49,experts=[14,15,16,17]; c3:bw=94,experts=[13,14,15,16,17,18,19,20,21]; c7:bw=120,experts=[2,3,4,5,6,7,8,9,10,11,12,13]; c1:bw=49,experts=[26,27,28,29]; c4:bw=190,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,28,29,30,31]","3.4290,3.6546,4.5835,6.4966,5.1859,6.0976,5.0122,4.5435,4.2530,6.6588"
4,2026-09-23 16:47:26,Ours,0.00802,3.464671063203376,6.45,6.45,4,51.9075,0:51.91,50.6133,0.1596,1.1329,211.174,3:31.17,10,"1,7,6,2,8,0,3,4,5,9",1:145;7:164;6:194;2:219;8:115;0:215;3:124;4:204;5:268;9:79,"1:[0,1,2,3,4,5,6,7,8,9,10,11,30,31];7:[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29];6:[9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27];2:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22];8:[0,1,2,24,25,26,27,28,29,30,31];0:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20];3:[0,1,22,23,24,25,26,27,28,29,30,31];4:[0,1,2,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31];5:[0,1,2,3,4,5,6,7,8,9,10,11,18,19,20,21,22,23,24,25,26,27,28,29,30,31];9:[0,1,27,28,29,30,31]","c1:bw=145,experts=[0,1,2,3,4,5,6,7,8,9,10,11,30,31]; c7:bw=164,experts=[14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29]; c6:bw=194,experts=[9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27]; c2:bw=219,experts=[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22]; c8:bw=115,experts=[0,1,2,24,25,26,27,28,29,30,31]; c0:bw=215,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]; c3:bw=124,experts=[0,1,22,23,24,25,26,27,28,29,30,31]; c4:bw=204,experts=[0,1,2,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]; c5:bw=268,experts=[0,1,2,3,4,5,6,7,8,9,10,11,18,19,20,21,22,23,24,25,26,27,28,29,30,31]; c9:bw=79,experts=[0,1,27,28,29,30,31]","4.2030,4.5100,6.7233,3.6774,5.3690,4.5804,5.1013,6.6461,6.1021,3.7006"
5,2026-09-23 16:48:19,Ours,0.01,3.223237169574465,9.52,9.52,5,52.2931,0:52.29,50.9902,0.1586,1.1427,263.4795,4:23.48,10,"1,5,4,8,0,7,6,3,2,9",1:72;5:145;4:178;8:135;0:182;7:89;6:195;3:232;2:26;9:229,"1:[12,13,14,15,16,17,18];5:[12,13,14,15,16,17,18,19,20,21,22,23,24,25];4:[3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19];8:[3,4,5,6,7,8,9,10,11,12,13,14,15];0:[0,1,2,3,4,5,6,21,22,23,24,25,26,27,28,29,30,31];7:[0,1,2,3,4,5,30,31];6:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,28,29,30,31];3:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24];2:[23,24];9:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","c1:bw=72,experts=[12,13,14,15,16,17,18]; c5:bw=145,experts=[12,13,14,15,16,17,18,19,20,21,22,23,24,25]; c4:bw=178,experts=[3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]; c8:bw=135,experts=[3,4,5,6,7,8,9,10,11,12,13,14,15]; c0:bw=182,experts=[0,1,2,3,4,5,6,21,22,23,24,25,26,27,28,29,30,31]; c7:bw=89,experts=[0,1,2,3,4,5,30,31]; c6:bw=195,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,28,29,30,31]; c3:bw=232,experts=[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]; c2:bw=26,experts=[23,24]; c9:bw=229,experts=[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","4.2671,6.4572,6.7894,5.2493,4.5371,4.8749,6.7238,5.0186,3.6504,3.4223"
6,2026-09-23 16:49:10,Ours,0.01,3.2472917335023097,8.99,9.52,5,51.4136,0:51.41,50.0915,0.1575,1.1629,314.9054,5:14.91,10,"8,2,5,7,3,1,9,0,4,6",8:245;2:152;5:100;7:213;3:133;1:118;9:176;0:114;4:64;6:74,"8:[0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31];2:[0,1,2,3,4,5,6,7,25,26,27,28,29,30,31];5:[0,1,2,3,26,27,28,29,30,31];7:[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26];3:[0,1,2,3,4,5,25,26,27,28,29,30,31];1:[19,20,21,22,23,24,25,26,27,28,29];9:[0,1,2,3,4,5,6,7,8,24,25,26,27,28,29,30,31];0:[7,8,9,10,11,12,13,14,15,16,17];4:[20,21,22,23,24,25];6:[15,16,17,18,19,20,21]","c8:bw=245,experts=[0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]; c2:bw=152,experts=[0,1,2,3,4,5,6,7,25,26,27,28,29,30,31]; c5:bw=100,experts=[0,1,2,3,26,27,28,29,30,31]; c7:bw=213,experts=[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]; c3:bw=133,experts=[0,1,2,3,4,5,25,26,27,28,29,30,31]; c1:bw=118,experts=[19,20,21,22,23,24,25,26,27,28,29]; c9:bw=176,experts=[0,1,2,3,4,5,6,7,8,24,25,26,27,28,29,30,31]; c0:bw=114,experts=[7,8,9,10,11,12,13,14,15,16,17]; c4:bw=64,experts=[20,21,22,23,24,25]; c6:bw=74,experts=[15,16,17,18,19,20,21]","5.1697,3.6248,6.0158,4.4816,4.9622,4.1559,3.3940,4.5016,6.6730,7.1127"
7,2026-09-23 16:50:02,Ours,0.01,3.2064730043124996,8.7,9.52,5,52.476,0:52.48,51.1725,0.1472,1.1548,367.3951,6:07.40,10,"0,5,2,6,3,7,4,1,8,9",0:132;5:178;2:146;6:48;3:97;7:113;4:50;1:35;8:210;9:10,"0:[18,19,20,21,22,23,24,25,26,27,28,29,30];5:[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20];2:[8,9,10,11,12,13,14,15,16,17,18,19,20,21];6:[22,23,24,25];3:[6,7,8,9,10,11,12,13,14];7:[0,1,2,3,4,5,27,28,29,30,31];4:[26,27,28,29,30];1:[0,30,31];8:[8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28];9:[9]","c0:bw=132,experts=[18,19,20,21,22,23,24,25,26,27,28,29,30]; c5:bw=178,experts=[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]; c2:bw=146,experts=[8,9,10,11,12,13,14,15,16,17,18,19,20,21]; c6:bw=48,experts=[22,23,24,25]; c3:bw=97,experts=[6,7,8,9,10,11,12,13,14]; c7:bw=113,experts=[0,1,2,3,4,5,27,28,29,30,31]; c4:bw=50,experts=[26,27,28,29,30]; c1:bw=35,experts=[0,30,31]; c8:bw=210,experts=[8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]; c9:bw=10,experts=[9]","4.6036,6.1108,3.6192,7.2636,5.4154,4.7840,6.5611,4.2402,5.1910,3.3835"
8,2026-09-23 16:50:55,Ours,0.01,3.0815143237963425,13.83,13.83,8,52.0417,0:52.04,50.7374,0.1551,1.1476,419.4495,6:59.45,10,"4,8,1,3,0,5,2,9,7,6",4:16;8:135;1:213;3:136;0:119;5:103;2:197;9:215;7:55;6:151,"4:[31];8:[0,1,2,3,4,5,6,7,8,9,29,30,31];1:[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21];3:[15,16,17,18,19,20,21,22,23,24,25,26,27];0:[0,1,2,3,4,5,6,7,8,9,31];5:[21,22,23,24,25,26,27,28,29,30];2:[0,1,2,3,4,5,6,7,8,22,23,24,25,26,27,28,29,30,31];9:[10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30];7:[6,7,8,9,10];6:[0,1,2,3,4,5,6,7,8,26,27,28,29,30,31]","c4:bw=16,experts=[31]; c8:bw=135,experts=[0,1,2,3,4,5,6,7,8,9,29,30,31]; c1:bw=213,experts=[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]; c3:bw=136,experts=[15,16,17,18,19,20,21,22,23,24,25,26,27]; c0:bw=119,experts=[0,1,2,3,4,5,6,7,8,9,31]; c5:bw=103,experts=[21,22,23,24,25,26,27,28,29,30]; c2:bw=197,experts=[0,1,2,3,4,5,6,7,8,22,23,24,25,26,27,28,29,30,31]; c9:bw=215,experts=[10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]; c7:bw=55,experts=[6,7,8,9,10]; c6:bw=151,experts=[0,1,2,3,4,5,6,7,8,26,27,28,29,30,31]","7.1832,5.1583,4.1656,4.9199,4.4976,6.0163,3.6280,3.3898,4.4301,7.3485"
9,2026-09-23 16:51:46,Ours,0.01,3.0174324022053476,12.15,13.83,8,51.7946,0:51.79,50.497,0.1573,1.1387,471.2589,7:51.26,10,"2,0,4,9,8,6,7,5,1,3",2:78;0:192;4:218;9:96;8:66;6:114;7:168;5:192;1:53;3:84,"2:[9,10,11,12,13,14,15];0:[10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28];4:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20];9:[0,1,2,3,4,5,6,7,31];8:[10,11,12,13,14,15];6:[9,10,11,12,13,14,15,16,17,18,19];7:[11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26];5:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,31];1:[22,23,24,25,26];3:[0,1,2,3,28,29,30,31]","c2:bw=78,experts=[9,10,11,12,13,14,15]; c0:bw=192,experts=[10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]; c4:bw=218,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]; c9:bw=96,experts=[0,1,2,3,4,5,6,7,31]; c8:bw=66,experts=[10,11,12,13,14,15]; c6:bw=114,experts=[9,10,11,12,13,14,15,16,17,18,19]; c7:bw=168,experts=[11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]; c5:bw=192,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,31]; c1:bw=53,experts=[22,23,24,25,26]; c3:bw=84,experts=[0,1,2,3,28,29,30,31]","3.6187,4.5098,6.5936,3.4059,5.2136,7.4177,4.6047,6.0498,4.1491,4.9341"
10,2026-09-23 16:52:38,Ours,0.01,2.864358083985934,17.27,17.27,10,51.5851,0:51.59,50.2955,0.1564,1.1315,522.937,8:42.94,10,"4,2,7,0,6,3,5,8,9,1",4:135;2:124;7:137;0:216;6:238;3:168;5:212;8:129;9:129;1:149,"4:[0,1,21,22,23,24,25,26,27,28,29,30,31];2:[16,17,18,19,20,21,22,23,24,25,26,27];7:[0,1,2,3,4,5,6,7,27,28,29,30,31];0:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,29,30,31];6:[0,1,2,3,4,5,6,7,8,9,10,20,21,22,23,24,25,26,27,28,29,30,31];3:[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19];5:[0,1,2,3,4,5,6,18,19,20,21,22,23,24,25,26,27,28,29,30,31];8:[16,17,18,19,20,21,22,23,24,25,26,27];9:[8,9,10,11,12,13,14,15,16,17,18,19];1:[0,1,2,3,4,5,6,7,8,27,28,29,30,31]","c4:bw=135,experts=[0,1,21,22,23,24,25,26,27,28,29,30,31]; c2:bw=124,experts=[16,17,18,19,20,21,22,23,24,25,26,27]; c7:bw=137,experts=[0,1,2,3,4,5,6,7,27,28,29,30,31]; c0:bw=216,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,29,30,31]; c6:bw=238,experts=[0,1,2,3,4,5,6,7,8,9,10,20,21,22,23,24,25,26,27,28,29,30,31]; c3:bw=168,experts=[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]; c5:bw=212,experts=[0,1,2,3,4,5,6,18,19,20,21,22,23,24,25,26,27,28,29,30,31]; c8:bw=129,experts=[16,17,18,19,20,21,22,23,24,25,26,27]; c9:bw=129,experts=[8,9,10,11,12,13,14,15,16,17,18,19]; c1:bw=149,experts=[0,1,2,3,4,5,6,7,8,27,28,29,30,31]","6.5485,3.6409,4.4741,4.5055,7.4162,4.9740,6.0229,5.2036,3.3646,4.1451"
