Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
37,37.0,2.054684318968618,42.2153,0.119,0.9197,43.2597,"3.5726,5.1025,3.0980,5.6147,5.6010,3.8965,2.8388,3.8033,4.3408,4.3471"
38,46.07,2.0542471892293,42.2707,0.1204,0.9167,43.3085,"4.4186,5.5910,5.6755,3.5465,5.0755,3.0352,4.2504,3.9559,2.8478,3.8742"
39,47.36,2.0299972897665266,42.2081,0.1191,0.909,43.237,"4.2853,3.7766,3.6317,3.8398,5.5682,4.4132,3.0806,5.6242,2.8456,5.1429"
40,47.84,1.983010821158442,43.8583,0.1197,0.9313,44.9101,"4.3105,3.6165,5.7378,6.0166,3.4088,4.1350,4.2735,5.6416,2.9581,3.7599"
41,50.42,1.9311325705937503,42.2042,0.1191,0.9212,43.2488,"3.1029,5.5877,4.3871,3.5363,5.6468,5.1729,3.8776,4.2408,2.8911,3.7610"
42,49.46,1.9569239991758611,42.2262,0.1258,0.9152,43.268,"5.2160,3.5818,4.2986,2.8737,5.6183,3.7498,3.7997,5.6361,4.3794,3.0727"
43,50.04,1.9477333721054808,42.2103,0.1185,0.9097,43.2393,"5.2255,3.6490,3.1256,4.4000,2.8625,3.7679,5.5856,5.5781,4.2654,3.7506"
44,51.41,1.9227822830398595,42.3272,0.1192,0.9221,43.3693,"3.8416,4.3136,5.5637,3.1259,3.9040,5.1968,5.5876,2.8497,4.3671,3.5773"
45,46.24,1.9356699726332176,42.3802,0.1212,0.9496,43.4517,"4.4367,3.8030,4.3621,5.6291,3.8489,3.0541,2.8434,5.6038,5.2363,3.5628"
46,46.7,1.885829694321846,43.156,0.1196,0.9082,44.1847,"2.8797,4.4795,5.9598,3.8131,5.8972,5.1005,3.0942,4.3157,3.7797,3.8365"
47,48.64,1.9105002486417435,42.2349,0.1194,0.9172,43.2765,"5.2106,5.6010,3.9047,2.8396,4.3684,4.3212,5.5499,3.7838,3.5756,3.0802"
48,47.93,1.925374292925784,42.1823,0.1221,0.9536,43.2588,"3.6301,4.4322,5.6256,3.1175,2.8127,5.5434,5.1462,3.9054,3.7489,4.2202"
49,49.55,1.9100180478658475,42.1523,0.1186,0.9235,43.1993,"5.6241,4.2962,4.3765,3.7301,3.0567,5.2162,5.5102,3.8893,2.8631,3.5898"
50,50.91,1.89281051164923,42.1199,0.1229,0.9095,43.153,"4.5059,5.5694,3.8979,5.5814,3.0956,3.5561,4.2377,3.7438,2.7688,5.1633"
51,50.21,1.8790300893154888,42.154,0.1174,0.9282,43.2049,"5.1979,3.7871,3.5810,3.0109,4.3609,5.6593,2.8546,4.2696,5.5514,3.8812"
52,49.51,1.8443354051053027,42.0575,0.1238,0.9275,43.1095,"3.7919,4.3402,5.1299,3.8252,3.5721,5.5446,2.8595,5.6045,3.1071,4.2826"
53,54.33,1.827773772194935,42.1345,0.1195,0.9349,43.1933,"4.3782,5.6088,5.1531,3.5689,4.2828,2.8733,5.5923,3.8221,3.7731,3.0819"
