Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
37,50.44,1.8659816367293929,46.5907,1.6107,1.0192,49.2233,"3.9248,5.6510,3.4704,6.0066,6.0873,4.1867,3.2219,4.2438,4.6260,5.1721"
38,50.44,1.8856324604233523,46.649,1.5231,1.0417,49.2164,"5.2355,6.0026,6.1101,3.9232,5.6312,3.4530,4.6122,4.1981,3.2416,4.2416"
39,51.6,1.855493402699908,46.5895,1.6447,1.0273,49.2621,"4.6703,4.2640,3.9392,4.1970,6.0016,5.2342,3.4239,6.0426,3.2284,5.5883"
40,51.07,1.840848542912941,48.5341,1.6472,1.0279,51.21,"5.2401,4.0524,6.0491,6.2948,3.4508,4.5517,4.8670,6.4080,3.2469,4.3733"
41,51.52,1.862333083805612,46.6134,1.7049,1.0461,49.3652,"3.4763,6.0224,5.2654,3.9243,6.0553,5.5754,4.1886,4.6539,3.2307,4.2210"
42,51.54,1.819701724937493,46.7164,1.6834,1.0216,49.4222,"5.6109,3.9660,4.6671,3.2552,6.0131,4.2517,4.1883,6.0627,5.2597,3.4416"
43,51.91,1.8089555138858295,48.9137,1.6471,1.022,51.5837,"6.2084,3.9268,3.4629,5.2524,3.2399,4.5532,6.6798,6.3901,4.7677,4.4324"
44,52.84,1.8137780432327264,46.3205,1.666,1.0459,49.0332,"4.2624,4.6664,6.0592,3.4652,4.2248,5.5825,5.9891,3.2542,4.8802,3.9364"
45,52.94,1.800213635275023,46.6274,1.7307,1.0415,49.4024,"5.2710,4.2706,4.6822,6.0784,4.1907,3.4289,3.2359,5.9521,5.5844,3.9332"
46,53.75,1.7790619424589234,46.8112,1.6874,1.0351,49.5345,"3.2401,4.6347,6.0102,3.9259,6.1308,5.6783,3.4930,5.2326,4.2518,4.2137"
47,53.94,1.7685917618854934,46.7538,1.6472,1.0559,49.4577,"5.6357,6.0303,4.2301,3.2499,5.2513,4.6718,6.0561,4.2453,3.9463,3.4372"
48,53.84,1.7601003533327677,47.5577,1.7511,1.0248,50.3345,"3.9421,5.2889,6.5638,3.4589,3.2266,6.0148,5.8160,4.3623,4.2332,4.6511"
49,54.46,1.7526706097651874,46.7016,1.643,1.0247,49.3701,"6.1225,4.6542,5.2125,4.2701,3.4500,5.6134,5.9733,4.2138,3.2582,3.9336"
50,54.06,1.7398646288344868,46.7581,1.6682,1.0153,49.4459,"5.2357,6.1134,4.2794,6.0269,3.4587,3.9282,4.6370,4.2160,3.2247,5.6379"
51,54.43,1.7369624518337006,46.6251,1.5837,1.0325,49.2421,"5.6333,4.2483,3.9466,3.4571,5.2408,5.9815,3.2411,4.6324,6.0448,4.1992"
52,54.48,1.7201916927228793,46.601,1.6221,1.0203,49.2442,"4.2509,5.2081,5.6068,4.2233,3.9393,6.0795,3.2504,5.9911,3.4331,4.6185"
53,54.87,1.711393962867851,46.6808,1.7006,1.0458,49.428,"5.2018,6.1501,5.6175,3.9223,4.6575,3.2230,6.0394,4.1804,4.2739,3.4150"
54,55.13,1.7063142995869125,48.9474,1.6913,1.0337,51.6732,"3.4536,3.9449,5.2714,4.5714,4.8820,4.3777,6.4352,6.1152,3.2273,6.6686"
55,54.95,1.7036142028998058,46.3476,1.7138,1.0452,49.1074,"4.2025,3.4717,6.0777,4.6419,4.8658,5.6085,3.9452,6.0339,4.2552,3.2451"
56,55.23,1.7080116502899965,46.4856,1.6026,1.012,49.1009,"3.2649,3.9501,4.6279,3.4530,5.6128,6.0529,5.1740,4.1512,5.9669,4.2317"
57,55.37,1.6848917754180146,46.6962,1.7896,1.0235,49.5101,"4.6792,5.2503,6.0089,3.9473,4.2300,4.2524,5.6016,6.0432,3.4412,3.2421"
58,56.42,1.7006796464110223,46.6063,1.6834,1.0247,49.3191,"4.2052,3.4416,3.2607,5.9775,5.6035,3.9353,5.2274,6.0670,4.6526,4.2356"
59,56.11,1.669755735644528,46.6344,1.6234,1.0103,49.2688,"3.4536,5.2776,3.2402,6.0053,3.9145,6.0708,4.2007,5.5900,4.2415,4.6401"
60,56.03,1.688969833138377,46.618,1.6635,1.0404,49.3227,"4.2916,4.2264,6.1070,3.4353,5.5864,5.2004,5.9910,3.2233,3.9234,4.6331"
61,56.6,1.6569852709493085,46.6478,1.6581,1.0278,49.3345,"5.6287,6.0106,3.4444,3.2381,3.9372,4.6496,5.2383,6.0766,4.1926,4.2317"
62,56.95,1.6435159302554911,46.5388,1.7609,1.0451,49.3457,"5.2099,6.0306,3.2323,6.0856,5.6037,4.2458,4.5960,3.4332,3.9161,4.1855"
63,56.43,1.6480484692292614,46.8542,1.6798,1.0343,49.569,"5.7690,3.2445,6.0285,4.6435,5.1725,3.9354,4.1911,4.2708,3.4478,6.1509"
64,56.76,1.6361729618455954,46.7958,1.6483,1.0413,49.4897,"6.0403,6.1134,5.6481,4.6441,4.2158,4.2868,5.2336,3.2461,3.4514,3.9161"
65,56.42,1.6277080737429568,46.7502,1.7157,1.0536,49.5203,"4.2099,5.6379,6.1168,6.0088,5.2915,4.6457,4.2548,3.4351,3.9188,3.2308"
66,57.29,1.626037307125007,46.7536,1.6764,1.0178,49.4486,"3.5481,5.6225,3.9516,5.2112,3.2470,6.0042,6.0966,4.2280,4.6338,4.2105"
67,57.0,1.6078977482366157,46.8213,1.6682,1.0273,49.5176,"6.1211,5.6667,3.9580,4.6417,5.9933,4.2502,3.5324,3.2228,4.2322,5.2030"
