Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
68,40.88,1.632980110783162,67.62,0.1736,1.2388,69.0335,"5.6811,6.8837,4.8862,6.1557,6.6898,8.8918,8.2612,4.9017,6.2970,8.9720"
69,48.86,1.64122506384632,68.0574,0.1654,1.2291,69.453,"6.8349,6.0906,5.7271,8.9890,4.7271,8.3573,6.2665,5.0944,7.1489,8.8215"
70,38.29,1.6256125127314385,66.7725,0.1679,1.1767,68.1183,"5.6403,4.8764,6.1976,6.9879,6.4077,8.5745,4.7621,8.6158,7.9095,6.8006"
71,37.16,1.6367551552506086,67.0912,0.1517,1.2111,68.4551,"8.8520,6.2350,5.6046,4.6564,6.0359,8.1146,6.6828,8.6832,7.2357,4.9911"
72,38.55,1.6300020676487974,66.6516,0.1745,1.1807,68.0078,"6.8356,5.5468,8.1764,6.1339,9.1302,6.1799,6.6857,4.8648,4.4240,8.6742"
73,49.26,1.631306240232189,64.3356,0.1683,1.2163,65.7212,"4.8119,6.6978,6.3867,5.5218,7.9188,4.5286,5.9079,5.7597,8.3821,8.4202"
74,36.08,1.6107054953521558,66.2481,0.1975,1.2111,67.6578,"6.5673,5.9728,5.3461,8.0547,6.1425,6.9291,8.7044,4.9047,9.0201,4.6065"
75,36.48,1.6325145426344527,66.1158,0.1852,1.1854,67.4874,"4.9224,4.6627,5.6695,6.6898,5.9654,8.5488,8.1532,8.6291,6.0012,6.8736"
76,38.81,1.623780286617475,63.8437,0.18,1.1558,65.1806,"6.8638,7.8737,5.8650,6.4433,4.6174,8.1154,5.5992,8.4287,4.5054,5.5317"
77,40.15,1.6084308864711816,64.2853,0.1869,1.1975,65.6707,"4.5174,4.8256,5.3850,6.5350,8.3221,5.7515,8.2946,5.7027,6.7170,8.2344"
78,34.97,1.6033191540484684,63.7223,0.1909,1.1469,65.0611,"5.8099,8.5182,6.3541,5.7557,6.6050,5.4115,4.4027,8.3601,7.7728,4.7324"
79,38.25,1.6225298834801931,63.3986,0.1911,1.1927,64.7834,"8.2938,4.4333,5.8745,8.5260,5.6473,6.5996,7.7382,6.2886,5.3169,4.6803"
80,40.48,1.6122341204072517,63.2561,0.1738,1.1822,64.6131,"7.8055,4.3401,5.6627,5.2314,6.3871,8.4145,4.6286,5.7536,8.2643,6.7682"
81,46.87,1.6013701716085298,63.7591,0.1896,1.1446,65.0943,"8.2594,4.6491,6.3391,5.3666,8.4623,7.7727,4.5473,5.8977,6.7119,5.7530"
82,47.77,1.5825364543387743,62.953,0.176,1.1384,64.2684,"5.2226,5.6841,8.2280,6.6280,5.7596,6.5155,4.7976,4.3396,7.5199,8.2580"
83,48.31,1.5759716988553918,62.9738,0.1873,1.1289,64.291,"4.2638,8.4260,4.6845,5.8245,7.8562,5.8317,8.1375,5.2334,6.4685,6.2477"
84,49.42,1.5700033484652385,64.117,0.1922,1.2168,65.5271,"6.5262,6.4476,5.4615,8.4978,4.4774,4.7033,5.7313,7.7170,8.5745,5.9803"
