Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-19 21:16:33,Ours,0.00208,1.6979497371075436,21.69,21.69,1,49.3931,0:49.39,48.3346,0.0405,1.0157,49.3932,0:49.39,10,"8,1,5,0,7,2,9,4,3,6",8:104;1:55;5:84;0:10;7:38;2:55;9:86;4:75;3:96;6:77,"8:[0,3,7,8,9,10,11,13,14,15];1:[0,1,4,7,14];5:[0,3,7,8,11,13,14,15];0:[6];7:[2,3,13];2:[2,4,6,9,11];9:[0,1,3,5,7,8,9,15];4:[5,8,10,11,12,14,15];3:[0,1,2,3,8,9,10,12,14];6:[0,1,3,5,8,12,14]","c8:bw=104,experts=[0,3,7,8,9,10,11,13,14,15]; c1:bw=55,experts=[0,1,4,7,14]; c5:bw=84,experts=[0,3,7,8,11,13,14,15]; c0:bw=10,experts=[6]; c7:bw=38,experts=[2,3,13]; c2:bw=55,experts=[2,4,6,9,11]; c9:bw=86,experts=[0,1,3,5,7,8,9,15]; c4:bw=75,experts=[5,8,10,11,12,14,15]; c3:bw=96,experts=[0,1,2,3,8,9,10,12,14]; c6:bw=77,experts=[0,1,3,5,8,12,14]","8.0351,17.5448,5.0959,5.4132,3.2365,0.2099,4.3179,2.4208,0.4870,1.5735"
2,2026-09-19 21:17:18,Ours,0.00406,1.448205600219336,15.71,21.69,1,45.1816,0:45.18,44.2029,0.0316,0.9457,94.904,1:34.90,10,"0,1,8,5,3,4,7,9,6,2",0:67;1:78;8:91;5:130;3:127;4:56;7:104;9:88;6:32;2:41,"0:[0,5,6,11,14,15];1:[2,3,5,6,7,9,13];8:[0,1,2,3,4,6,8,10,11];5:[1,2,3,4,6,7,8,9,10,12,13,14,15];3:[0,1,2,5,6,8,9,10,11,12,13,14];4:[0,2,5,7,8];7:[0,1,3,4,5,8,9,10,11,15];9:[3,6,7,8,10,11,12,13];6:[2,8,11];2:[0,4,10,11]","c0:bw=67,experts=[0,5,6,11,14,15]; c1:bw=78,experts=[2,3,5,6,7,9,13]; c8:bw=91,experts=[0,1,2,3,4,6,8,10,11]; c5:bw=130,experts=[1,2,3,4,6,7,8,9,10,12,13,14,15]; c3:bw=127,experts=[0,1,2,5,6,8,9,10,11,12,13,14]; c4:bw=56,experts=[0,2,5,7,8]; c7:bw=104,experts=[0,1,3,4,5,8,9,10,11,15]; c9:bw=88,experts=[3,6,7,8,10,11,12,13]; c6:bw=32,experts=[2,8,11]; c2:bw=41,experts=[0,4,10,11]","5.6295,16.3930,5.7117,4.8450,0.4311,2.6160,2.9739,3.8981,1.5310,0.1736"
3,2026-09-19 21:18:04,Ours,0.006040000000000001,1.3639448562090586,24.53,24.53,3,45.3881,0:45.39,44.4402,0.0325,0.914,140.303,2:20.30,10,"9,2,0,6,8,5,3,7,1,4",9:90;2:78;0:94;6:75;8:56;5:25;3:48;7:62;1:25;4:98,"9:[1,2,6,7,10,11,12,13,15];2:[0,4,5,7,10,13,14];0:[2,7,8,9,10,11,13,14,15];6:[0,1,2,7,8,10,15];8:[3,4,8,10,13];5:[8,14];3:[2,9,11,13];7:[1,2,9,10,11,13];1:[6,13];4:[1,2,5,7,10,11,12,14,15]","c9:bw=90,experts=[1,2,6,7,10,11,12,13,15]; c2:bw=78,experts=[0,4,5,7,10,13,14]; c0:bw=94,experts=[2,7,8,9,10,11,13,14,15]; c6:bw=75,experts=[0,1,2,7,8,10,15]; c8:bw=56,experts=[3,4,8,10,13]; c5:bw=25,experts=[8,14]; c3:bw=48,experts=[2,9,11,13]; c7:bw=62,experts=[1,2,9,10,11,13]; c1:bw=25,experts=[6,13]; c4:bw=98,experts=[1,2,5,7,10,11,12,14,15]","3.9347,0.1749,5.6393,1.4688,6.0007,4.7893,0.4142,2.8269,16.7856,2.4058"
4,2026-09-19 21:18:49,Ours,0.00802,1.2258768929963038,24.69,24.69,4,45.0758,0:45.08,44.12,0.0355,0.919,185.3927,3:05.39,10,"1,7,6,2,8,0,3,4,5,9",1:75;7:84;6:100;2:113;8:59;0:111;3:64;4:105;5:138;9:41,"1:[0,3,5,6,7,12,15];7:[3,5,6,7,10,11,12,13];6:[0,3,5,6,7,8,11,12,13,14];2:[1,2,3,5,7,8,9,11,12,13,15];8:[2,6,7,13,14];0:[2,3,4,5,7,8,9,10,11,12,15];3:[0,3,6,8,9,12];4:[0,2,3,5,6,8,10,11,14,15];5:[0,1,2,3,4,5,9,10,11,12,13,14,15];9:[0,9,10,11]","c1:bw=75,experts=[0,3,5,6,7,12,15]; c7:bw=84,experts=[3,5,6,7,10,11,12,13]; c6:bw=100,experts=[0,3,5,6,7,8,11,12,13,14]; c2:bw=113,experts=[1,2,3,5,7,8,9,11,12,13,15]; c8:bw=59,experts=[2,6,7,13,14]; c0:bw=111,experts=[2,3,4,5,7,8,9,10,11,12,15]; c3:bw=64,experts=[0,3,6,8,9,12]; c4:bw=105,experts=[0,2,3,5,6,8,10,11,14,15]; c5:bw=138,experts=[0,1,2,3,4,5,9,10,11,12,13,14,15]; c9:bw=41,experts=[0,9,10,11]","16.5869,2.8272,1.4551,0.1739,6.0055,5.6559,0.4227,2.2998,4.8501,3.8430"
5,2026-09-19 21:19:36,Ours,0.01,1.1953862710305452,25.63,25.63,5,47.1474,0:47.15,46.1637,0.035,0.9473,232.5516,3:52.55,10,"1,5,4,8,0,7,6,3,2,9",1:37;5:75;4:91;8:69;0:94;7:46;6:100;3:119;2:13;9:118,"1:[9,10,11];5:[1,3,4,6,9,12,14];4:[1,5,7,9,10,12,13,14,15];8:[1,2,3,6,11,14];0:[1,2,3,4,6,8,9,12,14];7:[0,1,2,13];6:[1,2,4,5,7,9,10,11,14,15];3:[0,1,5,6,8,9,10,11,13,14,15];2:[13];9:[0,1,6,7,8,9,10,12,13,14,15]","c1:bw=37,experts=[9,10,11]; c5:bw=75,experts=[1,3,4,6,9,12,14]; c4:bw=91,experts=[1,5,7,9,10,12,13,14,15]; c8:bw=69,experts=[1,2,3,6,11,14]; c0:bw=94,experts=[1,2,3,4,6,8,9,12,14]; c7:bw=46,experts=[0,1,2,13]; c6:bw=100,experts=[1,2,4,5,7,9,10,11,14,15]; c3:bw=119,experts=[0,1,5,6,8,9,10,11,13,14,15]; c2:bw=13,experts=[13]; c9:bw=118,experts=[0,1,6,7,8,9,10,12,13,14,15]","17.0161,4.8423,2.5698,5.3037,5.9377,2.8744,2.2459,0.7200,0.4228,4.2309"
6,2026-09-19 21:20:21,Ours,0.01,1.1122495901290361,34.34,34.34,6,45.3294,0:45.33,44.3839,0.0317,0.9124,277.8928,4:37.89,10,"8,2,5,7,3,1,9,0,4,6",8:126;2:79;5:51;7:110;3:68;1:61;9:91;0:59;4:33;6:38,"8:[1,3,4,5,6,7,8,9,10,13,14,15];2:[2,6,7,9,10,12,15];5:[0,1,9,10,12];7:[0,1,3,5,6,7,9,10,11,13,14];3:[5,6,10,12,13,14];1:[1,4,5,10,12,14];9:[0,1,3,4,5,8,10,11,13];0:[4,5,7,9,11];4:[2,4,13];6:[9,11,15]","c8:bw=126,experts=[1,3,4,5,6,7,8,9,10,13,14,15]; c2:bw=79,experts=[2,6,7,9,10,12,15]; c5:bw=51,experts=[0,1,9,10,12]; c7:bw=110,experts=[0,1,3,5,6,7,9,10,11,13,14]; c3:bw=68,experts=[5,6,10,12,13,14]; c1:bw=61,experts=[1,4,5,10,12,14]; c9:bw=91,experts=[0,1,3,4,5,8,10,11,13]; c0:bw=59,experts=[4,5,7,9,11]; c4:bw=33,experts=[2,4,13]; c6:bw=38,experts=[9,11,15]","6.2308,0.1734,5.0078,2.9034,0.4181,15.8731,4.0024,5.7662,2.4307,1.5779"
7,2026-09-19 21:21:07,Ours,0.01,1.2055472780664152,33.67,34.34,6,45.1158,0:45.12,44.0945,0.0381,0.9819,323.0197,5:23.02,10,"0,5,2,6,3,7,4,1,8,9",0:68;5:92;2:75;6:25;3:50;7:58;4:26;1:18;8:108;9:10,"0:[0,5,6,7,8,14];5:[0,2,4,5,7,8,9,10,15];2:[1,2,3,7,8,11,12];6:[0,7];3:[6,7,10,12,13];7:[2,9,13,14,15];4:[1,9];1:[0];8:[0,1,2,3,4,5,6,11,13,15];9:[12]","c0:bw=68,experts=[0,5,6,7,8,14]; c5:bw=92,experts=[0,2,4,5,7,8,9,10,15]; c2:bw=75,experts=[1,2,3,7,8,11,12]; c6:bw=25,experts=[0,7]; c3:bw=50,experts=[6,7,10,12,13]; c7:bw=58,experts=[2,9,13,14,15]; c4:bw=26,experts=[1,9]; c1:bw=18,experts=[0]; c8:bw=108,experts=[0,1,2,3,4,5,6,11,13,15]; c9:bw=10,experts=[12]","5.8118,4.8532,0.1711,1.5126,0.4105,2.8563,2.4784,15.8267,6.2708,3.9030"
8,2026-09-19 21:21:52,Ours,0.01,1.0460991112896678,39.98,39.98,8,45.2696,0:45.27,44.3053,0.0324,0.9305,368.3027,6:08.30,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:70;1:110;3:70;0:61;5:53;2:102;9:111;7:28;6:78,"4:[3];8:[0,1,3,7,8,13,14];1:[2,3,5,6,7,8,9,10,11,12,14];3:[0,4,5,6,9,10,15];0:[0,7,9,13,14,15];5:[2,3,5,6,11];2:[0,2,4,5,7,10,12,13,14,15];9:[0,1,2,4,6,8,9,11,12,14,15];7:[4,13];6:[0,1,3,5,9,11,13]","c4:bw=10,experts=[3]; c8:bw=70,experts=[0,1,3,7,8,13,14]; c1:bw=110,experts=[2,3,5,6,7,8,9,10,11,12,14]; c3:bw=70,experts=[0,4,5,6,9,10,15]; c0:bw=61,experts=[0,7,9,13,14,15]; c5:bw=53,experts=[2,3,5,6,11]; c2:bw=102,experts=[0,2,4,5,7,10,12,13,14,15]; c9:bw=111,experts=[0,1,2,4,6,8,9,11,12,14,15]; c7:bw=28,experts=[4,13]; c6:bw=78,experts=[0,1,3,5,9,11,13]","2.3162,5.9148,16.6492,0.4177,5.2667,4.8740,0.1788,4.3324,2.8728,1.4828"
9,2026-09-19 21:22:35,Ours,0.01,1.2900827459481983,42.79,42.79,9,42.8659,0:42.87,41.9332,0.029,0.9024,411.1814,6:51.18,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:99;4:112;9:49;8:34;6:59;7:87;5:99;1:27;3:43,"2:[0,4,6,7];0:[0,3,4,5,6,8,10,13,14];4:[1,2,3,4,6,9,10,11,12,13,15];9:[3,4,11,13];8:[3,7,12];6:[4,8,10,14,15];7:[0,1,2,5,8,11,12,13];5:[1,2,3,5,7,8,11,12,13];1:[1,9];3:[2,7,12,14]","c2:bw=40,experts=[0,4,6,7]; c0:bw=99,experts=[0,3,4,5,6,8,10,13,14]; c4:bw=112,experts=[1,2,3,4,6,9,10,11,12,13,15]; c9:bw=49,experts=[3,4,11,13]; c8:bw=34,experts=[3,7,12]; c6:bw=59,experts=[4,8,10,14,15]; c7:bw=87,experts=[0,1,2,5,8,11,12,13]; c5:bw=99,experts=[1,2,3,5,7,8,11,12,13]; c1:bw=27,experts=[1,9]; c3:bw=43,experts=[2,7,12,14]","0.1722,5.0209,2.3470,3.9765,5.3308,1.4647,2.8726,4.8522,15.4770,0.4192"
10,2026-09-19 21:23:19,Ours,0.01,1.0871809286744796,49.54,49.54,10,43.9348,0:43.93,42.9778,0.0354,0.918,455.1302,7:35.13,10,"4,2,7,0,6,3,5,8,9,1",4:69;2:64;7:71;0:111;6:123;3:87;5:109;8:67;9:66;1:77,"4:[1,2,3,5,13,15];2:[1,5,7,9,12,14];7:[0,2,3,5,6,9,13];0:[2,3,4,5,6,7,8,11,12,14,15];6:[0,1,2,4,5,6,9,10,12,13,14,15];3:[3,4,7,8,9,12,14,15];5:[0,2,3,4,5,6,11,13,14,15];8:[0,1,4,7,10,14];9:[1,7,8,11,13,15];1:[0,3,4,5,6,9,15]","c4:bw=69,experts=[1,2,3,5,13,15]; c2:bw=64,experts=[1,5,7,9,12,14]; c7:bw=71,experts=[0,2,3,5,6,9,13]; c0:bw=111,experts=[2,3,4,5,6,7,8,11,12,14,15]; c6:bw=123,experts=[0,1,2,4,5,6,9,10,12,13,14,15]; c3:bw=87,experts=[3,4,7,8,9,12,14,15]; c5:bw=109,experts=[0,2,3,4,5,6,11,13,14,15]; c8:bw=67,experts=[0,1,4,7,10,14]; c9:bw=66,experts=[1,7,8,11,13,15]; c1:bw=77,experts=[0,3,4,5,6,9,15]","2.3403,0.1708,2.9000,4.9728,1.4356,0.4201,4.8065,5.4871,4.1026,16.3421"
