Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
39,2026-09-24 19:54:57,Ours,0.01,1.7009740473063704,55.27,55.27,39,57.2403,0:57.24,55.8829,0.149,1.207,2201.1853,36:41.19,10,"3,0,1,7,6,8,2,4,9,5",3:49;0:10;1:84;7:75;6:58;8:84;2:68;4:67;9:45;5:141,"3:[0,4,6,13];0:[4];1:[0,1,4,6,8,10,13,14];7:[0,4,5,6,10,13,14];6:[0,4,5,6,13];8:[0,4,5,6,10,11,13,14];2:[0,4,6,10,12,13];4:[0,4,6,10,13,14];9:[0,4,6,13];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,15]","c3:bw=49,experts=[0,4,6,13]; c0:bw=10,experts=[4]; c1:bw=84,experts=[0,1,4,6,8,10,13,14]; c7:bw=75,experts=[0,4,5,6,10,13,14]; c6:bw=58,experts=[0,4,5,6,13]; c8:bw=84,experts=[0,4,5,6,10,11,13,14]; c2:bw=68,experts=[0,4,6,10,12,13]; c4:bw=67,experts=[0,4,6,10,13,14]; c9:bw=45,experts=[0,4,6,13]; c5:bw=141,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15]","5.6285,5.0737,4.7784,5.0350,7.2697,5.8597,4.1042,7.4171,3.8070,6.9095"
40,2026-09-24 19:55:56,Ours,0.01,1.6953507267763783,53.43,55.27,39,58.6103,0:58.61,57.0573,0.1636,1.388,2259.8157,37:39.82,10,"8,1,5,6,2,7,3,4,9,0",8:49;1:79;5:60;6:88;2:123;7:125;3:13;4:36;9:75;0:67,"8:[0,4,6,13];1:[0,1,4,6,10,13,14];5:[0,4,6,10,13,14];6:[0,1,2,4,5,6,10,13];2:[0,1,2,4,5,6,8,10,11,12,13,14];7:[0,1,2,4,5,6,10,11,12,13,14,15];3:[4];4:[4,6,13];9:[0,1,4,6,8,13,14];0:[0,1,4,6,10,13]","c8:bw=49,experts=[0,4,6,13]; c1:bw=79,experts=[0,1,4,6,10,13,14]; c5:bw=60,experts=[0,4,6,10,13,14]; c6:bw=88,experts=[0,1,2,4,5,6,10,13]; c2:bw=123,experts=[0,1,2,4,5,6,8,10,11,12,13,14]; c7:bw=125,experts=[0,1,2,4,5,6,10,11,12,13,14,15]; c3:bw=13,experts=[4]; c4:bw=36,experts=[4,6,13]; c9:bw=75,experts=[0,1,4,6,8,13,14]; c0:bw=67,experts=[0,1,4,6,10,13]","5.8626,4.7802,6.8179,7.2708,4.1309,5.0572,5.5175,7.4890,4.0380,6.0932"
41,2026-09-24 19:57:03,Ours,0.01,1.708913716804806,54.68,55.27,39,67.1219,1:07.12,65.5716,0.1762,1.3724,2326.9648,38:46.96,10,"2,6,8,1,4,5,7,3,9,0",2:101;6:10;8:107;1:15;4:95;5:116;7:129;3:75;9:101;0:10,"2:[0,1,2,4,5,6,9,10,13,14];6:[4];8:[0,1,4,5,6,8,10,12,13,14];1:[4];4:[0,1,2,4,5,6,9,10,13];5:[0,1,4,5,6,9,10,11,12,13,14];7:[0,1,2,4,5,6,9,10,11,12,13,14];3:[0,1,4,6,10,13,14];9:[0,1,2,4,5,6,10,12,13,14];0:[8]","c2:bw=101,experts=[0,1,2,4,5,6,9,10,13,14]; c6:bw=10,experts=[4]; c8:bw=107,experts=[0,1,4,5,6,8,10,12,13,14]; c1:bw=15,experts=[4]; c4:bw=95,experts=[0,1,2,4,5,6,9,10,13]; c5:bw=116,experts=[0,1,4,5,6,9,10,11,12,13,14]; c7:bw=129,experts=[0,1,2,4,5,6,9,10,11,12,13,14]; c3:bw=75,experts=[0,1,4,6,10,13,14]; c9:bw=101,experts=[0,1,2,4,5,6,10,12,13,14]; c0:bw=10,experts=[8]","4.9420,8.6856,6.9443,5.4985,8.7743,7.9912,5.8757,6.5278,4.4618,5.8704"
42,2026-09-24 19:58:10,Ours,0.01,1.669725129900857,54.52,55.27,39,67.2431,1:07.24,65.6494,0.162,1.4302,2394.2319,39:54.23,10,"5,1,3,9,6,0,7,4,8,2",5:95;1:92;3:91;9:96;6:64;0:28;7:37;4:103;8:79;2:76,"5:[0,1,2,4,5,6,10,13,14];1:[0,1,2,4,5,6,10,13,14];3:[0,1,4,5,6,9,10,13,14];9:[0,1,2,4,5,6,10,13,14];6:[0,1,4,6,10,13];0:[4,12];7:[0,4,13];4:[0,1,2,4,5,6,10,12,13,14];8:[0,1,4,6,10,13,14];2:[0,1,4,6,10,13,14]","c5:bw=95,experts=[0,1,2,4,5,6,10,13,14]; c1:bw=92,experts=[0,1,2,4,5,6,10,13,14]; c3:bw=91,experts=[0,1,4,5,6,9,10,13,14]; c9:bw=96,experts=[0,1,2,4,5,6,10,13,14]; c6:bw=64,experts=[0,1,4,6,10,13]; c0:bw=28,experts=[4,12]; c7:bw=37,experts=[0,4,13]; c4:bw=103,experts=[0,1,2,4,5,6,10,12,13,14]; c8:bw=79,experts=[0,1,4,6,10,13,14]; c2:bw=76,experts=[0,1,4,6,10,13,14]","8.0531,5.5939,6.7673,4.4482,8.5531,5.8908,5.8029,8.7685,6.9258,4.8460"
43,2026-09-24 19:59:19,Ours,0.01,1.683176260158768,55.02,55.27,39,68.5355,1:08.54,67.0287,0.1703,1.335,2462.7949,41:02.79,10,"5,1,2,8,9,7,4,6,3,0",5:100;1:110;2:96;8:85;9:60;7:40;4:65;6:23;3:122;0:40,"5:[0,1,2,4,5,6,10,13,14,15];1:[0,1,2,4,5,6,10,11,12,13,14];2:[0,1,2,4,5,6,10,13,14];8:[0,1,4,5,6,10,13,14];9:[0,4,6,10,13,14];7:[0,4,6,13];4:[0,1,4,6,13,14];6:[8,9];3:[0,1,2,4,5,6,9,10,12,13,14,15];0:[0,4,6,13]","c5:bw=100,experts=[0,1,2,4,5,6,10,13,14,15]; c1:bw=110,experts=[0,1,2,4,5,6,10,11,12,13,14]; c2:bw=96,experts=[0,1,2,4,5,6,10,13,14]; c8:bw=85,experts=[0,1,4,5,6,10,13,14]; c9:bw=60,experts=[0,4,6,10,13,14]; c7:bw=40,experts=[0,4,6,13]; c4:bw=65,experts=[0,1,4,6,13,14]; c6:bw=23,experts=[8,9]; c3:bw=122,experts=[0,1,2,4,5,6,9,10,12,13,14,15]; c0:bw=40,experts=[0,4,6,13]","8.0686,5.5448,4.8108,6.7452,4.4150,5.9468,8.7388,8.4275,7.2870,7.0441"
44,2026-09-24 20:00:25,Ours,0.01,1.6528235969362435,56.2,56.2,44,66.4273,1:06.43,64.8871,0.1802,1.3582,2529.2457,42:09.25,10,"0,3,4,2,7,5,6,9,8,1",0:125;3:88;4:54;2:69;7:142;5:46;6:39;9:70;8:65;1:84,"0:[0,1,2,4,5,6,8,10,12,13,14,15];3:[0,1,4,5,6,10,11,13];4:[0,4,6,13,14];2:[0,4,6,10,13,14];7:[0,1,2,4,5,6,8,9,10,11,12,13,14,15];5:[0,4,6,13];6:[0,4,13];9:[0,1,4,5,6,10,13];8:[0,4,6,10,13,14];1:[0,1,4,6,10,11,12,13]","c0:bw=125,experts=[0,1,2,4,5,6,8,10,12,13,14,15]; c3:bw=88,experts=[0,1,4,5,6,10,11,13]; c4:bw=54,experts=[0,4,6,13,14]; c2:bw=69,experts=[0,4,6,10,13,14]; c7:bw=142,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15]; c5:bw=46,experts=[0,4,6,13]; c6:bw=39,experts=[0,4,13]; c9:bw=70,experts=[0,1,4,5,6,10,13]; c8:bw=65,experts=[0,4,6,10,13,14]; c1:bw=84,experts=[0,1,4,6,10,11,12,13]","5.7298,6.3490,8.7504,4.9181,5.9146,7.9562,8.4472,4.4350,6.8232,5.5637"
45,2026-09-24 20:01:32,Ours,0.01,1.6418702438147061,56.16,56.2,44,66.7566,1:06.76,65.1552,0.1764,1.4233,2596.0292,43:16.03,10,"8,0,3,4,7,2,9,6,5,1",8:104;0:68;3:126;4:121;7:67;2:93;9:47;6:10;5:84;1:105,"8:[0,1,2,4,5,6,10,12,13,14];0:[0,4,6,10,13,14];3:[0,1,2,4,5,6,10,11,12,13,14,15];4:[0,1,2,4,5,6,10,11,12,13,14,15];7:[0,4,6,10,12,13];2:[0,1,4,5,6,10,13,14,15];9:[0,4,6,13];6:[4];5:[0,1,4,5,6,10,13,15];1:[0,1,2,4,5,6,10,12,13,14]","c8:bw=104,experts=[0,1,2,4,5,6,10,12,13,14]; c0:bw=68,experts=[0,4,6,10,13,14]; c3:bw=126,experts=[0,1,2,4,5,6,10,11,12,13,14,15]; c4:bw=121,experts=[0,1,2,4,5,6,10,11,12,13,14,15]; c7:bw=67,experts=[0,4,6,10,12,13]; c2:bw=93,experts=[0,1,4,5,6,10,13,14,15]; c9:bw=47,experts=[0,4,6,13]; c6:bw=10,experts=[4]; c5:bw=84,experts=[0,1,4,5,6,10,13,15]; c1:bw=105,experts=[0,1,2,4,5,6,10,12,13,14]","6.8133,5.9403,6.8043,8.7114,5.7443,4.7739,4.4197,8.5012,7.9325,5.5144"
46,2026-09-24 20:02:40,Ours,0.01,1.637731487427025,55.74,56.2,44,67.4662,1:07.47,65.8802,0.1759,1.4085,2663.5237,44:23.52,10,"9,3,6,1,4,5,2,8,0,7",9:69;3:50;6:73;1:77;4:121;5:77;2:107;8:73;0:103;7:53,"9:[0,4,6,10,12,13];3:[0,4,6,10,13];6:[0,1,4,6,10,13,14];1:[0,1,4,6,10,13,14];4:[0,1,4,5,6,8,9,10,11,12,13,14];5:[0,1,4,6,12,13,14];2:[0,1,2,4,5,6,10,12,13,14];8:[0,1,4,5,6,10,13];0:[0,1,2,4,5,6,10,12,13,14];7:[0,4,6,13,14]","c9:bw=69,experts=[0,4,6,10,12,13]; c3:bw=50,experts=[0,4,6,10,13]; c6:bw=73,experts=[0,1,4,6,10,13,14]; c1:bw=77,experts=[0,1,4,6,10,13,14]; c4:bw=121,experts=[0,1,4,5,6,8,9,10,11,12,13,14]; c5:bw=77,experts=[0,1,4,6,12,13,14]; c2:bw=107,experts=[0,1,2,4,5,6,10,12,13,14]; c8:bw=73,experts=[0,1,4,5,6,10,13]; c0:bw=103,experts=[0,1,2,4,5,6,10,12,13,14]; c7:bw=53,experts=[0,4,6,13,14]","4.4801,6.5997,8.7182,5.5757,8.8179,8.0892,4.9622,6.7998,5.9012,5.9362"
47,2026-09-24 20:03:46,Ours,0.01,1.6180679242067562,56.0,56.2,44,66.6916,1:06.69,65.0907,0.1702,1.4291,2730.2432,45:30.24,10,"5,6,7,9,8,3,4,0,1,2",5:97;6:42;7:100;9:32;8:74;3:132;4:18;0:86;1:57;2:102,"5:[0,1,2,4,5,6,10,13,14];6:[0,4,6,13];7:[0,1,2,4,5,6,10,12,13,14];9:[4,6,12];8:[0,1,4,6,10,12,13];3:[0,1,2,4,5,6,8,10,11,12,13,14,15];4:[4];0:[0,1,4,5,6,10,13,14];1:[0,4,6,13,14];2:[0,1,2,4,5,6,10,12,13,14]","c5:bw=97,experts=[0,1,2,4,5,6,10,13,14]; c6:bw=42,experts=[0,4,6,13]; c7:bw=100,experts=[0,1,2,4,5,6,10,12,13,14]; c9:bw=32,experts=[4,6,12]; c8:bw=74,experts=[0,1,4,6,10,12,13]; c3:bw=132,experts=[0,1,2,4,5,6,8,10,11,12,13,14,15]; c4:bw=18,experts=[4]; c0:bw=86,experts=[0,1,4,5,6,10,13,14]; c1:bw=57,experts=[0,4,6,13,14]; c2:bw=102,experts=[0,1,2,4,5,6,10,12,13,14]","8.1324,8.3586,5.7660,4.4173,6.6861,6.6410,8.9505,5.6032,5.4882,5.0475"
48,2026-09-24 20:04:52,Ours,0.01,1.6370574364606092,55.48,56.2,44,65.728,1:05.73,64.2311,0.179,1.3163,2795.9999,46:36.00,10,"1,8,4,2,9,6,5,7,0,3",1:94;8:94;4:127;2:107;9:99;6:85;5:104;7:118;0:29;3:34,"1:[0,3,4,6,7,10,13,14,15];8:[0,1,3,4,6,7,10,13,14];4:[0,1,2,3,4,5,6,7,10,12,13,14];2:[0,1,3,4,6,7,10,12,13,14];9:[0,3,4,6,7,10,12,13,14];6:[0,3,4,6,7,10,13,14];5:[0,1,3,4,5,6,7,10,12,13];7:[0,1,3,4,5,6,7,10,11,13,14];0:[3,7];3:[3,4,7]","c1:bw=94,experts=[0,3,4,6,7,10,13,14,15]; c8:bw=94,experts=[0,1,3,4,6,7,10,13,14]; c4:bw=127,experts=[0,1,2,3,4,5,6,7,10,12,13,14]; c2:bw=107,experts=[0,1,3,4,6,7,10,12,13,14]; c9:bw=99,experts=[0,3,4,6,7,10,12,13,14]; c6:bw=85,experts=[0,3,4,6,7,10,13,14]; c5:bw=104,experts=[0,1,3,4,5,6,7,10,12,13]; c7:bw=118,experts=[0,1,3,4,5,6,7,10,11,13,14]; c0:bw=29,experts=[3,7]; c3:bw=34,experts=[3,4,7]","5.7310,6.9538,8.6264,4.6673,4.4345,8.2287,7.8404,5.6824,5.6709,6.3955"
