Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
16,2026-09-19 08:58:02,Ours,0.01,0.9611772541772364,59.87,59.9,15,47.6272,0:47.63,46.6341,0.0329,0.9588,777.5058,12:57.51,10,"6,1,3,8,7,5,4,9,0,2",6:76;1:54;3:82;8:93;7:42;5:75;4:67;9:45;0:107;2:97,"6:[1,5,6,8,9,13,14];1:[1,6,8,14,15];3:[1,5,6,8,9,13,14,15];8:[1,4,5,6,8,9,12,13,14];7:[6,8,14,15];5:[1,5,6,8,9,13,14];4:[1,6,8,13,14,15];9:[6,7,8,14];0:[1,3,4,5,6,8,9,13,14,15];2:[1,2,6,8,9,12,13,14,15]","c6:bw=76,experts=[1,5,6,8,9,13,14]; c1:bw=54,experts=[1,6,8,14,15]; c3:bw=82,experts=[1,5,6,8,9,13,14,15]; c8:bw=93,experts=[1,4,5,6,8,9,12,13,14]; c7:bw=42,experts=[6,8,14,15]; c5:bw=75,experts=[1,5,6,8,9,13,14]; c4:bw=67,experts=[1,6,8,13,14,15]; c9:bw=45,experts=[6,7,8,14]; c0:bw=107,experts=[1,3,4,5,6,8,9,13,14,15]; c2:bw=97,experts=[1,2,6,8,9,12,13,14,15]","1.6588,17.5540,0.5295,5.9398,3.0655,5.2481,2.5216,4.3207,5.5535,0.2425"
17,2026-09-19 08:58:50,Ours,0.01,0.9453843088156813,60.97,60.97,17,47.6414,0:47.64,46.6322,0.0342,0.9737,825.1636,13:45.16,10,"4,7,8,3,5,1,0,2,9,6",4:109;7:47;8:15;3:99;5:10;1:55;0:20;2:36;9:70;6:73,"4:[0,1,3,4,5,9,10,12,13,15];7:[1,5,9,13];8:[3];3:[1,2,4,5,9,10,11,12,13];5:[1];1:[1,4,5,9,13];0:[1,13];2:[1,3,13];9:[1,3,4,5,9,13,15];6:[1,3,4,5,7,9,13]","c4:bw=109,experts=[0,1,3,4,5,9,10,12,13,15]; c7:bw=47,experts=[1,5,9,13]; c8:bw=15,experts=[3]; c3:bw=99,experts=[1,2,4,5,9,10,11,12,13]; c5:bw=10,experts=[1]; c1:bw=55,experts=[1,4,5,9,13]; c0:bw=20,experts=[1,13]; c2:bw=36,experts=[1,3,13]; c9:bw=70,experts=[1,3,4,5,9,13,15]; c6:bw=73,experts=[1,3,4,5,7,9,13]","2.5948,3.1356,5.7626,0.5179,5.3294,17.4301,5.5467,0.2455,4.3991,1.6704"
18,2026-09-19 08:59:37,Ours,0.01,0.9262085286070354,62.86,62.86,18,47.517,0:47.52,46.5196,0.0287,0.9674,872.6959,14:32.70,10,"1,8,5,2,9,7,4,3,0,6",1:12;8:10;5:66;2:71;9:35;7:103;4:105;3:70;0:92;6:59,"1:[1];8:[1];5:[0,1,3,5,9,13];2:[1,4,7,9,10,12,13];9:[1,9,13];7:[0,1,2,5,9,10,11,12,13,15];4:[0,1,3,4,5,7,9,10,12,13];3:[1,2,3,5,9,12,13];0:[0,1,3,4,5,9,10,13,15];6:[1,4,5,9,13]","c1:bw=12,experts=[1]; c8:bw=10,experts=[1]; c5:bw=66,experts=[0,1,3,5,9,13]; c2:bw=71,experts=[1,4,7,9,10,12,13]; c9:bw=35,experts=[1,9,13]; c7:bw=103,experts=[0,1,2,5,9,10,11,12,13,15]; c4:bw=105,experts=[0,1,3,4,5,7,9,10,12,13]; c3:bw=70,experts=[1,2,3,5,9,12,13]; c0:bw=92,experts=[0,1,3,4,5,9,10,13,15]; c6:bw=59,experts=[1,4,5,9,13]","17.3229,5.8425,5.2929,0.2393,4.3579,3.1214,2.5572,0.5142,5.6062,1.6650"
19,2026-09-19 09:00:25,Ours,0.01,0.9072659905458373,63.41,63.41,19,47.8847,0:47.88,46.872,0.0365,0.9749,920.5974,15:20.60,10,"8,0,4,1,9,5,7,2,6,3",8:105;0:79;4:97;1:87;9:72;5:55;7:42;2:27;6:124;3:75,"8:[0,1,4,5,7,9,10,11,12,13];0:[0,1,3,4,5,9,13];4:[0,1,3,4,5,9,10,12,13];1:[0,1,4,5,9,10,12,13];9:[0,1,3,4,5,9,13];5:[1,3,5,9,13];7:[1,5,9,13];2:[1,13];6:[0,1,2,3,4,5,7,9,10,12,13,15];3:[0,1,2,5,9,12,13]","c8:bw=105,experts=[0,1,4,5,7,9,10,11,12,13]; c0:bw=79,experts=[0,1,3,4,5,9,13]; c4:bw=97,experts=[0,1,3,4,5,9,10,12,13]; c1:bw=87,experts=[0,1,4,5,9,10,12,13]; c9:bw=72,experts=[0,1,3,4,5,9,13]; c5:bw=55,experts=[1,3,5,9,13]; c7:bw=42,experts=[1,5,9,13]; c2:bw=27,experts=[1,13]; c6:bw=124,experts=[0,1,2,3,4,5,7,9,10,12,13,15]; c3:bw=75,experts=[0,1,2,5,9,12,13]","5.9596,5.5686,2.5563,17.5344,4.3841,5.2954,3.1224,0.2432,1.6865,0.5216"
20,2026-09-19 09:01:13,Ours,0.01,0.9139588298103272,65.81,65.81,20,47.7427,0:47.74,46.7235,0.0364,0.9815,968.3553,16:08.36,10,"0,2,1,9,7,6,3,5,4,8",0:52;2:78;1:76;9:31;7:81;6:128;3:34;5:10;4:112;8:95,"0:[1,3,5,9,13];2:[1,4,7,9,11,12,13];1:[0,1,4,5,9,10,13];9:[1,9,13];7:[0,1,3,5,7,9,11,13];6:[0,1,2,3,4,5,7,9,10,12,13,15];3:[1,9,13];5:[15];4:[0,1,2,3,4,5,9,10,12,13,15];8:[0,1,4,5,7,9,10,12,13]","c0:bw=52,experts=[1,3,5,9,13]; c2:bw=78,experts=[1,4,7,9,11,12,13]; c1:bw=76,experts=[0,1,4,5,9,10,13]; c9:bw=31,experts=[1,9,13]; c7:bw=81,experts=[0,1,3,5,7,9,11,13]; c6:bw=128,experts=[0,1,2,3,4,5,7,9,10,12,13,15]; c3:bw=34,experts=[1,9,13]; c5:bw=10,experts=[15]; c4:bw=112,experts=[0,1,2,3,4,5,9,10,12,13,15]; c8:bw=95,experts=[0,1,4,5,7,9,10,12,13]","5.6033,0.2495,17.4326,4.3590,3.1375,1.6899,0.5166,5.3110,2.5555,5.8684"
21,2026-09-19 09:02:01,Ours,0.01,0.9387178306851383,64.08,65.81,20,47.8268,0:47.83,46.8327,0.0335,0.9593,1016.199,16:56.20,10,"1,2,7,4,8,5,0,3,6,9",1:77;2:75;7:24;4:90;8:34;5:61;0:125;3:14;6:29;9:48,"1:[1,3,4,5,9,10,13];2:[1,4,9,10,12,13,15];7:[1,13];4:[0,1,3,4,5,9,10,12,13];8:[1,9,13];5:[1,2,3,5,9,13];0:[0,1,2,3,4,5,7,9,10,12,13,15];3:[7];6:[1,9];9:[1,2,9,13]","c1:bw=77,experts=[1,3,4,5,9,10,13]; c2:bw=75,experts=[1,4,9,10,12,13,15]; c7:bw=24,experts=[1,13]; c4:bw=90,experts=[0,1,3,4,5,9,10,12,13]; c8:bw=34,experts=[1,9,13]; c5:bw=61,experts=[1,2,3,5,9,13]; c0:bw=125,experts=[0,1,2,3,4,5,7,9,10,12,13,15]; c3:bw=14,experts=[7]; c6:bw=29,experts=[1,9]; c9:bw=48,experts=[1,2,9,13]","17.5945,0.2450,3.1052,2.5555,5.8783,5.3039,5.6214,0.5091,1.6484,4.3716"
22,2026-09-19 09:02:48,Ours,0.01,0.8958753686622428,64.62,65.81,20,47.6483,0:47.65,46.6509,0.0309,0.9651,1063.864,17:43.86,10,"7,9,1,6,5,2,0,4,3,8",7:31;9:62;1:12;6:116;5:31;2:125;0:126;4:69;3:105;8:62,"7:[1,9,13];9:[1,3,4,5,9,13];1:[1];6:[0,1,3,4,5,7,9,10,12,13,15];5:[1,9,13];2:[0,1,2,4,5,7,9,10,11,12,13,15];0:[0,1,3,4,5,7,9,10,11,12,13,15];4:[1,3,4,5,9,13];3:[0,1,2,3,4,5,9,10,12,13];8:[1,5,9,12,13,15]","c7:bw=31,experts=[1,9,13]; c9:bw=62,experts=[1,3,4,5,9,13]; c1:bw=12,experts=[1]; c6:bw=116,experts=[0,1,3,4,5,7,9,10,12,13,15]; c5:bw=31,experts=[1,9,13]; c2:bw=125,experts=[0,1,2,4,5,7,9,10,11,12,13,15]; c0:bw=126,experts=[0,1,3,4,5,7,9,10,11,12,13,15]; c4:bw=69,experts=[1,3,4,5,9,13]; c3:bw=105,experts=[0,1,2,3,4,5,9,10,12,13]; c8:bw=62,experts=[1,5,9,12,13,15]","3.1376,4.4288,17.3179,1.6604,5.2519,0.2440,5.6329,2.5499,0.5195,5.9081"
23,2026-09-19 09:03:36,Ours,0.01,0.8907059987236574,66.45,66.45,23,47.851,0:47.85,46.8435,0.0391,0.967,1111.7338,18:31.73,10,"5,7,4,6,9,8,3,1,2,0",5:98;7:28;4:106;6:19;9:95;8:66;3:29;1:117;2:61;0:21,"5:[0,1,2,3,4,5,7,9,13];7:[1,13];4:[0,1,3,4,5,9,10,12,13,15];6:[1];9:[0,1,3,4,5,9,10,13,15];8:[1,5,7,9,12,13];3:[1,13];1:[0,1,3,4,5,9,10,11,12,13,15];2:[1,4,7,9,10,13];0:[1,13]","c5:bw=98,experts=[0,1,2,3,4,5,7,9,13]; c7:bw=28,experts=[1,13]; c4:bw=106,experts=[0,1,3,4,5,9,10,12,13,15]; c6:bw=19,experts=[1]; c9:bw=95,experts=[0,1,3,4,5,9,10,13,15]; c8:bw=66,experts=[1,5,7,9,12,13]; c3:bw=29,experts=[1,13]; c1:bw=117,experts=[0,1,3,4,5,9,10,11,12,13,15]; c2:bw=61,experts=[1,4,7,9,10,13]; c0:bw=21,experts=[1,13]","5.3308,3.1084,2.5636,1.6461,4.4264,5.9295,0.5088,17.5550,0.2470,5.5278"
24,2026-09-19 09:04:24,Ours,0.01,0.8864076909566878,70.89,70.89,24,47.8976,0:47.90,46.8804,0.0345,0.9815,1159.648,19:19.65,10,"6,4,7,9,2,1,5,8,3,0",6:57;4:24;7:10;9:94;2:81;1:10;5:46;8:34;3:10;0:59,"6:[1,4,5,9,13];4:[1,13];7:[1];9:[1,3,4,5,9,11,12,13,15];2:[1,4,5,7,9,10,12,13];1:[7];5:[1,5,9,13];8:[1,9,13];3:[1];0:[1,3,5,9,13]","c6:bw=57,experts=[1,4,5,9,13]; c4:bw=24,experts=[1,13]; c7:bw=10,experts=[1]; c9:bw=94,experts=[1,3,4,5,9,11,12,13,15]; c2:bw=81,experts=[1,4,5,7,9,10,12,13]; c1:bw=10,experts=[7]; c5:bw=46,experts=[1,5,9,13]; c8:bw=34,experts=[1,9,13]; c3:bw=10,experts=[1]; c0:bw=59,experts=[1,3,5,9,13]","1.6675,2.5470,3.0797,4.4301,0.2433,17.5287,5.3346,5.9432,0.5043,5.6020"
25,2026-09-19 09:05:12,Ours,0.01,0.8437526508011851,66.63,70.89,24,48.378,0:48.38,47.3735,0.0359,0.9629,1208.0445,20:08.04,10,"9,6,4,3,5,1,8,2,0,7",9:76;6:30;4:110;3:26;5:120;1:92;8:103;2:24;0:106;7:75,"9:[0,1,3,4,5,9,13];6:[1,9,13];4:[0,1,3,4,5,9,10,11,12,13,15];3:[1,13];5:[0,1,2,3,4,5,7,9,10,12,13,15];1:[0,1,3,4,5,9,10,12,13];8:[0,1,4,5,7,9,10,11,12,13];2:[1,13];0:[0,1,3,4,5,9,10,12,13,15];7:[1,3,4,5,9,12,13]","c9:bw=76,experts=[0,1,3,4,5,9,13]; c6:bw=30,experts=[1,9,13]; c4:bw=110,experts=[0,1,3,4,5,9,10,11,12,13,15]; c3:bw=26,experts=[1,13]; c5:bw=120,experts=[0,1,2,3,4,5,7,9,10,12,13,15]; c1:bw=92,experts=[0,1,3,4,5,9,10,12,13]; c8:bw=103,experts=[0,1,4,5,7,9,10,11,12,13]; c2:bw=24,experts=[1,13]; c0:bw=106,experts=[0,1,3,4,5,9,10,12,13,15]; c7:bw=75,experts=[1,3,4,5,9,12,13]","4.4444,1.6731,2.5791,0.5115,5.3856,17.6547,6.0801,0.2475,5.6543,3.1432"
