Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-25 19:37:27,Ours,0.00208,3.7981126419930233,1.98,1.98,1,76.6738,1:16.67,75.0393,0.1885,1.4445,76.6738,1:16.67,10,"8,1,5,0,7,2,9,4,3,6",8:25;1:13;5:20;0:1;7:9;2:13;9:21;4:18;3:23;6:19,"8:[4,6];1:[4];5:[4,26];0:[];7:[];2:[4];9:[4,6];4:[4];3:[4,26];6:[6]","c8:bw=25,experts=[4,6]; c1:bw=13,experts=[4]; c5:bw=20,experts=[4,26]; c0:bw=1,experts=[]; c7:bw=9,experts=[]; c2:bw=13,experts=[4]; c9:bw=21,experts=[4,6]; c4:bw=18,experts=[4]; c3:bw=23,experts=[4,26]; c6:bw=19,experts=[6]","8.8464,6.3517,8.9475,6.8650,6.9080,5.5520,4.9899,9.6439,7.4124,9.5224"
2,2026-09-25 19:38:43,Ours,0.00406,3.30976051538954,4.6,4.6,2,75.3938,1:15.39,73.7546,0.2102,1.4272,152.142,2:32.14,10,"0,1,8,5,3,4,7,9,6,2",0:16;1:19;8:22;5:31;3:31;4:14;7:25;9:21;6:8;2:10,"0:[4];1:[4];8:[4,6];5:[4,6,26];3:[4,6,26];4:[4];7:[4,6];9:[4,6];6:[];2:[4]","c0:bw=16,experts=[4]; c1:bw=19,experts=[4]; c8:bw=22,experts=[4,6]; c5:bw=31,experts=[4,6,26]; c3:bw=31,experts=[4,6,26]; c4:bw=14,experts=[4]; c7:bw=25,experts=[4,6]; c9:bw=21,experts=[4,6]; c6:bw=8,experts=[]; c2:bw=10,experts=[4]","6.7341,6.2927,7.6780,8.9634,7.2782,9.7638,6.8253,5.2499,9.5991,5.3700"
3,2026-09-25 19:39:58,Ours,0.006040000000000001,3.195985695169077,6.03,6.03,3,75.6996,1:15.70,74.0527,0.1916,1.4489,227.8588,3:47.86,10,"9,2,0,6,8,5,3,7,1,4",9:22;2:19;0:23;6:18;8:14;5:6;3:12;7:15;1:6;4:24,"9:[4,6];2:[4];0:[4,6];6:[4];8:[4];5:[];3:[4];7:[4];1:[];4:[4,6]","c9:bw=22,experts=[4,6]; c2:bw=19,experts=[4]; c0:bw=23,experts=[4,6]; c6:bw=18,experts=[4]; c8:bw=14,experts=[4]; c5:bw=6,experts=[]; c3:bw=12,experts=[4]; c7:bw=15,experts=[4]; c1:bw=6,experts=[]; c4:bw=24,experts=[4,6]","5.1192,5.5387,6.7144,9.6766,8.0307,9.0941,7.4269,6.5910,6.2320,9.6291"
4,2026-09-25 19:41:14,Ours,0.00802,3.1075681122013505,9.46,9.46,4,75.7906,1:15.79,74.1689,0.1858,1.4344,303.6656,5:03.67,10,"1,7,6,2,8,0,3,4,5,9",1:18;7:20;6:24;2:27;8:14;0:27;3:15;4:25;5:33;9:10,"1:[4];7:[4,6];6:[4,6];2:[4,6];8:[4];0:[4,6];3:[4];4:[4,6];5:[4,6,26];9:[4]","c1:bw=18,experts=[4]; c7:bw=20,experts=[4,6]; c6:bw=24,experts=[4,6]; c2:bw=27,experts=[4,6]; c8:bw=14,experts=[4]; c0:bw=27,experts=[4,6]; c3:bw=15,experts=[4]; c4:bw=25,experts=[4,6]; c5:bw=33,experts=[4,6,26]; c9:bw=10,experts=[4]","6.3647,6.6806,9.6027,5.3730,7.6292,6.8492,7.4778,9.9386,9.0971,5.1560"
5,2026-09-25 19:42:29,Ours,0.01,3.008830291601611,11.31,11.31,5,75.3278,1:15.33,73.7213,0.1879,1.4171,379.0088,6:19.01,10,"1,5,4,8,0,7,6,3,2,9",1:9;5:18;4:22;8:17;0:23;7:11;6:24;3:29;2:3;9:28,"1:[];5:[4];4:[4,6];8:[4];0:[4,6];7:[4];6:[4,6];3:[4,6];2:[];9:[4,6]","c1:bw=9,experts=[]; c5:bw=18,experts=[4]; c4:bw=22,experts=[4,6]; c8:bw=17,experts=[4]; c0:bw=23,experts=[4,6]; c7:bw=11,experts=[4]; c6:bw=24,experts=[4,6]; c3:bw=29,experts=[4,6]; c2:bw=3,experts=[]; c9:bw=28,experts=[4,6]","6.2542,8.8723,9.7222,7.9369,6.8796,6.6697,9.6249,7.4581,5.3937,4.9096"
6,2026-09-25 19:43:44,Ours,0.01,2.8879165833347145,13.4,13.4,6,74.3336,1:14.33,72.7115,0.1887,1.4318,453.3578,7:33.36,10,"8,2,5,7,3,1,9,0,4,6",8:30;2:19;5:12;7:26;3:17;1:15;9:22;0:14;4:8;6:9,"8:[4,6,26];2:[4];5:[4];7:[4,6];3:[4];1:[4];9:[4,6];0:[4];4:[];6:[]","c8:bw=30,experts=[4,6,26]; c2:bw=19,experts=[4]; c5:bw=12,experts=[4]; c7:bw=26,experts=[4,6]; c3:bw=17,experts=[4]; c1:bw=15,experts=[4]; c9:bw=22,experts=[4,6]; c0:bw=14,experts=[4]; c4:bw=8,experts=[]; c6:bw=9,experts=[]","7.5336,5.3526,8.7147,6.3825,7.2143,6.1383,5.0664,6.7158,10.0020,9.5911"
7,2026-09-25 19:44:59,Ours,0.01,2.7631670741968946,15.4,15.4,7,74.9869,1:14.99,73.4072,0.1738,1.4,528.3613,8:48.36,10,"0,5,2,6,3,7,4,1,8,9",0:16;5:22;2:18;6:6;3:12;7:14;4:6;1:4;8:26;9:1,"0:[4];5:[4,6];2:[4];6:[];3:[4];7:[4];4:[];1:[];8:[4,6];9:[]","c0:bw=16,experts=[4]; c5:bw=22,experts=[4,6]; c2:bw=18,experts=[4]; c6:bw=6,experts=[]; c3:bw=12,experts=[4]; c7:bw=14,experts=[4]; c4:bw=6,experts=[]; c1:bw=4,experts=[]; c8:bw=26,experts=[4,6]; c9:bw=1,experts=[]","6.7746,8.8785,5.4551,9.8405,7.6201,6.5477,9.7101,6.2494,7.4913,4.8397"
8,2026-09-25 19:46:12,Ours,0.01,2.673594916219925,17.54,17.54,8,72.7554,1:12.76,71.2162,0.1739,1.3638,601.1325,10:01.13,10,"4,8,1,3,0,5,2,9,7,6",4:2;8:17;1:26;3:17;0:15;5:13;2:24;9:27;7:7;6:19,"4:[];8:[4];1:[4,6];3:[4];0:[4];5:[4];2:[4,6];9:[4,6];7:[];6:[4]","c4:bw=2,experts=[]; c8:bw=17,experts=[4]; c1:bw=26,experts=[4,6]; c3:bw=17,experts=[4]; c0:bw=15,experts=[4]; c5:bw=13,experts=[4]; c2:bw=24,experts=[4,6]; c9:bw=27,experts=[4,6]; c7:bw=7,experts=[]; c6:bw=19,experts=[4]","9.5623,7.5088,5.9863,7.0201,6.4987,8.7254,5.2829,5.0143,6.5354,9.0820"
9,2026-09-25 19:47:22,Ours,0.01,2.584800758562385,21.12,21.12,9,70.0996,1:10.10,68.6151,0.1701,1.3089,671.2489,11:11.25,10,"2,0,4,9,8,6,7,5,1,3",2:10;0:24;4:27;9:12;8:8;6:14;7:21;5:24;1:7;3:10,"2:[4];0:[4,6];4:[4,6];9:[4];8:[];6:[4];7:[4,6];5:[4,6];1:[];3:[4]","c2:bw=10,experts=[4]; c0:bw=24,experts=[4,6]; c4:bw=27,experts=[4,6]; c9:bw=12,experts=[4]; c8:bw=8,experts=[]; c6:bw=14,experts=[4]; c7:bw=21,experts=[4,6]; c5:bw=24,experts=[4,6]; c1:bw=7,experts=[]; c3:bw=10,experts=[4]","5.0778,6.1513,9.1042,4.7486,7.2761,9.0238,6.2331,8.3704,5.8028,6.8268"
10,2026-09-25 19:48:32,Ours,0.01,2.504492612207341,24.52,24.52,10,70.1016,1:10.10,68.6355,0.1611,1.3036,741.3677,12:21.37,10,"4,2,7,0,6,3,5,8,9,1",4:17;2:15;7:17;0:27;6:30;3:21;5:26;8:16;9:16;1:19,"4:[4];2:[4];7:[4];0:[4,6];6:[4,6,26];3:[4,6];5:[4,6];8:[4];9:[4];1:[4]","c4:bw=17,experts=[4]; c2:bw=15,experts=[4]; c7:bw=17,experts=[4]; c0:bw=27,experts=[4,6]; c6:bw=30,experts=[4,6,26]; c3:bw=21,experts=[4,6]; c5:bw=26,experts=[4,6]; c8:bw=16,experts=[4]; c9:bw=16,experts=[4]; c1:bw=19,experts=[4]","9.1478,5.1183,6.2544,6.1626,8.9308,6.8382,8.3686,7.1446,4.8336,5.8365"
11,2026-09-25 19:49:42,Ours,0.01,2.4332179402434413,26.39,26.39,11,69.9771,1:09.98,68.463,0.1625,1.3466,811.361,13:31.36,10,"5,2,7,3,0,8,9,6,1,4",5:13;2:12;7:20;3:23;0:13;8:18;9:15;6:25;1:18;4:7,"5:[4];2:[4];7:[4,6];3:[4,6];0:[4];8:[4];9:[4];6:[4,6];1:[4];4:[]","c5:bw=13,experts=[4]; c2:bw=12,experts=[4]; c7:bw=20,experts=[4,6]; c3:bw=23,experts=[4,6]; c0:bw=13,experts=[4]; c8:bw=18,experts=[4]; c9:bw=15,experts=[4]; c6:bw=25,experts=[4,6]; c1:bw=18,experts=[4]; c4:bw=7,experts=[]","8.3317,5.0399,6.0294,6.9307,6.1879,7.3350,4.8544,8.9190,5.6998,9.1351"
12,2026-09-25 19:50:52,Ours,0.01,2.3736103177417465,28.16,28.16,12,70.2778,1:10.28,68.6983,0.1721,1.4058,881.6562,14:41.66,10,"1,5,2,4,3,7,9,6,8,0",1:19;5:26;2:26;4:13;3:16;7:13;9:19;6:13;8:25;0:22,"1:[4];5:[4,26];2:[4,6];4:[4];3:[4];7:[4];9:[4];6:[4];8:[4,6];0:[4,6]","c1:bw=19,experts=[4]; c5:bw=26,experts=[4,26]; c2:bw=26,experts=[4,6]; c4:bw=13,experts=[4]; c3:bw=16,experts=[4]; c7:bw=13,experts=[4]; c9:bw=19,experts=[4]; c6:bw=13,experts=[4]; c8:bw=25,experts=[4,6]; c0:bw=22,experts=[4,6]","5.6734,8.4354,5.1345,9.2608,6.8060,6.1294,4.7114,8.9688,7.2051,6.3736"
