Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
76,2026-09-23 15:32:57,Ours,0.01,1.4179752633891212,63.34,63.81,75,72.7732,1:12.77,67.9522,3.4405,1.379,5278.4692,1:27:58.47,10,"8,5,0,3,2,6,7,4,9,1",8:54;5:70;0:59;3:28;2:47;6:44;7:126;4:114;9:108;1:101,"8:[0,1,4,6,13];5:[0,4,6,10,11,12,13];0:[0,4,6,10,13];3:[4,13];2:[0,4,6,13];6:[4,6,11,13];7:[0,1,2,4,5,6,8,9,10,11,12,13];4:[0,1,2,4,5,6,9,10,12,13,14];9:[0,1,2,4,5,6,10,12,13,14];1:[0,1,2,4,5,6,10,12,13,14]","c8:bw=54,experts=[0,1,4,6,13]; c5:bw=70,experts=[0,4,6,10,11,12,13]; c0:bw=59,experts=[0,4,6,10,13]; c3:bw=28,experts=[4,13]; c2:bw=47,experts=[0,4,6,13]; c6:bw=44,experts=[4,6,11,13]; c7:bw=126,experts=[0,1,2,4,5,6,8,9,10,11,12,13]; c4:bw=114,experts=[0,1,2,4,5,6,9,10,12,13,14]; c9:bw=108,experts=[0,1,2,4,5,6,10,12,13,14]; c1:bw=101,experts=[0,1,2,4,5,6,10,12,13,14]","7.1228,8.1401,6.1212,6.7915,5.1503,8.7574,6.2660,8.9499,4.7651,5.8877"
77,2026-09-23 15:34:09,Ours,0.01,1.4249356736602874,63.9,63.9,77,72.039,1:12.04,67.3249,3.3392,1.3734,5350.5393,1:29:10.54,10,"9,2,1,8,4,7,6,0,3,5",9:55;2:65;1:118;8:10;4:10;7:16;6:107;0:120;3:76;5:112,"9:[0,4,6,10,13];2:[0,4,6,12,13,14];1:[0,1,2,4,5,6,9,10,12,13,14];8:[4];4:[15];7:[4];6:[0,1,2,4,5,6,10,12,13,14];0:[0,1,2,4,5,6,8,10,12,13,14,15];3:[0,2,4,6,12,13,14];5:[0,1,2,4,5,6,8,10,12,13,14]","c9:bw=55,experts=[0,4,6,10,13]; c2:bw=65,experts=[0,4,6,12,13,14]; c1:bw=118,experts=[0,1,2,4,5,6,9,10,12,13,14]; c8:bw=10,experts=[4]; c4:bw=10,experts=[15]; c7:bw=16,experts=[4]; c6:bw=107,experts=[0,1,2,4,5,6,10,12,13,14]; c0:bw=120,experts=[0,1,2,4,5,6,8,10,12,13,14,15]; c3:bw=76,experts=[0,2,4,6,12,13,14]; c5:bw=112,experts=[0,1,2,4,5,6,8,10,12,13,14]","4.6390,5.1047,5.8522,6.9418,8.7264,5.9779,8.8385,6.3053,6.7503,8.1888"
78,2026-09-23 15:35:22,Ours,0.01,1.4083105073066053,63.43,63.9,77,72.7241,1:12.72,67.9186,3.4429,1.3564,5423.296,1:30:23.30,10,"0,4,3,7,8,1,9,6,5,2",0:50;4:43;3:71;7:68;8:102;1:77;9:58;6:109;5:119;2:65,"0:[0,4,6,10,13];4:[0,4,6,13];3:[4,5,6,9,10,12,13];7:[0,1,4,6,12,13];8:[0,1,2,4,5,6,10,12,13,14];1:[0,1,4,6,8,13,15];9:[0,4,6,13,14];6:[0,1,4,5,6,8,9,10,11,13];5:[0,1,4,5,6,9,10,11,12,13,14];2:[0,4,6,10,12,13]","c0:bw=50,experts=[0,4,6,10,13]; c4:bw=43,experts=[0,4,6,13]; c3:bw=71,experts=[4,5,6,9,10,12,13]; c7:bw=68,experts=[0,1,4,6,12,13]; c8:bw=102,experts=[0,1,2,4,5,6,10,12,13,14]; c1:bw=77,experts=[0,1,4,6,8,13,15]; c9:bw=58,experts=[0,4,6,13,14]; c6:bw=109,experts=[0,1,4,5,6,8,9,10,11,13]; c5:bw=119,experts=[0,1,4,5,6,9,10,11,12,13,14]; c2:bw=65,experts=[0,4,6,10,12,13]","6.1221,8.9476,6.8398,6.2030,7.1238,5.8415,4.6296,8.8052,8.3976,5.0084"
79,2026-09-23 15:36:35,Ours,0.01,1.4046341171086112,64.07,64.07,79,72.2728,1:12.27,67.4675,3.4487,1.3551,5495.6,1:31:35.60,10,"6,9,0,4,7,8,5,3,1,2",6:40;9:17;0:68;4:160;7:86;8:84;5:100;3:50;1:70;2:63,"6:[0,4,6,13];9:[4];0:[0,1,4,6,10,13];4:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15];7:[0,1,2,4,6,12,13,14];8:[0,1,4,5,6,10,12,13];5:[0,1,2,4,6,10,11,12,13,14];3:[0,4,6,13,15];1:[0,1,4,6,12,13,14];2:[0,1,4,6,10,13]","c6:bw=40,experts=[0,4,6,13]; c9:bw=17,experts=[4]; c0:bw=68,experts=[0,1,4,6,10,13]; c4:bw=160,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]; c7:bw=86,experts=[0,1,2,4,6,12,13,14]; c8:bw=84,experts=[0,1,4,5,6,10,12,13]; c5:bw=100,experts=[0,1,2,4,6,10,11,12,13,14]; c3:bw=50,experts=[0,4,6,13,15]; c1:bw=70,experts=[0,1,4,6,12,13,14]; c2:bw=63,experts=[0,1,4,6,10,13]","8.6621,4.6191,6.2014,9.0596,6.1380,7.0130,8.1809,6.7150,5.7987,5.0797"
80,2026-09-23 15:37:47,Ours,0.01,1.4020654937674943,63.94,64.07,79,72.3851,1:12.39,67.3861,3.6273,1.3701,5568.0174,1:32:48.02,10,"5,9,7,1,3,4,2,0,6,8",5:124;9:99;7:90;1:58;3:59;4:108;2:82;0:90;6:74;8:97,"5:[0,1,2,3,4,5,6,7,10,12,13,14];9:[0,1,3,4,6,7,12,13,15];7:[0,1,3,4,6,7,10,12,13];1:[3,4,6,7,13];3:[3,4,6,7,13];4:[0,1,2,4,5,6,10,12,13,14];2:[0,3,4,6,7,12,13,14];0:[0,1,3,4,6,7,8,10,13];6:[0,1,3,4,6,7,13];8:[0,3,4,6,7,10,12,13,14]","c5:bw=124,experts=[0,1,2,3,4,5,6,7,10,12,13,14]; c9:bw=99,experts=[0,1,3,4,6,7,12,13,15]; c7:bw=90,experts=[0,1,3,4,6,7,10,12,13]; c1:bw=58,experts=[3,4,6,7,13]; c3:bw=59,experts=[3,4,6,7,13]; c4:bw=108,experts=[0,1,2,4,5,6,10,12,13,14]; c2:bw=82,experts=[0,3,4,6,7,12,13,14]; c0:bw=90,experts=[0,1,3,4,6,7,8,10,13]; c6:bw=74,experts=[0,1,3,4,6,7,13]; c8:bw=97,experts=[0,3,4,6,7,10,12,13,14]","8.2558,4.7258,6.2968,5.7899,6.7525,8.8384,5.0218,6.0942,8.6198,6.9912"
81,2026-09-23 15:39:00,Ours,0.01,1.3964324587865542,64.16,64.16,81,72.6848,1:12.68,67.6856,3.6483,1.3493,5640.7348,1:34:00.73,10,"6,2,3,1,4,5,9,7,8,0",6:97;2:85;3:126;1:93;4:79;5:57;9:50;7:109;8:90;0:95,"6:[0,1,4,5,6,9,10,13,14];2:[0,1,4,6,10,12,13,14];3:[0,1,2,4,5,6,8,10,12,13,14,15];1:[0,1,4,5,6,10,11,12,13];4:[0,1,4,5,6,10,13];5:[0,1,4,6,13];9:[0,4,6,8,13];7:[0,1,2,4,5,6,10,12,13,14];8:[0,4,5,6,11,12,13,14,15];0:[0,1,2,4,5,6,8,10,13]","c6:bw=97,experts=[0,1,4,5,6,9,10,13,14]; c2:bw=85,experts=[0,1,4,6,10,12,13,14]; c3:bw=126,experts=[0,1,2,4,5,6,8,10,12,13,14,15]; c1:bw=93,experts=[0,1,4,5,6,10,11,12,13]; c4:bw=79,experts=[0,1,4,5,6,10,13]; c5:bw=57,experts=[0,1,4,6,13]; c9:bw=50,experts=[0,4,6,8,13]; c7:bw=109,experts=[0,1,2,4,5,6,10,12,13,14]; c8:bw=90,experts=[0,4,5,6,11,12,13,14,15]; c0:bw=95,experts=[0,1,2,4,5,6,8,10,13]","8.7797,5.1017,6.8287,5.6968,8.8178,8.1864,4.6423,6.2868,7.0385,6.3070"
82,2026-09-23 15:40:12,Ours,0.01,1.389537554691786,64.1,64.16,81,72.1613,1:12.16,67.32,3.4608,1.379,5712.929,1:35:12.93,10,"1,0,6,8,7,3,2,9,5,4",1:121;0:57;6:69;8:109;7:75;3:74;2:56;9:105;5:76;4:56,"1:[0,1,2,4,5,6,9,10,11,12,13,14];0:[1,4,6,10,13];6:[0,4,6,12,13,14];8:[0,1,2,4,5,6,10,12,13,14];7:[0,1,4,6,10,12,13];3:[0,1,4,5,6,12,13];2:[4,6,10,11,13];9:[0,1,2,4,5,6,10,12,13,14];5:[0,1,4,5,6,10,13];4:[0,1,4,6,13]","c1:bw=121,experts=[0,1,2,4,5,6,9,10,11,12,13,14]; c0:bw=57,experts=[1,4,6,10,13]; c6:bw=69,experts=[0,4,6,12,13,14]; c8:bw=109,experts=[0,1,2,4,5,6,10,12,13,14]; c7:bw=75,experts=[0,1,4,6,10,12,13]; c3:bw=74,experts=[0,1,4,5,6,12,13]; c2:bw=56,experts=[4,6,10,11,13]; c9:bw=105,experts=[0,1,2,4,5,6,10,12,13,14]; c5:bw=76,experts=[0,1,4,5,6,10,13]; c4:bw=56,experts=[0,1,4,6,13]","5.9127,6.1280,8.5905,7.0212,6.0702,6.7599,5.1252,4.7023,8.2318,8.7783"
83,2026-09-23 15:41:24,Ours,0.01,1.391758346649968,64.64,64.64,83,72.333,1:12.33,67.6808,3.2852,1.3656,5785.3688,1:36:25.37,10,"9,4,2,7,5,0,6,1,8,3",9:97;4:19;2:77;7:70;5:10;0:10;6:100;1:119;8:74;3:80,"9:[0,1,4,6,9,10,12,13,14];4:[4];2:[0,1,4,6,10,12,13];7:[0,2,4,6,12,13,14];5:[4];0:[4];6:[0,1,4,5,6,9,10,11,12,13];1:[0,1,4,5,6,9,10,11,12,13,14];8:[0,1,4,5,6,13,14];3:[0,1,4,6,10,12,13,14]","c9:bw=97,experts=[0,1,4,6,9,10,12,13,14]; c4:bw=19,experts=[4]; c2:bw=77,experts=[0,1,4,6,10,12,13]; c7:bw=70,experts=[0,2,4,6,12,13,14]; c5:bw=10,experts=[4]; c0:bw=10,experts=[4]; c6:bw=100,experts=[0,1,4,5,6,9,10,11,12,13]; c1:bw=119,experts=[0,1,4,5,6,9,10,11,12,13,14]; c8:bw=74,experts=[0,1,4,5,6,13,14]; c3:bw=80,experts=[0,1,4,6,10,12,13,14]","4.8027,8.7590,5.1835,6.0726,7.9844,6.2029,8.9672,5.7141,7.1146,6.8798"
84,2026-09-23 15:42:36,Ours,0.01,1.380438771806922,64.98,64.98,84,71.83,1:11.83,67.2499,3.2237,1.3549,5857.2313,1:37:37.23,10,"8,3,1,6,9,2,7,5,4,0",8:126;3:61;1:110;6:10;9:39;2:69;7:89;5:38;4:52;0:19,"8:[0,1,4,5,6,8,9,10,11,12,13,14];3:[0,4,5,6,12,13];1:[0,1,2,4,5,6,10,11,12,13,14];6:[4];9:[0,4,6];2:[0,4,6,10,13,15];7:[0,4,5,6,10,11,12,13];5:[4,6,13];4:[0,1,4,6,13];0:[4]","c8:bw=126,experts=[0,1,4,5,6,8,9,10,11,12,13,14]; c3:bw=61,experts=[0,4,5,6,12,13]; c1:bw=110,experts=[0,1,2,4,5,6,10,11,12,13,14]; c6:bw=10,experts=[4]; c9:bw=39,experts=[0,4,6]; c2:bw=69,experts=[0,4,6,10,13,15]; c7:bw=89,experts=[0,4,5,6,10,11,12,13]; c5:bw=38,experts=[4,6,13]; c4:bw=52,experts=[0,1,4,6,13]; c0:bw=19,experts=[4]","7.1420,6.7454,5.7083,8.7085,4.6393,5.0236,6.0799,8.0973,8.9910,6.1145"
85,2026-09-23 15:43:48,Ours,0.01,1.3729043911221854,64.67,64.98,84,72.232,1:12.23,67.3279,3.5298,1.3728,5929.496,1:38:49.50,10,"0,2,8,6,1,4,9,3,5,7",0:72;2:86;8:132;6:79;1:107;4:79;9:109;3:97;5:23;7:21,"0:[0,1,4,6,8,10,13];2:[0,1,4,6,8,10,11,13];8:[0,1,2,4,5,6,8,9,10,11,12,13,14];6:[0,1,4,6,10,13,15];1:[0,1,4,5,6,9,10,12,13,14];4:[0,4,6,10,12,13,14];9:[0,1,2,4,5,6,8,10,12,13];3:[0,1,2,4,6,10,12,13,14];5:[4,6];7:[4,13]","c0:bw=72,experts=[0,1,4,6,8,10,13]; c2:bw=86,experts=[0,1,4,6,8,10,11,13]; c8:bw=132,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14]; c6:bw=79,experts=[0,1,4,6,10,13,15]; c1:bw=107,experts=[0,1,4,5,6,9,10,12,13,14]; c4:bw=79,experts=[0,4,6,10,12,13,14]; c9:bw=109,experts=[0,1,2,4,5,6,8,10,12,13]; c3:bw=97,experts=[0,1,2,4,6,10,12,13,14]; c5:bw=23,experts=[4,6]; c7:bw=21,experts=[4,13]","6.1921,5.0644,7.0547,8.8190,5.7730,8.8208,4.6768,6.7490,8.1815,5.9966"
