Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 11:42:30,Ours,0.00208,3.8653939153536228,1.43,1.43,1,55.1176,0:55.12,53.7674,0.1618,1.1869,55.1177,0:55.12,10,"8,1,5,0,7,2,9,4,3,6",8:202;1:107;5:163;0:10;7:75;2:106;9:166;4:146;3:187;6:150,"8:[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30];1:[0,1,2,4,5,6,13,23,24,26];5:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];0:[13];7:[1,2,4,6,13,23,24];2:[0,1,2,4,5,6,13,23,24,26];9:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];4:[0,1,2,4,5,6,13,15,18,21,23,24,26,30];3:[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30];6:[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","c8:bw=202,experts=[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30]; c1:bw=107,experts=[0,1,2,4,5,6,13,23,24,26]; c5:bw=163,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c0:bw=10,experts=[13]; c7:bw=75,experts=[1,2,4,6,13,23,24]; c2:bw=106,experts=[0,1,2,4,5,6,13,23,24,26]; c9:bw=166,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c4:bw=146,experts=[0,1,2,4,5,6,13,15,18,21,23,24,26,30]; c3:bw=187,experts=[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30]; c6:bw=150,experts=[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","6.0306,4.5336,6.5962,4.9412,4.8365,4.0664,3.6071,6.9332,5.4066,6.8160"
2,2026-09-24 11:43:23,Ours,0.00406,3.3287415956215276,4.83,4.83,2,52.7107,0:52.71,51.4034,0.1587,1.1468,107.964,1:47.96,10,"0,1,8,5,3,4,7,9,6,2",0:130;1:152;8:177;5:251;3:246;4:109;7:202;9:170;6:62;2:79,"0:[0,1,2,4,6,8,10,11,12,13,18,21,26];1:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];3:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,29];4:[0,2,4,6,10,11,13,18,24,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];6:[2,4,6,10,13,26];2:[0,2,4,6,10,13,26]","c0:bw=130,experts=[0,1,2,4,6,8,10,11,12,13,18,21,26]; c1:bw=152,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26]; c8:bw=177,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28]; c5:bw=251,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c3:bw=246,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,29]; c4:bw=109,experts=[0,2,4,6,10,11,13,18,24,26]; c7:bw=202,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,28]; c9:bw=170,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c6:bw=62,experts=[2,4,6,10,13,26]; c2:bw=79,experts=[0,2,4,6,10,13,26]","4.7581,4.4160,5.3649,6.3547,5.1495,6.9844,4.5131,3.5404,6.5320,3.7904"
3,2026-09-24 11:44:15,Ours,0.006040000000000001,3.1998405787044732,6.43,6.43,3,52.2769,0:52.28,50.9363,0.1624,1.1766,160.2539,2:40.25,10,"9,2,0,6,8,5,3,7,1,4",9:174;2:152;0:182;6:146;8:110;5:49;3:94;7:120;1:49;4:190,"9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];2:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];6:[0,1,2,4,5,6,8,10,11,12,13,18,21,26];8:[0,2,4,5,6,10,11,12,13,18,26];5:[4,6,13,26];3:[0,2,4,6,10,12,13,18,26];7:[0,2,4,5,6,8,10,11,12,13,18,26];1:[4,6,13,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]","c9:bw=174,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c2:bw=152,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c6:bw=146,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,26]; c8:bw=110,experts=[0,2,4,5,6,10,11,12,13,18,26]; c5:bw=49,experts=[4,6,13,26]; c3:bw=94,experts=[0,2,4,6,10,12,13,18,26]; c7:bw=120,experts=[0,2,4,5,6,8,10,11,12,13,18,26]; c1:bw=49,experts=[4,6,13,26]; c4:bw=190,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]","3.5529,3.7648,4.6651,6.7202,5.3390,6.1969,5.0890,4.5879,4.2921,6.7283"
4,2026-09-24 11:45:08,Ours,0.00802,3.114676634113205,9.15,9.15,4,52.574,0:52.57,51.2225,0.1647,1.1849,212.8399,3:32.84,10,"1,7,6,2,8,0,3,4,5,9",1:145;7:164;6:194;2:219;8:115;0:215;3:124;4:204;5:268;9:79,"1:[0,1,2,4,5,6,8,10,12,13,18,21,24,26];7:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];2:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28];8:[0,1,2,4,5,6,10,12,13,18,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,10,11,12,13,18,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28];5:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];9:[2,4,6,12,13,18,26]","c1:bw=145,experts=[0,1,2,4,5,6,8,10,12,13,18,21,24,26]; c7:bw=164,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26,28]; c6:bw=194,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c2:bw=219,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28]; c8:bw=115,experts=[0,1,2,4,5,6,10,12,13,18,26]; c0:bw=215,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28]; c3:bw=124,experts=[0,1,2,4,5,6,10,11,12,13,18,26]; c4:bw=204,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28]; c5:bw=268,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c9:bw=79,experts=[2,4,6,12,13,18,26]","4.3000,4.6543,6.7441,3.7646,5.3269,4.6900,5.1434,6.7690,6.2573,3.5728"
5,2026-09-24 11:46:01,Ours,0.01,3.0219338249923355,12.54,12.54,5,52.812,0:52.81,51.4702,0.1612,1.1789,265.6632,4:25.66,10,"1,5,4,8,0,7,6,3,2,9",1:72;5:145;4:178;8:135;0:182;7:89;6:195;3:232;2:26;9:229,"1:[0,2,4,6,12,13,26];5:[0,1,2,4,5,6,9,10,12,13,18,24,26,27];4:[0,1,2,4,5,6,9,10,11,12,13,18,23,24,26,27,28];8:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];7:[0,2,4,6,10,12,13,26];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];3:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,27,28];2:[4,6];9:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,27,28]","c1:bw=72,experts=[0,2,4,6,12,13,26]; c5:bw=145,experts=[0,1,2,4,5,6,9,10,12,13,18,24,26,27]; c4:bw=178,experts=[0,1,2,4,5,6,9,10,11,12,13,18,23,24,26,27,28]; c8:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c7:bw=89,experts=[0,2,4,6,10,12,13,26]; c6:bw=195,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c3:bw=232,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,27,28]; c2:bw=26,experts=[4,6]; c9:bw=229,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,27,28]","4.3326,6.4402,6.8485,5.3344,4.6925,4.6615,6.6662,5.1077,3.8330,3.5536"
6,2026-09-24 11:46:53,Ours,0.01,2.898309802745711,14.58,14.58,6,52.7928,0:52.79,51.4502,0.1631,1.1778,318.4681,5:18.47,10,"8,2,5,7,3,1,9,0,4,6",8:245;2:152;5:100;7:213;3:133;1:118;9:176;0:114;4:64;6:74,"8:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,30];2:[0,1,2,4,5,6,8,10,12,13,18,21,24,26,28];5:[0,1,2,4,6,10,12,13,18,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];1:[0,1,2,4,6,8,10,12,13,18,26];9:[0,1,2,4,5,6,8,9,10,12,13,18,21,24,25,26,28];0:[0,1,2,4,5,6,10,12,13,18,26];4:[2,4,6,12,13,26];6:[2,4,6,10,12,13,26]","c8:bw=245,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,30]; c2:bw=152,experts=[0,1,2,4,5,6,8,10,12,13,18,21,24,26,28]; c5:bw=100,experts=[0,1,2,4,6,10,12,13,18,26]; c7:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28]; c3:bw=133,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c1:bw=118,experts=[0,1,2,4,6,8,10,12,13,18,26]; c9:bw=176,experts=[0,1,2,4,5,6,8,9,10,12,13,18,21,24,25,26,28]; c0:bw=114,experts=[0,1,2,4,5,6,10,12,13,18,26]; c4:bw=64,experts=[2,4,6,12,13,26]; c6:bw=74,experts=[2,4,6,10,12,13,26]","5.3447,3.8260,6.2767,4.6497,5.1491,4.2944,3.5790,4.7270,6.8489,6.7546"
7,2026-09-24 11:47:46,Ours,0.01,2.7895959930232292,16.99,16.99,7,52.9796,0:52.98,51.6548,0.1565,1.1666,371.4603,6:11.46,10,"0,5,2,6,3,7,4,1,8,9",0:132;5:178;2:146;6:48;3:97;7:113;4:50;1:35;8:210;9:10,"0:[0,1,2,4,5,6,8,10,12,13,18,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28];2:[0,1,2,4,5,6,8,10,12,13,18,21,24,26];6:[4,6,13,26];3:[0,1,2,4,6,10,12,13,26];7:[0,1,2,4,5,6,10,12,13,18,26];4:[0,4,6,13,26];1:[4,6,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28];9:[4]","c0:bw=132,experts=[0,1,2,4,5,6,8,10,12,13,18,26,28]; c5:bw=178,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28]; c2:bw=146,experts=[0,1,2,4,5,6,8,10,12,13,18,21,24,26]; c6:bw=48,experts=[4,6,13,26]; c3:bw=97,experts=[0,1,2,4,6,10,12,13,26]; c7:bw=113,experts=[0,1,2,4,5,6,10,12,13,18,26]; c4:bw=50,experts=[0,4,6,13,26]; c1:bw=35,experts=[4,6,26]; c8:bw=210,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28]; c9:bw=10,experts=[4]","4.7687,6.2863,3.8303,6.7446,5.1531,4.6866,6.9144,4.3242,5.3815,3.5652"
8,2026-09-24 11:48:40,Ours,0.01,2.6885042062430022,19.56,19.56,8,53.2903,0:53.29,51.9544,0.1523,1.182,424.7627,7:04.76,10,"4,8,1,3,0,5,2,9,7,6",4:16;8:135;1:213;3:136;0:119;5:103;2:197;9:215;7:55;6:151,"4:[4];8:[0,1,2,4,5,6,10,12,13,18,24,26,28];1:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,5,6,10,12,13,26,28];5:[0,1,2,4,5,6,10,12,13,26];2:[0,1,2,4,5,6,8,9,10,12,13,14,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,8,9,10,12,13,14,16,18,21,23,24,25,26,28,30];7:[0,4,6,13,26];6:[0,1,2,4,5,6,8,10,12,13,18,21,24,26,28]","c4:bw=16,experts=[4]; c8:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c1:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28]; c3:bw=136,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=119,experts=[0,1,2,4,5,6,10,12,13,26,28]; c5:bw=103,experts=[0,1,2,4,5,6,10,12,13,26]; c2:bw=197,experts=[0,1,2,4,5,6,8,9,10,12,13,14,18,21,23,24,25,26,28]; c9:bw=215,experts=[0,1,2,4,5,6,8,9,10,12,13,14,16,18,21,23,24,25,26,28,30]; c7:bw=55,experts=[0,4,6,13,26]; c6:bw=151,experts=[0,1,2,4,5,6,8,10,12,13,18,21,24,26,28]","6.8912,5.3994,4.3479,5.1940,4.7715,6.3070,3.8452,3.6063,4.6743,6.9176"
9,2026-09-24 11:49:33,Ours,0.01,2.601593075089606,22.68,22.68,9,53.347,0:53.35,52.0062,0.1565,1.1827,478.1229,7:58.12,10,"2,0,4,9,8,6,7,5,1,3",2:78;0:192;4:218;9:96;8:66;6:114;7:168;5:192;1:53;3:84,"2:[0,1,2,4,6,13,26];0:[0,1,2,4,5,6,8,10,11,12,13,14,18,21,23,24,25,26,28];4:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];9:[0,1,2,4,5,6,10,13,26];8:[0,2,4,6,13,26];6:[0,1,2,4,5,6,10,12,13,24,26];7:[0,1,2,4,5,6,8,10,12,13,18,21,23,24,26,28];5:[0,1,2,4,5,6,8,10,11,12,13,14,18,21,23,24,25,26,28];1:[0,4,6,13,26];3:[0,1,4,5,6,10,13,26]","c2:bw=78,experts=[0,1,2,4,6,13,26]; c0:bw=192,experts=[0,1,2,4,5,6,8,10,11,12,13,14,18,21,23,24,25,26,28]; c4:bw=218,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c9:bw=96,experts=[0,1,2,4,5,6,10,13,26]; c8:bw=66,experts=[0,2,4,6,13,26]; c6:bw=114,experts=[0,1,2,4,5,6,10,12,13,24,26]; c7:bw=168,experts=[0,1,2,4,5,6,8,10,12,13,18,21,23,24,26,28]; c5:bw=192,experts=[0,1,2,4,5,6,8,10,11,12,13,14,18,21,23,24,25,26,28]; c1:bw=53,experts=[0,4,6,13,26]; c3:bw=84,experts=[0,1,4,5,6,10,13,26]","3.8724,4.7593,6.9704,3.5908,5.4035,6.8049,4.6691,6.3674,4.3526,5.2158"
10,2026-09-24 11:50:27,Ours,0.01,2.523726695093592,24.37,24.37,10,53.5752,0:53.58,52.2517,0.1589,1.1629,531.7114,8:51.71,10,"4,2,7,0,6,3,5,8,9,1",4:135;2:124;7:137;0:216;6:238;3:168;5:212;8:129;9:129;1:149,"4:[0,1,2,4,5,6,10,12,13,18,24,26,28];2:[0,1,2,4,5,6,8,10,13,18,24,26];7:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,19,21,23,24,25,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,19,21,23,24,25,26,28,29];3:[0,1,2,4,5,6,8,10,12,13,14,18,21,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,28,29];8:[0,1,2,4,5,6,10,13,18,24,26,28];9:[0,1,2,4,5,6,8,10,13,18,24,26];1:[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","c4:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c2:bw=124,experts=[0,1,2,4,5,6,8,10,13,18,24,26]; c7:bw=137,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=216,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,19,21,23,24,25,26,28]; c6:bw=238,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,19,21,23,24,25,26,28,29]; c3:bw=168,experts=[0,1,2,4,5,6,8,10,12,13,14,18,21,24,26,28]; c5:bw=212,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,28,29]; c8:bw=129,experts=[0,1,2,4,5,6,10,13,18,24,26,28]; c9:bw=129,experts=[0,1,2,4,5,6,8,10,13,18,24,26]; c1:bw=149,experts=[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","7.0086,3.8636,4.6907,4.8244,6.8390,5.2393,6.3575,5.4274,3.6215,4.3796"
