Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
6,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,3,72,4573,16,0,1.0,0.0,1.0,1.0,1.0,1.0
7,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,7,3,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,3,3,79,5018,16,0,1.0,0.0,0.0,1.0,1.0,1.0
8,0,3,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,6,3,103,6582,16,0,1.0,1.0,0.0,1.0,1.0,1.0
9,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,4,3,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,3,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,7,3,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,3,3,79,5018,16,0,1.0,0.0,1.0,1.0,1.0,1.0
12,7,3,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,3,3,79,5018,16,0,1.0,0.0,0.0,1.0,1.0,1.0
13,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,6,3,103,6582,16,0,0.0,1.0,1.0,1.0,0.0,0.0
13,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,1,3,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,6,3,103,6582,16,0,1.0,0.0,1.0,1.0,1.0,1.0
16,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
16,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
16,4,3,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
16,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,2,3,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,3,3,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
20,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,2,3,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
21,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,5,3,96,6137,16,0,1.0,0.0,0.0,1.0,1.0,1.0
21,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
22,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
22,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,4,3,105,6664,16,0,1.0,0.0,0.0,1.0,1.0,1.0
22,8,3,82,5219,16,0,1.0,1.0,0.0,0.0,1.0,1.0
23,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
23,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,2,3,58,3656,16,0,1.0,1.0,0.0,1.0,0.0,1.0
23,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,6,3,103,6582,16,0,1.0,0.0,0.0,0.0,0.0,1.0
24,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
24,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,0,3,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
25,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,6,3,103,6582,16,0,1.0,0.0,0.0,0.0,1.0,1.0
26,7,3,71,4512,16,0,0.0,1.0,1.0,0.0,0.0,0.0
26,1,3,66,4218,16,0,1.0,0.0,0.0,1.0,1.0,1.0
26,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
26,2,3,58,3656,16,0,1.0,1.0,1.0,0.0,0.0,1.0
26,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,0,3,72,4573,16,0,1.0,0.0,0.0,0.0,0.0,1.0
27,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
27,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
27,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
28,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
28,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
28,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,5,3,96,6137,16,0,1.0,0.0,0.0,0.0,1.0,1.0
28,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
28,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,4,3,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
29,1,3,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
29,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
29,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
29,3,3,79,5018,16,0,1.0,0.0,1.0,1.0,1.0,1.0
29,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,5,3,96,6137,16,0,1.0,1.0,1.0,0.0,0.0,1.0
30,1,3,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
30,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
31,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
31,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,1,3,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
31,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
31,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
31,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
32,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,9,3,54,3421,16,0,1.0,0.0,1.0,1.0,1.0,1.0
33,1,3,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
33,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
33,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
33,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
34,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
34,7,3,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
35,4,3,105,6664,16,0,1.0,0.0,1.0,1.0,1.0,1.0
35,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
35,1,3,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
35,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
