Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
33,2026-09-18 09:00:49,Ours,0.01,0.8264757450792619,74.16,74.16,33,49.9223,0:49.92,48.6896,0.128,1.1035,1651.3175,27:31.32,10,"7,1,3,6,5,9,2,8,4,0",7:29;1:19;3:39;6:20;5:16;9:23;2:13;8:28;4:25;0:35,"7:[0,2];1:[0];3:[0,1,2];6:[0,2];5:[0];9:[0,2];2:[0];8:[0,2];4:[0,2];0:[0,1,2]","c7:bw=29,experts=[0,2]; c1:bw=19,experts=[0]; c3:bw=39,experts=[0,1,2]; c6:bw=20,experts=[0,2]; c5:bw=16,experts=[0]; c9:bw=23,experts=[0,2]; c2:bw=13,experts=[0]; c8:bw=28,experts=[0,2]; c4:bw=25,experts=[0,2]; c0:bw=35,experts=[0,1,2]","3.4015,17.7888,0.5404,1.7127,5.4935,4.6161,0.2516,6.3254,2.7373,5.8222"
34,2026-09-18 09:01:39,Ours,0.01,0.8303012612046237,74.45,74.45,34,50.0629,0:50.06,48.8325,0.1308,1.0984,1701.3996,28:21.40,10,"4,1,6,9,8,0,5,7,3,2",4:26;1:26;6:27;9:38;8:23;0:12;5:33;7:18;3:40;2:30,"4:[0,2];1:[0,2];6:[0,2];9:[0,2,3];8:[0,2];0:[0];5:[0,1,2];7:[0];3:[0,1,2,3];2:[0,1,2]","c4:bw=26,experts=[0,2]; c1:bw=26,experts=[0,2]; c6:bw=27,experts=[0,2]; c9:bw=38,experts=[0,2,3]; c8:bw=23,experts=[0,2]; c0:bw=12,experts=[0]; c5:bw=33,experts=[0,1,2]; c7:bw=18,experts=[0]; c3:bw=40,experts=[0,1,2,3]; c2:bw=30,experts=[0,1,2]","2.7259,17.8142,1.7183,4.6172,6.3812,5.8022,5.5950,3.3553,0.5514,0.2719"
35,2026-09-18 09:02:29,Ours,0.01,0.8234364884162277,74.4,74.45,34,49.5962,0:49.60,48.3555,0.1244,1.1152,1751.0155,29:11.02,10,"4,0,1,6,2,8,9,7,5,3",4:18;0:11;1:17;6:24;2:25;8:28;9:15;7:27;5:23;3:13,"4:[0];0:[0];1:[0];6:[0,2];2:[0,2];8:[0,2];9:[0];7:[0,2];5:[0,2];3:[0]","c4:bw=18,experts=[0]; c0:bw=11,experts=[0]; c1:bw=17,experts=[0]; c6:bw=24,experts=[0,2]; c2:bw=25,experts=[0,2]; c8:bw=28,experts=[0,2]; c9:bw=15,experts=[0]; c7:bw=27,experts=[0,2]; c5:bw=23,experts=[0,2]; c3:bw=13,experts=[0]","2.7276,5.8310,17.4538,1.7115,0.2547,6.3224,4.6006,3.3501,5.5626,0.5411"
36,2026-09-18 09:03:18,Ours,0.01,0.810744241169548,75.27,75.27,36,49.5705,0:49.57,48.3234,0.1285,1.1137,1800.6049,30:00.60,10,"9,0,3,7,6,5,1,4,8,2",9:21;0:20;3:33;7:15;6:24;5:27;1:10;4:40;8:28;2:28,"9:[0,2];0:[0,2];3:[0,1,2];7:[0];6:[0,2];5:[0,2];1:[0];4:[0,1,2,3];8:[0,2];2:[0,2]","c9:bw=21,experts=[0,2]; c0:bw=20,experts=[0,2]; c3:bw=33,experts=[0,1,2]; c7:bw=15,experts=[0]; c6:bw=24,experts=[0,2]; c5:bw=27,experts=[0,2]; c1:bw=10,experts=[0]; c4:bw=40,experts=[0,1,2,3]; c8:bw=28,experts=[0,2]; c2:bw=28,experts=[0,2]","4.6603,5.8516,0.5491,3.3628,1.6944,5.4811,17.4633,2.7035,6.3007,0.2566"
37,2026-09-18 09:04:08,Ours,0.01,0.8082072026745168,75.87,75.87,37,49.6462,0:49.65,48.3835,0.1299,1.1317,1850.2713,30:50.27,10,"1,5,2,6,4,7,9,0,3,8",1:10;5:22;2:20;6:36;4:22;7:23;9:22;0:30;3:20;8:10,"1:[0];5:[0,2];2:[0,2];6:[0,1,2];4:[0,2];7:[0,2];9:[0,2];0:[0,1,2];3:[0,2];8:[0]","c1:bw=10,experts=[0]; c5:bw=22,experts=[0,2]; c2:bw=20,experts=[0,2]; c6:bw=36,experts=[0,1,2]; c4:bw=22,experts=[0,2]; c7:bw=23,experts=[0,2]; c9:bw=22,experts=[0,2]; c0:bw=30,experts=[0,1,2]; c3:bw=20,experts=[0,2]; c8:bw=10,experts=[0]","17.5377,5.5964,0.2518,1.6930,2.7170,3.3476,4.6012,5.8066,0.5441,6.2880"
38,2026-09-18 09:04:57,Ours,0.01,0.811731988419079,75.88,75.88,38,49.5365,0:49.54,48.3011,0.1288,1.1055,1899.8272,31:39.83,10,"8,6,4,1,5,2,3,7,9,0",8:25;6:10;4:29;1:17;5:10;2:10;3:21;7:28;9:14;0:22,"8:[0,2];6:[0];4:[0,2];1:[0];5:[0];2:[0];3:[0,2];7:[0,2];9:[0];0:[0,2]","c8:bw=25,experts=[0,2]; c6:bw=10,experts=[0]; c4:bw=29,experts=[0,2]; c1:bw=17,experts=[0]; c5:bw=10,experts=[0]; c2:bw=10,experts=[0]; c3:bw=21,experts=[0,2]; c7:bw=28,experts=[0,2]; c9:bw=14,experts=[0]; c0:bw=22,experts=[0,2]","6.3474,1.6999,2.7063,17.4345,5.4933,0.2529,0.5394,3.3634,4.5923,5.8716"
39,2026-09-18 09:05:47,Ours,0.01,0.805405080132504,74.96,75.88,38,49.7471,0:49.75,48.5188,0.1259,1.1012,1949.5949,32:29.59,10,"3,0,1,7,6,8,2,4,9,5",3:14;0:10;1:25;7:22;6:17;8:25;2:20;4:20;9:13;5:40,"3:[0];0:[0];1:[0,2];7:[0,2];6:[0];8:[0,2];2:[0,2];4:[0,2];9:[0];5:[0,1,2,3]","c3:bw=14,experts=[0]; c0:bw=10,experts=[0]; c1:bw=25,experts=[0,2]; c7:bw=22,experts=[0,2]; c6:bw=17,experts=[0]; c8:bw=25,experts=[0,2]; c2:bw=20,experts=[0,2]; c4:bw=20,experts=[0,2]; c9:bw=13,experts=[0]; c5:bw=40,experts=[0,1,2,3]","0.5431,5.8098,17.5887,3.4304,1.6881,6.3124,0.2563,2.6860,4.6168,5.5873"
40,2026-09-18 09:06:37,Ours,0.01,0.8035333647409469,75.64,75.88,38,49.6255,0:49.63,48.3987,0.1301,1.0955,1999.2408,33:19.24,10,"8,1,5,6,2,7,3,4,9,0",8:14;1:23;5:18;6:26;2:36;7:37;3:10;4:11;9:22;0:20,"8:[0];1:[0,2];5:[0];6:[0,2];2:[0,1,2];7:[0,1,2];3:[0];4:[0];9:[0,2];0:[0,2]","c8:bw=14,experts=[0]; c1:bw=23,experts=[0,2]; c5:bw=18,experts=[0]; c6:bw=26,experts=[0,2]; c2:bw=36,experts=[0,1,2]; c7:bw=37,experts=[0,1,2]; c3:bw=10,experts=[0]; c4:bw=11,experts=[0]; c9:bw=22,experts=[0,2]; c0:bw=20,experts=[0,2]","6.3568,17.5111,5.5001,1.6989,0.2543,3.3569,0.5391,2.6863,4.6205,5.8746"
41,2026-09-18 09:07:27,Ours,0.01,0.7994114309290244,76.5,76.5,41,49.7084,0:49.71,48.4792,0.1263,1.1017,2048.9723,34:08.97,10,"2,6,8,1,4,5,7,3,9,0",2:30;6:10;8:31;1:10;4:28;5:34;7:38;3:22;9:30;0:10,"2:[0,1,2];6:[0];8:[0,1,2];1:[0];4:[0,2];5:[0,1,2];7:[0,1,2];3:[0,2];9:[0,2,3];0:[0]","c2:bw=30,experts=[0,1,2]; c6:bw=10,experts=[0]; c8:bw=31,experts=[0,1,2]; c1:bw=10,experts=[0]; c4:bw=28,experts=[0,2]; c5:bw=34,experts=[0,1,2]; c7:bw=38,experts=[0,1,2]; c3:bw=22,experts=[0,2]; c9:bw=30,experts=[0,2,3]; c0:bw=10,experts=[0]","0.2497,1.6990,6.3565,17.4291,2.7107,5.5925,3.3518,0.5394,4.6143,5.9361"
42,2026-09-18 09:08:16,Ours,0.01,0.8011220196383594,76.77,76.77,42,49.6303,0:49.63,48.4016,0.1258,1.0987,2098.6232,34:58.62,10,"5,1,3,9,6,0,7,4,8,2",5:28;1:27;3:27;9:28;6:19;0:10;7:11;4:30;8:23;2:22,"5:[0,2];1:[0,2];3:[0,2];9:[0,2];6:[0];0:[0];7:[0];4:[0,1,2];8:[0,2];2:[0,2]","c5:bw=28,experts=[0,2]; c1:bw=27,experts=[0,2]; c3:bw=27,experts=[0,2]; c9:bw=28,experts=[0,2]; c6:bw=19,experts=[0]; c0:bw=10,experts=[0]; c7:bw=11,experts=[0]; c4:bw=30,experts=[0,1,2]; c8:bw=23,experts=[0,2]; c2:bw=22,experts=[0,2]","5.5577,17.6321,0.5392,4.6171,1.6970,5.7713,3.3481,2.6885,6.2995,0.2508"
43,2026-09-18 09:09:06,Ours,0.01,0.7850122111742285,77.44,77.44,43,49.5035,0:49.50,48.2603,0.127,1.115,2148.1482,35:48.15,10,"5,1,2,8,9,7,4,6,3,0",5:29;1:32;2:28;8:25;9:18;7:12;4:19;6:10;3:36;0:12,"5:[0,2];1:[0,1,2];2:[0,2];8:[0,2];9:[0];7:[0];4:[0];6:[0];3:[0,1,2];0:[0]","c5:bw=29,experts=[0,2]; c1:bw=32,experts=[0,1,2]; c2:bw=28,experts=[0,2]; c8:bw=25,experts=[0,2]; c9:bw=18,experts=[0]; c7:bw=12,experts=[0]; c4:bw=19,experts=[0]; c6:bw=10,experts=[0]; c3:bw=36,experts=[0,1,2]; c0:bw=12,experts=[0]","5.5299,17.6098,0.2476,6.3089,4.5733,3.2954,2.6754,1.6858,0.5354,5.7986"
44,2026-09-18 09:09:55,Ours,0.01,0.7888574347399968,77.9,77.9,44,49.5851,0:49.59,48.3621,0.1306,1.0913,2197.7549,36:37.75,10,"0,3,4,2,7,5,6,9,8,1",0:37;3:26;4:16;2:20;7:40;5:13;6:11;9:21;8:19;1:25,"0:[0,1,2];3:[0,2];4:[0];2:[0,2];7:[0,1,2,3];5:[0];6:[0];9:[0,2];8:[0];1:[0,2]","c0:bw=37,experts=[0,1,2]; c3:bw=26,experts=[0,2]; c4:bw=16,experts=[0]; c2:bw=20,experts=[0,2]; c7:bw=40,experts=[0,1,2,3]; c5:bw=13,experts=[0]; c6:bw=11,experts=[0]; c9:bw=21,experts=[0,2]; c8:bw=19,experts=[0]; c1:bw=25,experts=[0,2]","5.9976,0.5381,2.7089,0.2489,3.3093,5.5229,1.6925,4.6039,6.2648,17.4751"
45,2026-09-18 09:10:45,Ours,0.01,0.7818302681116412,78.28,78.28,45,49.5816,0:49.58,48.3598,0.1243,1.0933,2247.3586,37:27.36,10,"8,0,3,4,7,2,9,6,5,1",8:31;0:20;3:37;4:36;7:20;2:27;9:14;6:10;5:25;1:31,"8:[0,1,2];0:[0,2];3:[0,1,2];4:[0,1,2];7:[0,2];2:[0,2];9:[0];6:[0];5:[0,2];1:[0,1,2]","c8:bw=31,experts=[0,1,2]; c0:bw=20,experts=[0,2]; c3:bw=37,experts=[0,1,2]; c4:bw=36,experts=[0,1,2]; c7:bw=20,experts=[0,2]; c2:bw=27,experts=[0,2]; c9:bw=14,experts=[0]; c6:bw=10,experts=[0]; c5:bw=25,experts=[0,2]; c1:bw=31,experts=[0,1,2]","6.3571,5.8948,0.5392,2.7025,3.3334,0.2473,4.5808,1.6890,5.4824,17.5335"
46,2026-09-18 09:11:35,Ours,0.01,0.7825649477499775,78.72,78.72,46,49.6761,0:49.68,48.4509,0.1318,1.0922,2297.0566,38:17.06,10,"9,3,6,1,4,5,2,8,0,7",9:20;3:15;6:21;1:23;4:35;5:23;2:32;8:22;0:30;7:16,"9:[0,2];3:[0];6:[0,2];1:[0,2];4:[0,1,2];5:[0,2];2:[0,1,2];8:[0,2];0:[0,1,2];7:[0]","c9:bw=20,experts=[0,2]; c3:bw=15,experts=[0]; c6:bw=21,experts=[0,2]; c1:bw=23,experts=[0,2]; c4:bw=35,experts=[0,1,2]; c5:bw=23,experts=[0,2]; c2:bw=32,experts=[0,1,2]; c8:bw=22,experts=[0,2]; c0:bw=30,experts=[0,1,2]; c7:bw=16,experts=[0]","4.6659,0.5323,1.7019,17.5552,2.7019,5.5217,0.2469,6.2721,5.9704,3.2826"
47,2026-09-18 09:12:24,Ours,0.01,0.7805338411538576,78.56,78.72,46,49.4804,0:49.48,48.256,0.1277,1.0955,2346.5597,39:06.56,10,"5,6,7,9,8,3,4,0,1,2",5:29;6:12;7:29;9:10;8:22;3:39;4:10;0:25;1:17;2:30,"5:[0,2];6:[0];7:[0,2];9:[0];8:[0,2];3:[0,1,2];4:[0];0:[0,2];1:[0];2:[0,1,2]","c5:bw=29,experts=[0,2]; c6:bw=12,experts=[0]; c7:bw=29,experts=[0,2]; c9:bw=10,experts=[0]; c8:bw=22,experts=[0,2]; c3:bw=39,experts=[0,1,2]; c4:bw=10,experts=[0]; c0:bw=25,experts=[0,2]; c1:bw=17,experts=[0]; c2:bw=30,experts=[0,1,2]","5.5281,1.6974,3.3212,4.6175,6.2863,0.5336,2.6846,5.9496,17.3897,0.2478"
48,2026-09-18 09:13:14,Ours,0.01,0.779692235144734,76.88,78.72,46,49.5336,0:49.53,48.2857,0.1267,1.1201,2396.1152,39:56.12,10,"1,8,4,2,9,6,5,7,0,3",1:28;8:28;4:37;2:31;9:29;6:25;5:31;7:35;0:10;3:10,"1:[0,2];8:[0,2];4:[0,1,2];2:[0,1,2];9:[0,2];6:[0,2];5:[0,1,2];7:[0,1,2];0:[0];3:[0]","c1:bw=28,experts=[0,2]; c8:bw=28,experts=[0,2]; c4:bw=37,experts=[0,1,2]; c2:bw=31,experts=[0,1,2]; c9:bw=29,experts=[0,2]; c6:bw=25,experts=[0,2]; c5:bw=31,experts=[0,1,2]; c7:bw=35,experts=[0,1,2]; c0:bw=10,experts=[0]; c3:bw=10,experts=[0]","17.5971,6.2234,2.6928,0.2458,4.5767,1.6881,5.4832,3.3035,5.9384,0.5367"
49,2026-09-18 09:14:03,Ours,0.01,0.7730402010290985,79.66,79.66,49,49.3969,0:49.40,48.1706,0.1284,1.0966,2445.5348,40:45.53,10,"4,3,8,0,2,5,6,7,9,1",4:27;3:18;8:15;0:11;2:32;5:31;6:10;7:24;9:29;1:30,"4:[0,2];3:[0];8:[0];0:[0];2:[0,1,2];5:[0,1,2];6:[0];7:[0,2];9:[0,2];1:[0,1,2]","c4:bw=27,experts=[0,2]; c3:bw=18,experts=[0]; c8:bw=15,experts=[0]; c0:bw=11,experts=[0]; c2:bw=32,experts=[0,1,2]; c5:bw=31,experts=[0,1,2]; c6:bw=10,experts=[0]; c7:bw=24,experts=[0,2]; c9:bw=29,experts=[0,2]; c1:bw=30,experts=[0,1,2]","2.7217,0.5421,6.3004,5.7944,0.2484,5.5104,1.6860,3.2976,4.5927,17.4771"
50,2026-09-18 09:14:52,Ours,0.01,0.7665177304405114,77.51,79.66,49,49.092,0:49.09,47.8698,0.126,1.095,2494.65,41:34.65,10,"8,4,7,6,2,1,3,0,9,5",8:18;4:10;7:19;6:38;2:35;1:36;3:22;0:16;9:15;5:17,"8:[0];4:[0];7:[0];6:[0,1,2];2:[0,1,2];1:[0,1,2];3:[0,2];0:[0];9:[0];5:[0]","c8:bw=18,experts=[0]; c4:bw=10,experts=[0]; c7:bw=19,experts=[0]; c6:bw=38,experts=[0,1,2]; c2:bw=35,experts=[0,1,2]; c1:bw=36,experts=[0,1,2]; c3:bw=22,experts=[0,2]; c0:bw=16,experts=[0]; c9:bw=15,experts=[0]; c5:bw=17,experts=[0]","6.2024,2.6928,3.2922,1.6937,0.2533,17.4948,0.5266,5.7519,4.5008,5.4612"
51,2026-09-18 09:15:42,Ours,0.01,0.7738245983675945,80.59,80.59,51,49.5821,0:49.58,48.3658,0.1249,1.0902,2544.256,42:24.26,10,"5,0,1,2,8,6,9,3,4,7",5:26;0:30;1:12;2:11;8:26;6:29;9:10;3:31;4:10;7:15,"5:[0,2];0:[0,1,2];1:[0];2:[0];8:[0,2];6:[0,2];9:[0];3:[0,1,2];4:[0];7:[0]","c5:bw=26,experts=[0,2]; c0:bw=30,experts=[0,1,2]; c1:bw=12,experts=[0]; c2:bw=11,experts=[0]; c8:bw=26,experts=[0,2]; c6:bw=29,experts=[0,2]; c9:bw=10,experts=[0]; c3:bw=31,experts=[0,1,2]; c4:bw=10,experts=[0]; c7:bw=15,experts=[0]","5.5595,6.0293,17.5413,0.2531,6.2264,1.6995,4.5159,0.5331,2.6959,3.3118"
52,2026-09-18 09:16:31,Ours,0.01,0.7694823624315299,79.8,80.59,51,49.5751,0:49.58,48.323,0.1276,1.1233,2593.8546,43:13.85,10,"0,8,5,7,1,4,9,6,2,3",0:26;8:10;5:13;7:19;1:22;4:18;9:17;6:28;2:16;3:24,"0:[0,2];8:[0];5:[0];7:[0];1:[0,2];4:[0];9:[0];6:[0,2];2:[0];3:[0,2]","c0:bw=26,experts=[0,2]; c8:bw=10,experts=[0]; c5:bw=13,experts=[0]; c7:bw=19,experts=[0]; c1:bw=22,experts=[0,2]; c4:bw=18,experts=[0]; c9:bw=17,experts=[0]; c6:bw=28,experts=[0,2]; c2:bw=16,experts=[0]; c3:bw=24,experts=[0,2]","5.9077,6.2703,5.5016,3.3090,17.5546,2.7043,4.5901,1.7024,0.2475,0.5355"
53,2026-09-18 09:17:21,Ours,0.01,0.7645442050654746,76.92,80.59,51,49.3898,0:49.39,48.1676,0.1235,1.0946,2643.2682,44:03.27,10,"8,4,5,1,3,9,6,7,0,2",8:12;4:16;5:24;1:33;3:26;9:34;6:20;7:24;0:21;2:29,"8:[0];4:[0];5:[0,2];1:[0,1,2];3:[0,2];9:[0,2,3];6:[0,2];7:[0,2];0:[0,2];2:[0,2]","c8:bw=12,experts=[0]; c4:bw=16,experts=[0]; c5:bw=24,experts=[0,2]; c1:bw=33,experts=[0,1,2]; c3:bw=26,experts=[0,2]; c9:bw=34,experts=[0,2,3]; c6:bw=20,experts=[0,2]; c7:bw=24,experts=[0,2]; c0:bw=21,experts=[0,2]; c2:bw=29,experts=[0,2]","6.3017,2.7253,5.5126,17.4901,0.5398,4.5356,1.6928,3.3129,5.8037,0.2529"
54,2026-09-18 09:18:10,Ours,0.01,0.7641025999555981,80.29,80.59,51,49.5006,0:49.50,48.2718,0.1323,1.0953,2692.7924,44:52.79,10,"2,1,8,7,3,0,6,5,9,4",2:10;1:29;8:31;7:34;3:17;0:20;6:30;5:10;9:28;4:18,"2:[0];1:[0,2];8:[0,1,2];7:[0,1,2];3:[0];0:[0,2];6:[0,1,2];5:[0];9:[0,2];4:[0]","c2:bw=10,experts=[0]; c1:bw=29,experts=[0,2]; c8:bw=31,experts=[0,1,2]; c7:bw=34,experts=[0,1,2]; c3:bw=17,experts=[0]; c0:bw=20,experts=[0,2]; c6:bw=30,experts=[0,1,2]; c5:bw=10,experts=[0]; c9:bw=28,experts=[0,2]; c4:bw=18,experts=[0]","0.2528,17.5956,6.2003,3.3132,0.5336,5.9799,1.6955,5.4930,4.5294,2.6786"
55,2026-09-18 09:18:59,Ours,0.01,0.7592618064877972,78.62,80.59,51,49.1205,0:49.12,47.8931,0.1265,1.0996,2741.9374,45:41.94,10,"7,2,4,3,8,5,1,6,0,9",7:30;2:23;4:10;3:29;8:10;5:29;1:33;6:23;0:15;9:34,"7:[0,1,2];2:[0,2];4:[0];3:[0,2];8:[0];5:[0,2];1:[0,1,2];6:[0,2];0:[0];9:[0,2,3]","c7:bw=30,experts=[0,1,2]; c2:bw=23,experts=[0,2]; c4:bw=10,experts=[0]; c3:bw=29,experts=[0,2]; c8:bw=10,experts=[0]; c5:bw=29,experts=[0,2]; c1:bw=33,experts=[0,1,2]; c6:bw=23,experts=[0,2]; c0:bw=15,experts=[0]; c9:bw=34,experts=[0,2,3]","3.3189,0.2516,2.7046,0.5432,6.1938,5.4908,17.4338,1.6928,5.7540,4.5096"
56,2026-09-18 09:19:49,Ours,0.01,0.7590541775963799,79.61,80.59,51,49.5227,0:49.52,48.2755,0.1261,1.1161,2791.4837,46:31.48,10,"9,1,3,2,5,4,8,7,6,0",9:29;1:31;3:10;2:29;5:17;4:10;8:10;7:10;6:13;0:39,"9:[0,2];1:[0,1,2];3:[0];2:[0,2];5:[0];4:[0];8:[0];7:[0];6:[0];0:[0,1,2]","c9:bw=29,experts=[0,2]; c1:bw=31,experts=[0,1,2]; c3:bw=10,experts=[0]; c2:bw=29,experts=[0,2]; c5:bw=17,experts=[0]; c4:bw=10,experts=[0]; c8:bw=10,experts=[0]; c7:bw=10,experts=[0]; c6:bw=13,experts=[0]; c0:bw=39,experts=[0,1,2]","4.5739,17.5655,0.5330,0.2499,5.4652,2.6960,6.1732,3.3112,1.6953,6.0122"
57,2026-09-18 09:20:39,Ours,0.01,0.7620843692801447,80.01,80.59,51,49.5091,0:49.51,48.2791,0.1267,1.102,2841.0171,47:21.02,10,"3,8,6,1,7,0,5,4,2,9",3:35;8:24;6:27;1:27;7:38;0:39;5:24;4:23;2:18;9:11,"3:[0,1,2];8:[0,2];6:[0,2];1:[0,2];7:[0,1,2];0:[0,1,2];5:[0,2];4:[0,2];2:[0];9:[0]","c3:bw=35,experts=[0,1,2]; c8:bw=24,experts=[0,2]; c6:bw=27,experts=[0,2]; c1:bw=27,experts=[0,2]; c7:bw=38,experts=[0,1,2]; c0:bw=39,experts=[0,1,2]; c5:bw=24,experts=[0,2]; c4:bw=23,experts=[0,2]; c2:bw=18,experts=[0]; c9:bw=11,experts=[0]","0.5389,6.2930,1.7155,17.5613,3.3280,5.8733,5.4820,2.7159,0.2444,4.5269"
58,2026-09-18 09:21:28,Ours,0.01,0.7605673032736232,79.75,80.59,51,49.3284,0:49.33,48.0983,0.1264,1.1025,2890.3699,48:10.37,10,"7,2,9,6,5,1,8,4,3,0",7:13;2:10;9:32;6:30;5:19;1:17;8:22;4:21;3:34;0:26,"7:[0];2:[0];9:[0,2,3];6:[0,1,2];5:[0];1:[0];8:[0,2];4:[0,2];3:[0,1,2];0:[0,2]","c7:bw=13,experts=[0]; c2:bw=10,experts=[0]; c9:bw=32,experts=[0,2,3]; c6:bw=30,experts=[0,1,2]; c5:bw=19,experts=[0]; c1:bw=17,experts=[0]; c8:bw=22,experts=[0,2]; c4:bw=21,experts=[0,2]; c3:bw=34,experts=[0,1,2]; c0:bw=26,experts=[0,2]","3.3229,0.2545,4.5535,1.6998,5.4835,17.4299,6.1820,2.6947,0.5305,5.9469"
59,2026-09-18 09:22:17,Ours,0.01,0.7609218771477937,80.64,80.64,59,49.4648,0:49.46,48.2351,0.1262,1.1023,2939.8605,48:59.86,10,"2,8,9,6,1,4,7,5,0,3",2:20;8:31;9:15;6:11;1:36;4:14;7:15;5:18;0:29;3:20,"2:[0,2];8:[0,1,2];9:[0];6:[0];1:[0,1,2];4:[0];7:[0];5:[0];0:[0,2];3:[0,2]","c2:bw=20,experts=[0,2]; c8:bw=31,experts=[0,1,2]; c9:bw=15,experts=[0]; c6:bw=11,experts=[0]; c1:bw=36,experts=[0,1,2]; c4:bw=14,experts=[0]; c7:bw=15,experts=[0]; c5:bw=18,experts=[0]; c0:bw=29,experts=[0,2]; c3:bw=20,experts=[0,2]","0.2498,6.2635,4.5478,1.7011,17.4799,2.6836,3.3022,5.5022,5.9686,0.5364"
60,2026-09-18 09:23:07,Ours,0.01,0.7546445290142396,78.9,80.64,59,49.4862,0:49.49,48.2326,0.1278,1.1246,2989.3717,49:49.37,10,"0,7,4,2,5,8,6,9,1,3",0:29;7:26;4:17;2:17;5:18;8:14;6:33;9:10;1:30;3:24,"0:[0,2];7:[0,2];4:[0];2:[0];5:[0];8:[0];6:[0,1,2];9:[0];1:[0,1,2];3:[0,2]","c0:bw=29,experts=[0,2]; c7:bw=26,experts=[0,2]; c4:bw=17,experts=[0]; c2:bw=17,experts=[0]; c5:bw=18,experts=[0]; c8:bw=14,experts=[0]; c6:bw=33,experts=[0,1,2]; c9:bw=10,experts=[0]; c1:bw=30,experts=[0,1,2]; c3:bw=24,experts=[0,2]","6.0048,3.3401,2.6936,0.2520,5.4877,6.1776,1.7003,4.5282,17.5040,0.5444"
61,2026-09-18 09:23:56,Ours,0.01,0.7521489569445312,80.63,80.64,59,49.2452,0:49.25,48.0103,0.1235,1.107,3038.6425,50:38.64,10,"5,6,2,9,1,3,8,4,7,0",5:27;6:21;2:16;9:21;1:19;3:24;8:31;4:21;7:24;0:33,"5:[0,2];6:[0,2];2:[0];9:[0,2];1:[0];3:[0,2];8:[0,1,2];4:[0,2];7:[0,2];0:[0,2,3]","c5:bw=27,experts=[0,2]; c6:bw=21,experts=[0,2]; c2:bw=16,experts=[0]; c9:bw=21,experts=[0,2]; c1:bw=19,experts=[0]; c3:bw=24,experts=[0,2]; c8:bw=31,experts=[0,1,2]; c4:bw=21,experts=[0,2]; c7:bw=24,experts=[0,2]; c0:bw=33,experts=[0,2,3]","5.5433,1.7084,0.2476,4.5479,17.4288,0.5407,6.1938,2.7005,3.3143,5.7850"
62,2026-09-18 09:24:46,Ours,0.01,0.7464238236678159,78.73,80.64,59,49.4851,0:49.49,48.2351,0.1291,1.1197,3088.1538,51:28.15,10,"8,6,9,4,5,0,3,2,1,7",8:10;6:35;9:10;4:33;5:37;0:16;3:29;2:23;1:40;7:25,"8:[0];6:[0,1,2];9:[0];4:[0,1,2];5:[0,1,2];0:[0];3:[0,2];2:[0,2];1:[0,1,2,3];7:[0,2]","c8:bw=10,experts=[0]; c6:bw=35,experts=[0,1,2]; c9:bw=10,experts=[0]; c4:bw=33,experts=[0,1,2]; c5:bw=37,experts=[0,1,2]; c0:bw=16,experts=[0]; c3:bw=29,experts=[0,2]; c2:bw=23,experts=[0,2]; c1:bw=40,experts=[0,1,2,3]; c7:bw=25,experts=[0,2]","6.2254,1.7049,4.5566,2.7135,5.5028,6.0498,0.5343,0.2481,17.4040,3.2957"
63,2026-09-18 09:25:35,Ours,0.01,0.7488181924198127,81.96,81.96,63,49.5331,0:49.53,48.291,0.1245,1.1163,3137.7134,52:17.71,10,"5,9,6,3,8,1,7,0,2,4",5:10;9:12;6:19;3:29;8:18;1:28;7:38;0:23;2:15;4:29,"5:[0];9:[0];6:[0];3:[0,2];8:[0];1:[0,2];7:[0,1,2];0:[0,2];2:[0];4:[0,2]","c5:bw=10,experts=[0]; c9:bw=12,experts=[0]; c6:bw=19,experts=[0]; c3:bw=29,experts=[0,2]; c8:bw=18,experts=[0]; c1:bw=28,experts=[0,2]; c7:bw=38,experts=[0,1,2]; c0:bw=23,experts=[0,2]; c2:bw=15,experts=[0]; c4:bw=29,experts=[0,2]","5.5061,4.5801,1.7119,0.5454,6.2197,17.5076,3.3116,5.9596,0.2444,2.7045"
64,2026-09-18 09:26:24,Ours,0.01,0.7444500222680751,79.19,81.96,63,49.1552,0:49.16,47.9301,0.1256,1.0982,3186.8953,53:06.90,10,"6,4,5,3,7,0,8,9,2,1",6:28;4:21;5:13;3:21;7:19;0:18;8:30;9:33;2:31;1:16,"6:[0,2];4:[0,2];5:[0];3:[0,2];7:[0];0:[0];8:[0,1,2];9:[0,2,3];2:[0,1,2];1:[0]","c6:bw=28,experts=[0,2]; c4:bw=21,experts=[0,2]; c5:bw=13,experts=[0]; c3:bw=21,experts=[0,2]; c7:bw=19,experts=[0]; c0:bw=18,experts=[0]; c8:bw=30,experts=[0,1,2]; c9:bw=33,experts=[0,2,3]; c2:bw=31,experts=[0,1,2]; c1:bw=16,experts=[0]","1.7074,2.7185,5.4890,0.5356,3.3018,5.7740,6.2220,4.5426,0.2463,17.3928"
