Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
13,2026-09-18 08:44:09,Ours,0.01,0.9389128664913656,59.54,59.54,13,50.0144,0:50.01,48.7805,0.1237,1.109,651.3669,10:51.37,10,"3,1,4,5,8,6,9,7,0,2",3:17;1:26;4:10;5:16;8:10;6:20;9:10;7:32;0:14;2:10,"3:[0];1:[0,2];4:[0];5:[0];8:[0];6:[0,2];9:[0];7:[0,1,2];0:[0];2:[0]","c3:bw=17,experts=[0]; c1:bw=26,experts=[0,2]; c4:bw=10,experts=[0]; c5:bw=16,experts=[0]; c8:bw=10,experts=[0]; c6:bw=20,experts=[0,2]; c9:bw=10,experts=[0]; c7:bw=32,experts=[0,1,2]; c0:bw=14,experts=[0]; c2:bw=10,experts=[0]","0.5458,17.9148,2.7507,5.5609,6.2744,1.7276,4.5868,3.3852,5.7843,0.2500"
14,2026-09-18 08:44:59,Ours,0.01,0.9326004308550612,63.08,63.08,14,49.9375,0:49.94,48.7009,0.1283,1.1072,701.3179,11:41.32,10,"2,4,5,1,7,0,9,3,8,6",2:25;4:10;5:36;1:21;7:14;0:14;9:18;3:25;8:12;6:37,"2:[0,2];4:[0];5:[0,1,2];1:[0,2];7:[0];0:[0];9:[0];3:[0,2];8:[0];6:[0,1,2]","c2:bw=25,experts=[0,2]; c4:bw=10,experts=[0]; c5:bw=36,experts=[0,1,2]; c1:bw=21,experts=[0,2]; c7:bw=14,experts=[0]; c0:bw=14,experts=[0]; c9:bw=18,experts=[0]; c3:bw=25,experts=[0,2]; c8:bw=12,experts=[0]; c6:bw=37,experts=[0,1,2]","0.2534,2.7630,5.5335,17.8105,3.3748,5.8111,4.6167,0.5453,6.2583,1.7342"
15,2026-09-18 08:45:49,Ours,0.01,0.922742766658913,63.29,63.29,15,49.985,0:49.98,48.75,0.1287,1.1051,751.3172,12:31.32,10,"7,0,1,8,3,2,4,5,9,6",7:33;0:11;1:10;8:29;3:10;2:29;4:26;5:10;9:11;6:18,"7:[0,1,2];0:[0];1:[0];8:[0,2];3:[0];2:[0,2];4:[0,2];5:[0];9:[0];6:[0]","c7:bw=33,experts=[0,1,2]; c0:bw=11,experts=[0]; c1:bw=10,experts=[0]; c8:bw=29,experts=[0,2]; c3:bw=10,experts=[0]; c2:bw=29,experts=[0,2]; c4:bw=26,experts=[0,2]; c5:bw=10,experts=[0]; c9:bw=11,experts=[0]; c6:bw=18,experts=[0]","3.4167,5.8670,17.7945,6.3095,0.5541,0.2501,2.7817,5.4975,4.5741,1.7048"
16,2026-09-18 08:46:39,Ours,0.01,0.9108066836173336,63.12,63.29,15,49.8865,0:49.89,48.6528,0.128,1.1045,801.2181,13:21.22,10,"6,1,3,8,7,5,4,9,0,2",6:22;1:16;3:24;8:27;7:12;5:22;4:20;9:13;0:32;2:29,"6:[0,2];1:[0];3:[0,2];8:[0,2];7:[0];5:[0,2];4:[0,2];9:[0];0:[0,1,2];2:[0,2]","c6:bw=22,experts=[0,2]; c1:bw=16,experts=[0]; c3:bw=24,experts=[0,2]; c8:bw=27,experts=[0,2]; c7:bw=12,experts=[0]; c5:bw=22,experts=[0,2]; c4:bw=20,experts=[0,2]; c9:bw=13,experts=[0]; c0:bw=32,experts=[0,1,2]; c2:bw=29,experts=[0,2]","1.7311,17.8093,0.5424,6.3056,3.3434,5.5090,2.7554,4.5906,5.8118,0.2542"
17,2026-09-18 08:47:29,Ours,0.01,0.9013731458819386,64.6,64.6,17,49.8527,0:49.85,48.6233,0.1265,1.1017,851.0854,14:11.09,10,"4,7,8,3,5,1,0,2,9,6",4:32;7:14;8:10;3:29;5:10;1:16;0:10;2:11;9:21;6:21,"4:[0,1,2];7:[0];8:[0];3:[0,2];5:[0];1:[0];0:[0];2:[0];9:[0,2];6:[0,2]","c4:bw=32,experts=[0,1,2]; c7:bw=14,experts=[0]; c8:bw=10,experts=[0]; c3:bw=29,experts=[0,2]; c5:bw=10,experts=[0]; c1:bw=16,experts=[0]; c0:bw=10,experts=[0]; c2:bw=11,experts=[0]; c9:bw=21,experts=[0,2]; c6:bw=21,experts=[0,2]","2.7485,3.3729,6.3097,0.5349,5.4863,17.7276,5.8454,0.2509,4.6332,1.7138"
18,2026-09-18 08:48:19,Ours,0.01,0.9026277170988184,67.36,67.36,18,49.9041,0:49.90,48.6764,0.125,1.1016,901.0046,15:01.00,10,"1,8,5,2,9,7,4,3,0,6",1:10;8:10;5:19;2:21;9:10;7:30;4:31;3:21;0:27;6:17,"1:[0];8:[0];5:[0];2:[0,2];9:[0];7:[0,1,2];4:[0,1,2];3:[0,2];0:[0,2];6:[0]","c1:bw=10,experts=[0]; c8:bw=10,experts=[0]; c5:bw=19,experts=[0]; c2:bw=21,experts=[0,2]; c9:bw=10,experts=[0]; c7:bw=30,experts=[0,1,2]; c4:bw=31,experts=[0,1,2]; c3:bw=21,experts=[0,2]; c0:bw=27,experts=[0,2]; c6:bw=17,experts=[0]","17.8470,6.3099,5.5101,0.2557,4.6081,3.3853,2.6994,0.5462,5.8001,1.7146"
19,2026-09-18 08:49:09,Ours,0.01,0.8952291366395231,66.42,67.36,18,49.9925,0:49.99,48.7588,0.1276,1.105,951.013,15:51.01,10,"8,0,4,1,9,5,7,2,6,3",8:31;0:23;4:28;1:26;9:21;5:16;7:12;2:10;6:36;3:22,"8:[0,1,2];0:[0,2];4:[0,2];1:[0,2];9:[0,2];5:[0];7:[0];2:[0];6:[0,1,2];3:[0,2]","c8:bw=31,experts=[0,1,2]; c0:bw=23,experts=[0,2]; c4:bw=28,experts=[0,2]; c1:bw=26,experts=[0,2]; c9:bw=21,experts=[0,2]; c5:bw=16,experts=[0]; c7:bw=12,experts=[0]; c2:bw=10,experts=[0]; c6:bw=36,experts=[0,1,2]; c3:bw=22,experts=[0,2]","6.4222,5.8066,2.7328,17.7940,4.6169,5.4911,3.3599,0.2515,1.7418,0.5419"
20,2026-09-18 08:49:59,Ours,0.01,0.8750574205085316,67.85,67.85,20,49.9442,0:49.94,48.6892,0.1285,1.1253,1000.9719,16:40.97,10,"0,2,1,9,7,6,3,5,4,8",0:15;2:23;1:22;9:10;7:24;6:38;3:10;5:10;4:33;8:28,"0:[0];2:[0,2];1:[0,2];9:[0];7:[0,2];6:[0,1,2];3:[0];5:[0];4:[0,1,2];8:[0,2]","c0:bw=15,experts=[0]; c2:bw=23,experts=[0,2]; c1:bw=22,experts=[0,2]; c9:bw=10,experts=[0]; c7:bw=24,experts=[0,2]; c6:bw=38,experts=[0,1,2]; c3:bw=10,experts=[0]; c5:bw=10,experts=[0]; c4:bw=33,experts=[0,1,2]; c8:bw=28,experts=[0,2]","5.8413,0.2543,17.8689,4.5981,3.3306,1.7289,0.5438,5.5032,2.7146,6.3055"
21,2026-09-18 08:50:49,Ours,0.01,0.875331276144131,68.69,68.69,21,50.0441,0:50.04,48.8056,0.1264,1.1109,1051.0329,17:31.03,10,"1,2,7,4,8,5,0,3,6,9",1:23;2:22;7:10;4:26;8:10;5:18;0:37;3:10;6:10;9:14,"1:[0,2];2:[0,2];7:[0];4:[0,2];8:[0];5:[0];0:[0,1,2];3:[0];6:[0];9:[0]","c1:bw=23,experts=[0,2]; c2:bw=22,experts=[0,2]; c7:bw=10,experts=[0]; c4:bw=26,experts=[0,2]; c8:bw=10,experts=[0]; c5:bw=18,experts=[0]; c0:bw=37,experts=[0,1,2]; c3:bw=10,experts=[0]; c6:bw=10,experts=[0]; c9:bw=14,experts=[0]","17.9612,0.2526,3.3442,2.7301,6.3151,5.5340,5.8239,0.5447,1.7126,4.5873"
22,2026-09-18 08:51:39,Ours,0.01,0.8642386721886087,68.43,68.69,21,49.9973,0:50.00,48.7342,0.1283,1.1335,1101.0462,18:21.05,10,"7,9,1,6,5,2,0,4,3,8",7:10;9:18;1:10;6:34;5:10;2:37;0:37;4:20;3:31;8:18,"7:[0];9:[0];1:[0];6:[0,1,2];5:[0];2:[0,1,2];0:[0,1,2];4:[0,2];3:[0,1,2];8:[0]","c7:bw=10,experts=[0]; c9:bw=18,experts=[0]; c1:bw=10,experts=[0]; c6:bw=34,experts=[0,1,2]; c5:bw=10,experts=[0]; c2:bw=37,experts=[0,1,2]; c0:bw=37,experts=[0,1,2]; c4:bw=20,experts=[0,2]; c3:bw=31,experts=[0,1,2]; c8:bw=18,experts=[0]","3.3739,4.6122,17.8367,1.7382,5.5216,0.2521,5.8277,2.7244,0.5452,6.3022"
