Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
70,2026-09-18 08:08:11,Ours,0.01,0.7072362512160518,79.29,79.77,65,49.9911,0:49.99,48.7513,0.1256,1.1091,3515.4154,58:35.42,10,"1,9,7,3,0,6,2,4,5,8",1:13;9:10;7:16;3:18;0:17;6:14;2:31;4:32;5:13;8:27,"1:[0];9:[0];7:[1];3:[1];0:[0];6:[0];2:[0,1,2];4:[0,1,2];5:[0];8:[0,1]","c1:bw=13,experts=[0]; c9:bw=10,experts=[0]; c7:bw=16,experts=[1]; c3:bw=18,experts=[1]; c0:bw=17,experts=[0]; c6:bw=14,experts=[0]; c2:bw=31,experts=[0,1,2]; c4:bw=32,experts=[0,1,2]; c5:bw=13,experts=[0]; c8:bw=27,experts=[0,1]","17.6926,4.5884,3.3385,0.5593,5.8454,1.7202,0.2721,2.8070,5.5092,6.4186"
71,2026-09-18 08:09:01,Ours,0.01,0.7077255626449039,78.87,79.77,65,49.854,0:49.85,48.6265,0.1286,1.0977,3565.298,59:25.30,10,"4,0,1,9,7,5,3,6,8,2",4:24;0:10;1:29;9:22;7:11;5:19;3:34;6:28;8:21;2:34,"4:[0,1];0:[0];1:[0,1];9:[0,1];7:[0];5:[0];3:[0,1,2];6:[0,1];8:[0,1];2:[0,1,2]","c4:bw=24,experts=[0,1]; c0:bw=10,experts=[0]; c1:bw=29,experts=[0,1]; c9:bw=22,experts=[0,1]; c7:bw=11,experts=[0]; c5:bw=19,experts=[0]; c3:bw=34,experts=[0,1,2]; c6:bw=28,experts=[0,1]; c8:bw=21,experts=[0,1]; c2:bw=34,experts=[0,1,2]","2.7613,5.9535,17.5719,4.5585,3.3187,5.4761,0.5575,1.7123,6.4423,0.2744"
72,2026-09-18 08:09:51,Ours,0.01,0.7204013288822605,79.63,79.77,65,49.8349,0:49.83,48.6013,0.129,1.1004,3615.1631,1:00:15.16,10,"8,1,5,7,6,0,3,2,9,4",8:16;1:22;5:24;7:27;6:11;0:29;3:13;2:13;9:21;4:22,"8:[0];1:[0,1];5:[0,1];7:[0,1];6:[0];0:[0,1];3:[1];2:[0];9:[0,1];4:[0,1]","c8:bw=16,experts=[0]; c1:bw=22,experts=[0,1]; c5:bw=24,experts=[0,1]; c7:bw=27,experts=[0,1]; c6:bw=11,experts=[0]; c0:bw=29,experts=[0,1]; c3:bw=13,experts=[1]; c2:bw=13,experts=[0]; c9:bw=21,experts=[0,1]; c4:bw=22,experts=[0,1]","6.4560,17.6411,5.5370,3.3340,1.7137,5.8253,0.5651,0.2748,4.5371,2.7172"
73,2026-09-18 08:10:41,Ours,0.01,0.708809788501561,78.33,79.77,65,49.7048,0:49.70,48.4677,0.127,1.1088,3664.9002,1:01:04.90,10,"2,8,3,1,5,9,0,7,6,4",2:26;8:10;3:22;1:37;5:10;9:29;0:16;7:20;6:11;4:23,"2:[0,1];8:[0];3:[0,1];1:[0,1,2];5:[0];9:[0,1];0:[0];7:[0,1];6:[0];4:[0,1]","c2:bw=26,experts=[0,1]; c8:bw=10,experts=[0]; c3:bw=22,experts=[0,1]; c1:bw=37,experts=[0,1,2]; c5:bw=10,experts=[0]; c9:bw=29,experts=[0,1]; c0:bw=16,experts=[0]; c7:bw=20,experts=[0,1]; c6:bw=11,experts=[0]; c4:bw=23,experts=[0,1]","0.2806,6.4421,0.5591,17.5845,5.5029,4.5364,5.8055,3.3158,1.7080,2.7326"
74,2026-09-18 08:11:30,Ours,0.01,0.7201430320133559,78.67,79.77,65,49.6611,0:49.66,48.4311,0.1275,1.1013,3714.5903,1:01:54.59,10,"3,0,1,5,7,8,6,2,4,9",3:10;0:22;1:15;5:28;7:36;8:16;6:10;2:10;4:26;9:18,"3:[1];0:[0,1];1:[0];5:[0,1];7:[0,1,2];8:[0];6:[0];2:[0];4:[0,1];9:[0]","c3:bw=10,experts=[1]; c0:bw=22,experts=[0,1]; c1:bw=15,experts=[0]; c5:bw=28,experts=[0,1]; c7:bw=36,experts=[0,1,2]; c8:bw=16,experts=[0]; c6:bw=10,experts=[0]; c2:bw=10,experts=[0]; c4:bw=26,experts=[0,1]; c9:bw=18,experts=[0]","0.5653,5.8736,17.5458,5.5125,3.3291,6.4054,1.7091,0.2701,2.7086,4.5116"
75,2026-09-18 08:12:20,Ours,0.01,0.7064452932646244,80.32,80.32,75,49.7906,0:49.79,48.5635,0.1232,1.1027,3764.4101,1:02:44.41,10,"2,9,1,3,7,6,5,4,0,8",2:22;9:34;1:30;3:11;7:16;6:31;5:17;4:31;0:34;8:30,"2:[0,1];9:[0,1,2];1:[0,1,2];3:[1];7:[0];6:[0,1,2];5:[0];4:[0,1,2];0:[0,1,2];8:[0,1,2]","c2:bw=22,experts=[0,1]; c9:bw=34,experts=[0,1,2]; c1:bw=30,experts=[0,1,2]; c3:bw=11,experts=[1]; c7:bw=16,experts=[0]; c6:bw=31,experts=[0,1,2]; c5:bw=17,experts=[0]; c4:bw=31,experts=[0,1,2]; c0:bw=34,experts=[0,1,2]; c8:bw=30,experts=[0,1,2]","0.2749,4.6068,17.6144,0.5634,3.3253,1.7149,5.5017,2.7615,5.8036,6.3970"
76,2026-09-18 08:13:10,Ours,0.01,0.7044418748143487,78.22,80.32,75,49.9751,0:49.98,48.7375,0.1306,1.1058,3814.4146,1:03:34.41,10,"8,5,0,3,2,6,7,4,9,1",8:16;5:21;0:17;3:10;2:14;6:13;7:37;4:34;9:32;1:30,"8:[1];5:[0,1];0:[0];3:[1];2:[1];6:[0];7:[0,1,2];4:[0,1,2];9:[0,1,2];1:[0,1,2]","c8:bw=16,experts=[1]; c5:bw=21,experts=[0,1]; c0:bw=17,experts=[0]; c3:bw=10,experts=[1]; c2:bw=14,experts=[1]; c6:bw=13,experts=[0]; c7:bw=37,experts=[0,1,2]; c4:bw=34,experts=[0,1,2]; c9:bw=32,experts=[0,1,2]; c1:bw=30,experts=[0,1,2]","6.4442,5.5976,5.8511,0.5585,0.2756,1.7112,3.3298,2.7680,4.5591,17.6425"
77,2026-09-18 08:14:00,Ours,0.01,0.7138950409954598,80.46,80.46,77,49.649,0:49.65,48.4238,0.125,1.0959,3864.0936,1:04:24.09,10,"9,2,1,8,4,7,6,0,3,5",9:16;2:19;1:35;8:10;4:10;7:10;6:32;0:35;3:22;5:33,"9:[0];2:[1];1:[0,1,2];8:[0];4:[0];7:[0];6:[0,1,2];0:[0,1,2];3:[0,1];5:[0,1,2]","c9:bw=16,experts=[0]; c2:bw=19,experts=[1]; c1:bw=35,experts=[0,1,2]; c8:bw=10,experts=[0]; c4:bw=10,experts=[0]; c7:bw=10,experts=[0]; c6:bw=32,experts=[0,1,2]; c0:bw=35,experts=[0,1,2]; c3:bw=22,experts=[0,1]; c5:bw=33,experts=[0,1,2]","4.5810,0.2742,17.6024,6.3736,2.7254,3.3187,1.7065,5.7980,0.5572,5.4867"
78,2026-09-18 08:14:50,Ours,0.01,0.7054962149081927,78.2,80.46,77,49.9858,0:49.99,48.7165,0.1309,1.1371,3914.1088,1:05:14.11,10,"0,4,3,7,8,1,9,6,5,2",0:15;4:13;3:21;7:20;8:30;1:23;9:17;6:32;5:35;2:19,"0:[0];4:[0];3:[0,1];7:[0,1];8:[0,1,2];1:[0,1];9:[0];6:[0,1,2];5:[0,1,2];2:[1]","c0:bw=15,experts=[0]; c4:bw=13,experts=[0]; c3:bw=21,experts=[0,1]; c7:bw=20,experts=[0,1]; c8:bw=30,experts=[0,1,2]; c1:bw=23,experts=[0,1]; c9:bw=17,experts=[0]; c6:bw=32,experts=[0,1,2]; c5:bw=35,experts=[0,1,2]; c2:bw=19,experts=[1]","5.8344,2.7753,0.5658,3.3248,6.4495,17.5362,4.5528,1.7181,5.6825,0.2770"
79,2026-09-18 08:15:40,Ours,0.01,0.7377177084961276,81.78,81.78,79,49.8762,0:49.88,48.6497,0.123,1.0991,3964.0163,1:06:04.02,10,"6,9,0,4,7,8,5,3,1,2",6:12;9:10;0:20;4:40;7:25;8:25;5:29;3:15;1:21;2:18,"6:[0];9:[0];0:[0,1];4:[0,1,2,3];7:[0,1];8:[0,1];5:[0,1];3:[0];1:[0,1];2:[0]","c6:bw=12,experts=[0]; c9:bw=10,experts=[0]; c0:bw=20,experts=[0,1]; c4:bw=40,experts=[0,1,2,3]; c7:bw=25,experts=[0,1]; c8:bw=25,experts=[0,1]; c5:bw=29,experts=[0,1]; c3:bw=15,experts=[0]; c1:bw=21,experts=[0,1]; c2:bw=18,experts=[0]","1.7361,4.5893,5.9718,2.7359,3.3521,6.4625,5.5009,0.5590,17.4691,0.2731"
