Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
90,2026-09-18 08:24:49,Ours,0.01,0.6780848871556554,79.03,82.71,85,49.8886,0:49.89,48.6564,0.1253,1.1025,4513.6572,1:15:13.66,10,"7,1,3,9,0,6,2,5,8,4",7:40;1:17;3:20;9:35;0:35;6:14;2:12;5:15;8:28;4:20,"7:[0,1,2,3];1:[0];3:[0,1];9:[0,1,2];0:[0,1,2];6:[0];2:[1];5:[0];8:[0,1];4:[0,1]","c7:bw=40,experts=[0,1,2,3]; c1:bw=17,experts=[0]; c3:bw=20,experts=[0,1]; c9:bw=35,experts=[0,1,2]; c0:bw=35,experts=[0,1,2]; c6:bw=14,experts=[0]; c2:bw=12,experts=[1]; c5:bw=15,experts=[0]; c8:bw=28,experts=[0,1]; c4:bw=20,experts=[0,1]","3.3486,17.5304,0.6010,4.5940,5.8149,1.7260,0.2771,5.5419,6.4191,2.8035"
91,2026-09-18 08:25:39,Ours,0.01,0.6971060542056143,79.74,82.71,85,49.8606,0:49.86,48.624,0.1277,1.1076,4563.5511,1:16:03.55,10,"1,9,5,7,3,4,0,6,2,8",1:28;9:19;5:29;7:29;3:22;4:30;0:12;6:16;2:10;8:13,"1:[0,1];9:[0];5:[0,1];7:[0,1];3:[0,1];4:[0,1,2];0:[0];6:[0];2:[0];8:[0]","c1:bw=28,experts=[0,1]; c9:bw=19,experts=[0]; c5:bw=29,experts=[0,1]; c7:bw=29,experts=[0,1]; c3:bw=22,experts=[0,1]; c4:bw=30,experts=[0,1,2]; c0:bw=12,experts=[0]; c6:bw=16,experts=[0]; c2:bw=10,experts=[0]; c8:bw=13,experts=[0]","17.6846,4.5951,5.5568,3.3451,0.5643,2.7074,5.8047,1.7158,0.2713,6.3789"
92,2026-09-18 08:26:29,Ours,0.01,0.678178063875065,80.22,82.71,85,49.776,0:49.78,48.5257,0.1281,1.1209,4613.3604,1:16:53.36,10,"3,7,1,0,8,6,9,2,5,4",3:16;7:19;1:11;0:16;8:11;6:25;9:31;2:14;5:37;4:15,"3:[1];7:[1];1:[0];0:[0];8:[1];6:[0,1];9:[0,1,2];2:[1];5:[0,1,2];4:[0]","c3:bw=16,experts=[1]; c7:bw=19,experts=[1]; c1:bw=11,experts=[0]; c0:bw=16,experts=[0]; c8:bw=11,experts=[1]; c6:bw=25,experts=[0,1]; c9:bw=31,experts=[0,1,2]; c2:bw=14,experts=[1]; c5:bw=37,experts=[0,1,2]; c4:bw=15,experts=[0]","0.5722,3.3342,17.5545,5.8305,6.4263,1.7181,4.5645,0.2753,5.5095,2.7406"
93,2026-09-18 08:27:19,Ours,0.01,0.6862314729482221,78.9,82.71,85,49.6354,0:49.64,48.414,0.1242,1.096,4663.03,1:17:43.03,10,"1,3,7,9,6,8,5,4,0,2",1:26;3:17;7:12;9:32;6:12;8:10;5:10;4:18;0:10;2:28,"1:[0,1];3:[0];7:[0];9:[0,1,2];6:[0];8:[0];5:[0];4:[0];0:[0];2:[0,1]","c1:bw=26,experts=[0,1]; c3:bw=17,experts=[0]; c7:bw=12,experts=[0]; c9:bw=32,experts=[0,1,2]; c6:bw=12,experts=[0]; c8:bw=10,experts=[0]; c5:bw=10,experts=[0]; c4:bw=18,experts=[0]; c0:bw=10,experts=[0]; c2:bw=28,experts=[0,1]","17.5711,0.5651,3.3369,4.5619,1.7172,6.3931,5.4634,2.7281,5.8015,0.2755"
94,2026-09-18 08:28:09,Ours,0.01,0.6877936719731708,80.1,82.71,85,49.6683,0:49.67,48.417,0.1256,1.1206,4712.7318,1:18:32.73,10,"7,2,5,4,6,9,1,8,0,3",7:25;2:36;5:23;4:17;6:17;9:28;1:39;8:10;0:31;3:19,"7:[0,1];2:[0,1,2];5:[0,1];4:[0];6:[0];9:[0,1];1:[0,1,2];8:[0];0:[0,1,2];3:[1]","c7:bw=25,experts=[0,1]; c2:bw=36,experts=[0,1,2]; c5:bw=23,experts=[0,1]; c4:bw=17,experts=[0]; c6:bw=17,experts=[0]; c9:bw=28,experts=[0,1]; c1:bw=39,experts=[0,1,2]; c8:bw=10,experts=[0]; c0:bw=31,experts=[0,1,2]; c3:bw=19,experts=[1]","3.3624,0.2710,5.5601,2.7212,1.7239,4.5661,17.4651,6.3871,5.8038,0.5563"
95,2026-09-18 08:28:58,Ours,0.01,0.6843485278564552,80.46,82.71,85,49.6907,0:49.69,48.4617,0.1283,1.0994,4762.5348,1:19:22.53,10,"7,9,4,6,0,3,1,8,2,5",7:33;9:23;4:10;6:22;0:19;3:23;1:17;8:40;2:13;5:10,"7:[0,1,2];9:[0,1];4:[0];6:[0,1];0:[0];3:[0,1];1:[0];8:[0,1,2,3];2:[0];5:[0]","c7:bw=33,experts=[0,1,2]; c9:bw=23,experts=[0,1]; c4:bw=10,experts=[0]; c6:bw=22,experts=[0,1]; c0:bw=19,experts=[0]; c3:bw=23,experts=[0,1]; c1:bw=17,experts=[0]; c8:bw=40,experts=[0,1,2,3]; c2:bw=13,experts=[0]; c5:bw=10,experts=[0]","3.3511,4.5935,2.8113,1.7313,5.8257,0.5568,17.4001,6.4285,0.2707,5.4927"
96,2026-09-18 08:29:48,Ours,0.01,0.6699838996729371,81.08,82.71,85,49.7056,0:49.71,48.4696,0.1283,1.1065,4812.2741,1:20:12.27,10,"2,9,3,1,5,4,6,7,0,8",2:36;9:25;3:25;1:20;5:33;4:27;6:17;7:28;0:20;8:36,"2:[0,1,2];9:[0,1];3:[0,1];1:[0,1];5:[0,1,2];4:[0,1];6:[0];7:[0,1];0:[0,1];8:[0,1,2]","c2:bw=36,experts=[0,1,2]; c9:bw=25,experts=[0,1]; c3:bw=25,experts=[0,1]; c1:bw=20,experts=[0,1]; c5:bw=33,experts=[0,1,2]; c4:bw=27,experts=[0,1]; c6:bw=17,experts=[0]; c7:bw=28,experts=[0,1]; c0:bw=20,experts=[0,1]; c8:bw=36,experts=[0,1,2]","0.2748,4.5546,0.5601,17.5533,5.5455,2.7113,1.7208,3.3162,5.7916,6.4413"
97,2026-09-18 08:30:38,Ours,0.01,0.6699704844126912,80.16,82.71,85,49.8841,0:49.88,48.6596,0.1225,1.0975,4862.193,1:21:02.19,10,"0,9,8,4,7,1,3,5,6,2",0:23;9:24;8:24;4:10;7:17;1:28;3:19;5:26;6:28;2:30,"0:[0,1];9:[0,1];8:[0,1];4:[0];7:[1];1:[0,1];3:[1];5:[0,1];6:[0,1];2:[0,1,2]","c0:bw=23,experts=[0,1]; c9:bw=24,experts=[0,1]; c8:bw=24,experts=[0,1]; c4:bw=10,experts=[0]; c7:bw=17,experts=[1]; c1:bw=28,experts=[0,1]; c3:bw=19,experts=[1]; c5:bw=26,experts=[0,1]; c6:bw=28,experts=[0,1]; c2:bw=30,experts=[0,1,2]","5.8944,4.5951,6.4749,2.8015,3.3457,17.4905,0.5604,5.5108,1.7123,0.2741"
98,2026-09-18 08:31:28,Ours,0.01,0.6824014312289097,80.62,82.71,85,49.6497,0:49.65,48.4165,0.127,1.1049,4911.8772,1:21:51.88,10,"4,8,9,7,6,5,0,3,1,2",4:29;8:30;9:15;7:13;6:20;5:27;0:19;3:14;1:15;2:13,"4:[0,1];8:[0,1,2];9:[0];7:[1];6:[0,1];5:[0,1];0:[0];3:[1];1:[0];2:[1]","c4:bw=29,experts=[0,1]; c8:bw=30,experts=[0,1,2]; c9:bw=15,experts=[0]; c7:bw=13,experts=[1]; c6:bw=20,experts=[0,1]; c5:bw=27,experts=[0,1]; c0:bw=19,experts=[0]; c3:bw=14,experts=[1]; c1:bw=15,experts=[0]; c2:bw=13,experts=[1]","2.7793,6.4876,4.5481,3.3203,1.7261,5.5079,5.8101,0.5552,17.4046,0.2772"
99,2026-09-18 08:32:18,Ours,0.01,0.6748954805402735,79.88,82.71,85,49.8854,0:49.89,48.6359,0.1231,1.1216,4961.7986,1:22:41.80,10,"8,5,7,1,3,9,4,0,2,6",8:19;5:27;7:25;1:33;3:21;9:11;4:14;0:22;2:17;6:19,"8:[0];5:[0,1];7:[0,1];1:[0,1,2];3:[0,1];9:[0];4:[0];0:[0,1];2:[0];6:[0]","c8:bw=19,experts=[0]; c5:bw=27,experts=[0,1]; c7:bw=25,experts=[0,1]; c1:bw=33,experts=[0,1,2]; c3:bw=21,experts=[0,1]; c9:bw=11,experts=[0]; c4:bw=14,experts=[0]; c0:bw=22,experts=[0,1]; c2:bw=17,experts=[0]; c6:bw=19,experts=[0]","6.4758,5.5739,3.3673,17.6017,0.5603,4.5531,2.7147,5.8056,0.2760,1.7074"
100,2026-09-18 08:33:07,Ours,0.01,0.6743808092260413,81.23,82.71,85,49.785,0:49.79,48.5571,0.1275,1.0992,5011.6191,1:23:31.62,10,"2,8,9,5,6,1,4,7,3,0",2:17;8:25;9:29;5:10;6:25;1:10;4:36;7:10;3:23;0:36,"2:[1];8:[0,1];9:[0,1];5:[0];6:[0,1];1:[0];4:[0,1,2];7:[1];3:[0,1];0:[0,1,2]","c2:bw=17,experts=[1]; c8:bw=25,experts=[0,1]; c9:bw=29,experts=[0,1]; c5:bw=10,experts=[0]; c6:bw=25,experts=[0,1]; c1:bw=10,experts=[0]; c4:bw=36,experts=[0,1,2]; c7:bw=10,experts=[1]; c3:bw=23,experts=[0,1]; c0:bw=36,experts=[0,1,2]","0.2752,6.4749,4.5977,5.5365,1.7170,17.4888,2.7792,3.3220,0.5601,5.8055"
