Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
11,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
