Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
50,51.47,1.7479505270992253,49.1078,0.1403,1.1573,50.4067,"5.1444,6.4142,4.6027,6.3238,3.5323,4.0679,4.9051,4.3822,3.4304,6.3049"
51,49.5,1.754654530032009,49.1275,0.1488,1.2051,50.4828,"5.8642,4.4122,4.1798,3.7993,4.9945,6.2973,3.2698,4.8185,6.7265,4.7653"
52,52.4,1.7317507806242738,52.8344,0.1465,1.1841,54.1664,"4.6846,5.7969,6.2477,4.3799,4.0687,6.5731,3.6289,7.9883,4.1532,5.3131"
53,52.93,1.7285740719388831,49.2414,0.145,1.1233,50.511,"5.0384,6.4561,5.9275,4.0864,4.9556,3.4117,6.7486,4.6904,4.3826,3.5442"
54,53.06,1.7079768199134264,49.8388,0.1367,1.123,51.1042,"3.5672,4.3171,5.0837,4.3679,4.8507,4.3831,6.9515,5.9586,3.2927,7.0663"
55,54.17,1.6843399990240706,50.2521,0.1643,1.2932,51.7111,"4.3669,3.5438,6.9576,4.8889,5.0098,5.8190,4.0383,6.7318,5.0816,3.8145"
56,51.47,1.6831004190575147,50.1936,0.1416,1.1417,51.4782,"3.7898,4.2937,4.8777,3.5727,5.9275,7.0978,4.9918,4.3278,6.9120,4.4028"
57,53.35,1.6749410465186965,49.7944,0.1458,1.1278,51.0694,"4.9782,5.0553,6.3495,4.0799,4.3614,4.5551,6.5116,7.0427,3.5453,3.3154"
58,53.93,1.6590124111729565,50.7656,0.1571,1.3035,52.2276,"4.5285,3.6691,3.3409,6.9999,5.9052,4.0701,5.0158,6.3870,5.4663,5.3827"
59,54.73,1.6563464395556882,49.9209,0.1551,1.1774,51.2547,"4.1121,5.8070,3.5868,6.3973,4.1580,6.4039,4.3293,5.8865,4.3996,4.8404"
60,56.09,1.651629592600448,48.3469,0.1396,1.1248,49.6126,"4.4320,4.3768,6.4658,3.5653,5.9134,5.0884,6.3239,3.2806,4.0793,4.8211"
61,56.26,1.6180076474200238,50.6024,0.2838,1.1873,52.0748,"5.9677,6.7701,3.5358,3.3152,4.0561,5.0713,5.3467,6.8379,4.6007,5.1008"
62,57.69,1.606725106955866,52.6083,0.1444,1.1209,53.8749,"5.7247,8.1357,3.8302,6.9509,5.9227,4.7977,5.1462,3.5929,4.1517,4.3554"
63,53.42,1.6209534588996373,49.129,0.1795,1.1665,50.4762,"6.3788,3.3173,6.3449,4.8381,5.0772,4.0778,4.3460,4.8083,3.5207,6.4200"
64,55.6,1.605440985482518,49.8332,0.1467,1.1127,51.0939,"7.1251,6.4210,5.8824,4.8574,4.4014,4.8858,5.0534,3.3208,3.5422,4.3437"
65,58.33,1.6072858783102468,50.9551,0.1437,1.1137,52.2137,"4.3412,6.2590,7.2993,7.2404,5.4622,4.8716,4.5278,3.6092,4.0471,3.2974"
66,53.43,1.6082709168378155,48.5998,0.143,1.1984,49.9425,"3.5348,5.9017,4.0579,5.0234,3.4010,6.3050,6.3910,4.8049,4.8330,4.3472"
67,51.69,1.5915474448121811,49.4736,0.1443,1.1406,50.7599,"7.0862,6.0907,4.0805,4.8403,6.3200,4.9185,3.5299,3.2960,4.3206,4.9909"
68,54.4,1.5873119362029375,52.4713,0.1438,1.1382,53.7596,"4.4302,5.0347,3.5446,4.6773,5.6570,7.3495,6.4326,3.8045,4.6803,6.8605"
69,57.78,1.6139180223555818,48.1387,0.1419,1.1119,49.3936,"4.8585,4.3666,4.0817,6.4807,3.2857,5.8663,4.3927,3.5194,4.9626,6.3245"
