Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
39,53.89,1.7009394034855505,57.9804,0.1559,1.2561,59.3975,"5.8431,5.3143,4.9193,5.2569,7.5991,6.0911,4.3281,7.7117,3.8864,7.0305"
40,54.84,1.6865772794110232,58.7617,0.1537,1.2746,60.1915,"6.1211,5.0006,7.1798,7.6671,4.3413,5.2884,5.8926,7.8502,4.0424,5.3782"
41,54.76,1.6760896456147285,58.5039,0.1332,1.2305,59.8692,"4.4229,7.8190,6.1241,4.9407,7.7414,7.0736,5.2702,5.8262,3.9975,5.2883"
42,55.19,1.6670176894978053,58.238,0.1384,1.2632,59.6444,"7.0990,4.9547,5.8797,4.0059,7.6140,5.3290,5.2279,7.7580,6.0756,4.2942"
43,55.97,1.654899520651112,58.0959,0.1484,1.2699,59.5158,"7.1305,4.9108,4.2979,6.0412,3.9450,5.1953,7.6993,7.6403,5.8924,5.3431"
44,57.02,1.6446450850886127,58.7273,0.1547,1.2666,60.15,"5.4603,5.9608,7.8107,4.3301,5.2811,7.1699,7.6216,4.0237,6.0931,4.9760"
45,55.7,1.6341084180080272,58.7989,0.163,1.2733,60.2367,"6.1476,5.4068,5.9213,7.7789,5.3035,4.4139,4.1356,7.6179,7.1097,4.9638"
46,57.26,1.627543152380715,58.7626,0.1614,1.2995,60.225,"4.1240,6.0133,7.6616,4.9431,7.7904,7.1343,4.3343,6.0906,5.3242,5.3469"
47,57.87,1.6204523491613465,58.7132,0.1385,1.2797,60.1361,"7.2637,7.7730,5.3234,4.0115,6.0810,5.8935,7.7832,5.3482,4.9378,4.2977"
48,57.78,1.6101631579974254,58.7616,0.1383,1.2626,60.164,"5.0126,6.1149,7.7817,4.3157,4.0052,7.6938,7.2154,5.3506,5.3863,5.8854"
49,58.44,1.5986266003820429,58.6023,0.1386,1.2513,59.9936,"7.8606,5.9182,6.1096,5.3581,4.3295,7.1135,7.6970,5.2992,4.0037,4.9128"
50,58.47,1.5935625991165183,58.9483,0.1473,1.2795,60.3766,"6.1116,7.8729,5.3513,7.6983,4.3576,4.9977,5.9184,5.3628,4.0741,7.2037"
51,58.56,1.5870021599135602,58.8734,0.1527,1.2688,60.2964,"7.2284,5.4056,4.9962,4.3602,6.1573,7.7193,4.0554,5.8844,7.7816,5.2851"
