Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
72,2026-09-19 10:20:57,Ours,0.01,0.7362500518996324,83.06,83.06,72,63.8012,1:03.80,59.6652,2.7726,1.3618,4604.5311,1:16:44.53,10,"8,1,5,7,6,0,3,2,9,4",8:56;1:75;5:82;7:91;6:36;0:99;3:43;2:43;9:71;4:74,"8:[4,5,6,12,13];1:[0,1,2,4,5,6,13];5:[0,2,4,5,6,10,13,15];7:[0,1,2,4,5,6,9,11,13];6:[4,6,13];0:[0,1,2,4,5,6,8,13,15];3:[4,5,6,13];2:[4,6,12,13];9:[0,1,4,5,6,13,14];4:[0,1,4,5,6,12,13]","c8:bw=56,experts=[4,5,6,12,13]; c1:bw=75,experts=[0,1,2,4,5,6,13]; c5:bw=82,experts=[0,2,4,5,6,10,13,15]; c7:bw=91,experts=[0,1,2,4,5,6,9,11,13]; c6:bw=36,experts=[4,6,13]; c0:bw=99,experts=[0,1,2,4,5,6,8,13,15]; c3:bw=43,experts=[4,5,6,13]; c2:bw=43,experts=[4,6,12,13]; c9:bw=71,experts=[0,1,4,5,6,13,14]; c4:bw=74,experts=[0,1,4,5,6,12,13]","7.9874,21.0126,6.7053,4.0864,2.2988,7.2093,0.8912,0.5538,5.5466,3.3737"
73,2026-09-19 10:22:01,Ours,0.01,0.7295894694603889,80.25,83.06,72,63.6708,1:03.67,59.5053,2.8098,1.3543,4668.5318,1:17:48.53,10,"2,8,3,1,5,9,0,7,6,4",2:89;8:20;3:75;1:124;5:32;9:98;0:53;7:70;6:37;4:77,"2:[0,1,2,4,5,6,12,13];8:[4,6];3:[0,1,4,5,6,12,13];1:[0,1,2,4,5,6,8,11,12,13,14,15];5:[4,6,13];9:[0,1,2,4,5,6,13,14,15];0:[4,6,9,13,14];7:[0,1,2,4,5,6,13];6:[4,6,13];4:[0,1,4,5,6,7,13]","c2:bw=89,experts=[0,1,2,4,5,6,12,13]; c8:bw=20,experts=[4,6]; c3:bw=75,experts=[0,1,4,5,6,12,13]; c1:bw=124,experts=[0,1,2,4,5,6,8,11,12,13,14,15]; c5:bw=32,experts=[4,6,13]; c9:bw=98,experts=[0,1,2,4,5,6,13,14,15]; c0:bw=53,experts=[4,6,9,13,14]; c7:bw=70,experts=[0,1,2,4,5,6,13]; c6:bw=37,experts=[4,6,13]; c4:bw=77,experts=[0,1,4,5,6,7,13]","0.5540,7.7387,0.9031,21.0249,6.5994,5.7262,7.2410,4.1090,2.2093,3.3996"
74,2026-09-19 10:23:05,Ours,0.01,0.7337416092894344,82.42,83.06,72,63.485,1:03.49,59.3775,2.7517,1.3542,4732.5085,1:18:52.51,10,"3,0,1,5,7,8,6,2,4,9",3:13;0:75;1:52;5:95;7:123;8:53;6:15;2:11;4:89;9:60,"3:[4];0:[0,1,2,4,5,6,13];1:[0,4,5,6,13];5:[0,1,2,4,5,6,10,13,15];7:[0,1,2,4,5,6,8,9,10,11,12,13];8:[4,5,6,12,13];6:[4];2:[4];4:[0,1,4,5,6,7,12,13];9:[0,1,4,5,6,13]","c3:bw=13,experts=[4]; c0:bw=75,experts=[0,1,2,4,5,6,13]; c1:bw=52,experts=[0,4,5,6,13]; c5:bw=95,experts=[0,1,2,4,5,6,10,13,15]; c7:bw=123,experts=[0,1,2,4,5,6,8,9,10,11,12,13]; c8:bw=53,experts=[4,5,6,12,13]; c6:bw=15,experts=[4]; c2:bw=11,experts=[4]; c4:bw=89,experts=[0,1,4,5,6,7,12,13]; c9:bw=60,experts=[0,1,4,5,6,13]","0.9232,7.2921,20.9323,6.6481,4.2038,7.6805,2.2878,0.5447,3.3781,5.4869"
75,2026-09-19 10:24:09,Ours,0.01,0.7247309681069191,80.41,83.06,72,63.6457,1:03.65,59.3125,2.9834,1.3482,4796.3928,1:19:56.39,10,"2,9,1,3,7,6,5,4,0,8",2:75;9:115;1:102;3:37;7:54;6:105;5:59;4:106;0:114;8:101,"2:[0,2,4,5,6,12,13];9:[0,1,2,4,5,6,7,12,13,14,15];1:[0,1,2,4,5,6,8,11,13,15];3:[4,5,6];7:[0,4,5,6,13];6:[0,1,2,4,5,6,8,10,13,15];5:[2,4,5,6,13];4:[0,1,2,4,5,6,7,13,14,15];0:[0,1,2,4,5,6,8,11,13,14,15];8:[0,1,2,4,5,6,11,12,13,15]","c2:bw=75,experts=[0,2,4,5,6,12,13]; c9:bw=115,experts=[0,1,2,4,5,6,7,12,13,14,15]; c1:bw=102,experts=[0,1,2,4,5,6,8,11,13,15]; c3:bw=37,experts=[4,5,6]; c7:bw=54,experts=[0,4,5,6,13]; c6:bw=105,experts=[0,1,2,4,5,6,8,10,13,15]; c5:bw=59,experts=[2,4,5,6,13]; c4:bw=106,experts=[0,1,2,4,5,6,7,13,14,15]; c0:bw=114,experts=[0,1,2,4,5,6,8,11,13,14,15]; c8:bw=101,experts=[0,1,2,4,5,6,11,12,13,15]","0.5649,5.7729,20.9313,0.9192,4.0709,2.2071,6.7616,3.4793,7.1764,7.4288"
76,2026-09-19 10:25:13,Ours,0.01,0.7285786288325866,82.15,83.06,72,63.8547,1:03.85,59.6301,2.8651,1.3579,4860.4098,1:21:00.41,10,"8,5,0,3,2,6,7,4,9,1",8:54;5:70;0:59;3:28;2:47;6:44;7:126;4:114;9:108;1:101,"8:[4,5,6,12,13];5:[0,1,2,4,5,6,13];0:[0,4,5,6,13];3:[4,6];2:[4,5,6,13];6:[0,4,6,13];7:[0,1,2,4,5,6,8,10,11,12,13,14];4:[0,1,2,4,5,6,9,10,12,13,15];9:[0,1,2,4,5,6,12,13,14,15];1:[0,1,2,4,5,6,8,11,13,15]","c8:bw=54,experts=[4,5,6,12,13]; c5:bw=70,experts=[0,1,2,4,5,6,13]; c0:bw=59,experts=[0,4,5,6,13]; c3:bw=28,experts=[4,6]; c2:bw=47,experts=[4,5,6,13]; c6:bw=44,experts=[0,4,6,13]; c7:bw=126,experts=[0,1,2,4,5,6,8,10,11,12,13,14]; c4:bw=114,experts=[0,1,2,4,5,6,9,10,12,13,15]; c9:bw=108,experts=[0,1,2,4,5,6,12,13,14,15]; c1:bw=101,experts=[0,1,2,4,5,6,8,11,13,15]","7.8824,6.6078,7.2366,0.9103,0.5516,2.3267,4.2430,3.3528,5.5984,20.9203"
77,2026-09-19 10:26:16,Ours,0.01,0.724316622956245,81.2,83.06,72,63.2711,1:03.27,59.1604,2.7612,1.348,4923.7171,1:22:03.72,10,"9,2,1,8,4,7,6,0,3,5",9:55;2:65;1:118;8:10;4:10;7:16;6:107;0:120;3:76;5:112,"9:[0,1,4,6,13];2:[2,4,5,6,12,13];1:[0,1,2,4,5,6,8,11,12,13,15];8:[4];4:[4];7:[4];6:[0,1,2,4,5,6,8,11,13,15];0:[0,1,2,4,5,6,7,8,11,12,13,15];3:[0,1,4,5,6,10,13];5:[0,1,2,4,5,6,10,11,13,14,15]","c9:bw=55,experts=[0,1,4,6,13]; c2:bw=65,experts=[2,4,5,6,12,13]; c1:bw=118,experts=[0,1,2,4,5,6,8,11,12,13,15]; c8:bw=10,experts=[4]; c4:bw=10,experts=[4]; c7:bw=16,experts=[4]; c6:bw=107,experts=[0,1,2,4,5,6,8,11,13,15]; c0:bw=120,experts=[0,1,2,4,5,6,7,8,11,12,13,15]; c3:bw=76,experts=[0,1,4,5,6,10,13]; c5:bw=112,experts=[0,1,2,4,5,6,10,11,13,14,15]","5.6657,0.5177,21.0980,7.4210,3.4776,4.2025,2.2947,6.9298,0.8598,6.6937"
78,2026-09-19 10:27:20,Ours,0.01,0.7182510508046771,81.41,83.06,72,63.6326,1:03.63,59.4091,2.886,1.336,4987.5768,1:23:07.58,10,"0,4,3,7,8,1,9,6,5,2",0:50;4:43;3:71;7:68;8:102;1:77;9:58;6:109;5:119;2:65,"0:[1,4,5,6,13];4:[0,4,6,13];3:[0,1,4,5,6,12,13];7:[0,1,4,5,6,13];8:[0,1,2,4,5,6,11,12,13,15];1:[0,1,4,6,9,10,13];9:[1,4,5,6,13];6:[0,1,2,4,5,6,8,12,13,15];5:[0,1,2,4,5,6,8,10,11,13,15];2:[2,4,5,6,12,13]","c0:bw=50,experts=[1,4,5,6,13]; c4:bw=43,experts=[0,4,6,13]; c3:bw=71,experts=[0,1,4,5,6,12,13]; c7:bw=68,experts=[0,1,4,5,6,13]; c8:bw=102,experts=[0,1,2,4,5,6,11,12,13,15]; c1:bw=77,experts=[0,1,4,6,9,10,13]; c9:bw=58,experts=[1,4,5,6,13]; c6:bw=109,experts=[0,1,2,4,5,6,8,12,13,15]; c5:bw=119,experts=[0,1,2,4,5,6,8,10,11,13,15]; c2:bw=65,experts=[2,4,5,6,12,13]","7.0888,3.3509,0.8601,4.2049,7.6923,20.9610,5.6211,2.2888,6.7917,0.5495"
79,2026-09-19 10:28:24,Ours,0.01,0.7222862591664059,81.86,83.06,72,63.5611,1:03.56,59.3289,2.8924,1.3383,5051.3135,1:24:11.31,10,"6,9,0,4,7,8,5,3,1,2",6:40;9:17;0:68;4:160;7:86;8:84;5:100;3:50;1:70;2:63,"6:[0,4,6,13];9:[4];0:[0,1,4,5,6,13];4:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15];7:[0,1,2,4,5,6,8,13];8:[0,1,2,4,5,6,12,13];5:[0,1,2,4,5,6,10,13,14,15];3:[0,4,6,13,14];1:[0,1,2,4,6,8,13];2:[2,4,5,6,12,13]","c6:bw=40,experts=[0,4,6,13]; c9:bw=17,experts=[4]; c0:bw=68,experts=[0,1,4,5,6,13]; c4:bw=160,experts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]; c7:bw=86,experts=[0,1,2,4,5,6,8,13]; c8:bw=84,experts=[0,1,2,4,5,6,12,13]; c5:bw=100,experts=[0,1,2,4,5,6,10,13,14,15]; c3:bw=50,experts=[0,4,6,13,14]; c1:bw=70,experts=[0,1,2,4,6,8,13]; c2:bw=63,experts=[2,4,5,6,12,13]","2.3193,5.5612,7.1945,3.4930,4.2561,7.4584,6.7315,0.8877,20.8719,0.5551"
80,2026-09-19 10:29:27,Ours,0.01,0.7252006321962459,81.77,83.06,72,63.2217,1:03.22,58.908,2.9787,1.3334,5114.678,1:25:14.68,10,"5,9,7,1,3,4,2,0,6,8",5:124;9:99;7:90;1:58;3:59;4:108;2:82;0:90;6:74;8:97,"5:[0,1,2,4,5,6,7,10,11,13,14,15];9:[0,1,3,4,5,6,12,13,14];7:[0,1,3,4,5,6,7,8,13];1:[3,4,6,7,13];3:[3,4,6,7,13];4:[0,1,4,5,6,7,9,12,13,14];2:[3,4,5,6,7,12,13,14];0:[0,1,2,3,4,5,6,8,13];6:[1,2,3,4,6,7,13];8:[2,3,4,5,6,7,12,13,14]","c5:bw=124,experts=[0,1,2,4,5,6,7,10,11,13,14,15]; c9:bw=99,experts=[0,1,3,4,5,6,12,13,14]; c7:bw=90,experts=[0,1,3,4,5,6,7,8,13]; c1:bw=58,experts=[3,4,6,7,13]; c3:bw=59,experts=[3,4,6,7,13]; c4:bw=108,experts=[0,1,4,5,6,7,9,12,13,14]; c2:bw=82,experts=[3,4,5,6,7,12,13,14]; c0:bw=90,experts=[0,1,2,3,4,5,6,8,13]; c6:bw=74,experts=[1,2,3,4,6,7,13]; c8:bw=97,experts=[2,3,4,5,6,7,12,13,14]","6.6612,5.5535,4.2139,20.8621,0.8869,3.4591,0.5459,6.9476,2.1890,7.5888"
81,2026-09-19 10:30:31,Ours,0.01,0.7191051819790465,82.15,83.06,72,63.3473,1:03.35,59.0097,2.9902,1.3458,5178.2307,1:26:18.23,10,"6,2,3,1,4,5,9,7,8,0",6:97;2:85;3:126;1:93;4:79;5:57;9:50;7:109;8:90;0:95,"6:[0,1,2,4,5,6,8,13,15];2:[1,2,4,5,6,8,12,13];3:[0,1,2,4,5,6,8,9,11,12,13,15];1:[0,1,2,4,5,6,8,13,15];4:[0,1,4,5,6,12,13];5:[1,2,4,6,13];9:[1,4,5,6,13];7:[0,1,2,4,5,6,8,9,11,13];8:[1,2,4,5,6,8,9,12,13];0:[0,1,2,4,5,6,8,13,15]","c6:bw=97,experts=[0,1,2,4,5,6,8,13,15]; c2:bw=85,experts=[1,2,4,5,6,8,12,13]; c3:bw=126,experts=[0,1,2,4,5,6,8,9,11,12,13,15]; c1:bw=93,experts=[0,1,2,4,5,6,8,13,15]; c4:bw=79,experts=[0,1,4,5,6,12,13]; c5:bw=57,experts=[1,2,4,6,13]; c9:bw=50,experts=[1,4,5,6,13]; c7:bw=109,experts=[0,1,2,4,5,6,8,9,11,13]; c8:bw=90,experts=[1,2,4,5,6,8,9,12,13]; c0:bw=95,experts=[0,1,2,4,5,6,8,13,15]","2.2536,0.5367,0.8574,20.8105,3.3624,6.7519,5.6296,4.1833,7.4334,7.1909"
